sentence_id,event_id,temporal_rank
1,2,0
0,3,1
2,0,2
5,3,3
6,0,4
7,4,5
8,2,6
9,1,7
10,1,8
11,2,9
12,3,10
13,1,11
15,1,12
14,4,13
16,9,14
17,4,15
18,1,16
19,3,17
21,1,18
20,0,19
22,0,20
24,4,21
23,0,22
26,6,23
27,0,24
30,1,25
31,2,26
32,1,27
33,0,28
34,0,29
35,5,30
36,0,31
37,4,32
38,1,33
39,0,34
40,2,35
42,4,36
41,0,37
44,5,38
46,2,39
47,2,40
51,1,41
50,0,42
52,1,43
53,0,44
55,1,45
54,1,46
56,0,47
61,0,48
60,0,49
63,1,50
64,2,51
65,3,52
67,0,53
68,0,54
70,1,55
72,1,56
71,1,57
73,3,58
75,4,59
76,0,60
80,1,61
82,0,62
81,0,63
88,0,64
90,3,65
91,2,66
92,4,67
93,0,68
94,1,69
97,5,70
98,1,71
99,1,72
103,2,73
104,2,74
105,5,75
108,4,76
109,0,77
110,3,78
111,0,79
112,0,80
113,0,81
115,0,82
121,1,83
122,0,84
123,4,85
125,1,86
124,2,87
126,3,88
127,1,89
132,1,90
130,0,91
136,1,92
134,1,93
138,1,94
139,1,95
143,2,96
144,2,97
146,3,98
147,5,99
148,0,100
150,1,101
151,1,102
153,2,103
155,3,104
154,8,105
157,1,106
158,3,107
163,0,108
159,5,109
164,1,110
166,1,111
167,1,112
169,0,113
168,3,114
170,2,115
171,0,116
173,0,117
174,0,118
175,0,119
177,3,120
176,1,121
178,0,122
179,0,123
180,3,124
181,0,125
182,2,126
184,6,127
185,7,128
189,1,129
188,0,130
186,2,131
191,1,132
190,0,133
192,3,134
193,0,135
196,2,136
197,1,137
199,2,138
198,0,139
200,1,140
202,0,141
203,0,142
204,3,143
208,1,144
207,0,145
205,8,146
209,4,147
211,0,148
212,4,149
214,0,150
213,2,151
215,1,152
216,2,153
217,2,154
218,1,155
219,0,156
220,1,157
221,0,158
222,4,159
223,4,160
225,1,161
226,1,162
227,0,163
228,0,164
230,4,165
229,1,166
231,1,167
232,1,168
233,0,169
234,3,170
236,0,171
237,4,172
238,4,173
239,4,174
240,0,175
242,0,176
243,1,177
244,9,178
245,0,179
246,2,180
248,0,181
251,2,182
250,0,183
253,1,184
252,2,185
255,1,186
257,0,187
258,0,188
259,0,189
260,0,190
