sentence_id,text,start,end
0,"ONCE upon a time there was a king whose wife had died, but he had a daughter who was so good and so beautiful that no one could have been kinder or lovelier than she. ",0,167
1,"The king mourned a long time for the queen, because he had loved her greatly; ",167,245
2," but in the course of time he grew weary of his lonely life, and married again with the widow of another king, who also had a daughter; ",244,380
3, but one who was just as ugly and evil as the other was handsome and kind. ,379,454
4,"The step-mother and daughter were jealous of the king's daughter, because she was so handsome; ",454,549
5," yet so long as the king was at home, they did not dare harm her, for he was very fond of her. ",548,643
6,"But after a time, the king began to war against another king, and went out to battle. ",643,729
7,"Then the queen thought she now could do as she wished, and she let the king's daughter starve, and beat and pushed her about everywhere. ",729,866
8,"At last everything else was too good for her, and she had to herd the cows. ",866,942
9,"So she went out with the cows, and pastured them in the forest or on the hill. ",942,1021
10,"Food she had little or none, and she grew pale and thin, and was sad most of the time, and wept. ",1021,1118
11,"In the herd there was also a great blue bull, who always kept himself neat and clean, and often came to the king's daughter and let her scratch him. ",1118,1267
12,"Once, as she sat there and cried and was sad, he came to her again, and asked why she was so unhappy. ",1267,1369
13,She did not answer him but kept on weeping. ,1369,1413
14,"""Well, I know what your trouble is,"" said the bull, ""even though you will not tell me. ",1413,1500
15,"You are weeping because the queen is so unkind to you, and would gladly starve you to death. ",1500,1593
16,"But you need not worry about food, for in my left ear is a cloth and, if you will take it out and spread it, you can have as much as you want to eat."" ",1593,1744
17,"She did so, took out the cloth, laid it on the grass, and it was at once covered with the finest dishes one might desire: bread and mead and honey-cake. ",1744,1897
18,"Then she soon regained her strength, and grew so plump, and so rose and white complexioned that the queen and her daughter, who was as thin as a rail, turned green and yellow with envy. ",1897,2083
19,The queen could not understand how it was that her step-daughter came to look so well in spite of such poor fare. ,2083,2197
20,"So she told a maid to follow her to the forest, and watch and see how it came about; ",2197,2282
21, for she thought some of the servants secretly gave her food. ,2281,2343
22,"The maid followed her into the forest, and watched carefully, and saw how the step-daughter drew the cloth out of the blue bull's left ear, and spread it out, and how it covered itself with the finest dishes, and also how the king's daughter ate heartily. ",2343,2599
23,And the maid told the queen at home about it. ,2599,2645
24,"Now the king came home, and he had defeated the other king, against whom he had warred; ",2645,2733
25," and the whole castle was overjoyed, and none was more joyful than the king's daughter. ",2732,2820
26,"But the queen pretended to be ill, and gave the physician a great deal of money so that he should say that she could not recover unless she had some of the blue bull's flesh to eat. ",2820,3002
27,"The king's daughter and others as well asked the physician whether nothing else would do, and pleaded for the bull; ",3002,3118
28," for all liked him, and said that there was not such another in the whole kingdom. ",3117,3200
