sentence_id,event_id,temporal_rank
0,1,0
1,3,1
1,4,2
3,0,3
4,2,4
4,3,5
5,0,6
5,1,7
5,2,8
6,0,9
7,0,10
7,1,11
7,2,12
7,3,13
7,4,14
8,1,15
8,2,16
8,6,17
11,1,18
10,0,19
11,4,20
12,1,21
12,2,22
12,3,23
12,6,24
12,5,25
14,0,26
14,1,27
16,6,28
15,0,29
19,1,30
19,2,31
19,4,32
19,3,33
20,2,34
19,6,35
20,6,36
20,3,37
21,0,38
21,1,39
22,0,40
21,3,41
23,2,42
23,1,43
23,3,44
25,0,45
25,1,46
26,0,47
26,1,48
27,0,49
27,2,50
27,3,51
27,4,52
28,0,53
28,1,54
29,0,55
29,1,56
29,5,57
29,2,58
30,2,59
30,3,60
31,0,61
31,1,62
32,0,63
32,1,64
32,2,65
33,0,66
32,4,67
33,1,68
34,3,69
34,2,70
36,2,71
37,1,72
37,2,73
37,3,74
38,0,75
40,3,76
41,0,77
43,1,78
43,2,79
46,3,80
45,0,81
47,0,82
47,2,83
47,3,84
51,0,85
48,5,86
51,1,87
51,5,88
51,4,89
51,2,90
52,0,91
52,1,92
52,2,93
53,4,94
54,2,95
54,3,96
56,0,97
56,1,98
57,0,99
56,3,100
58,0,101
58,2,102
59,0,103
59,1,104
61,0,105
61,2,106
61,4,107
67,3,108
68,0,109
69,0,110
68,2,111
69,1,112
70,0,113
70,2,114
71,0,115
74,0,116
71,1,117
75,2,118
75,4,119
75,6,120
76,0,121
76,1,122
76,2,123
80,1,124
79,0,125
77,2,126
77,1,127
81,0,128
80,4,129
82,0,130
83,0,131
83,1,132
84,0,133
84,1,134
85,2,135
84,2,136
85,4,137
86,0,138
86,4,139
86,1,140
86,5,141
86,6,142
89,2,143
90,1,144
90,3,145
91,4,146
91,0,147
90,4,148
92,1,149
92,2,150
92,5,151
92,3,152
93,1,153
95,0,154
95,2,155
98,3,156
98,0,157
96,2,158
99,0,159
99,2,160
100,3,161
100,4,162
101,0,163
101,3,164
105,0,165
107,5,166
107,3,167
106,2,168
111,1,169
111,6,170
111,4,171
113,2,172
114,2,173
116,0,174
115,1,175
117,0,176
116,3,177
118,1,178
119,1,179
119,3,180
120,1,181
121,1,182
120,3,183
121,2,184
124,0,185
124,1,186
125,1,187
125,3,188
126,2,189
128,0,190
127,1,191
129,1,192
130,1,193
130,3,194
130,6,195
131,0,196
132,2,197
132,1,198
131,2,199
132,3,200
133,0,201
134,0,202
133,2,203
134,1,204
136,0,205
136,1,206
137,0,207
137,2,208
138,0,209
139,1,210
141,5,211
140,1,212
143,0,213
142,2,214
144,0,215
144,1,216
147,1,217
146,1,218
144,2,219
148,1,220
153,0,221
151,0,222
155,0,223
153,5,224
155,2,225
157,0,226
155,4,227
157,1,228
158,0,229
158,1,230
160,1,231
158,2,232
161,0,233
161,5,234
164,0,235
164,1,236
164,2,237
165,0,238
165,1,239
165,3,240
167,0,241
168,1,242
168,2,243
169,0,244
168,3,245
169,1,246
170,0,247
170,1,248
171,1,249
172,0,250
172,2,251
174,1,252
175,1,253
175,2,254
176,0,255
177,3,256
177,4,257
179,1,258
179,2,259
179,3,260
179,7,261
180,1,262
180,2,263
181,0,264
181,1,265
185,0,266
183,1,267
185,1,268
186,0,269
187,1,270
186,1,271
188,1,272
189,0,273
189,1,274
190,3,275
194,0,276
193,1,277
191,2,278
195,2,279
195,0,280
197,0,281
197,1,282
198,1,283
199,0,284
200,3,285
200,0,286
200,4,287
202,1,288
200,6,289
203,0,290
205,2,291
205,3,292
205,4,293
206,2,294
206,3,295
206,6,296
206,4,297
207,1,298
209,1,299
210,0,300
211,1,301
213,0,302
215,3,303
216,0,304
216,2,305
217,4,306
217,2,307
218,0,308
219,2,309
219,3,310
220,2,311
222,1,312
222,0,313
220,4,314
223,2,315
224,1,316
224,3,317
224,4,318
225,0,319
225,3,320
226,1,321
227,2,322
227,1,323
227,3,324
227,6,325
227,4,326
228,0,327
229,0,328
229,2,329
230,0,330
230,1,331
231,0,332
231,1,333
231,2,334
233,0,335
232,2,336
233,1,337
233,3,338
234,1,339
234,5,340
235,2,341
235,3,342
235,4,343
235,6,344
236,4,345
236,0,346
237,0,347
236,7,348
238,1,349
239,0,350
239,3,351
239,1,352
239,4,353
240,1,354
243,3,355
243,0,356
242,1,357
241,0,358
245,5,359
244,4,360
244,3,361
246,0,362
246,1,363
247,0,364
247,2,365
248,3,366
248,0,367
249,0,368
249,1,369
249,2,370
249,4,371
249,3,372
250,2,373
250,5,374
250,3,375
250,6,376
250,9,377
250,7,378
251,0,379
253,2,380
251,2,381
253,3,382
253,4,383
253,5,384
254,1,385
255,0,386
255,1,387
255,8,388
255,3,389
256,0,390
256,1,391
257,1,392
258,0,393
257,2,394
259,1,395
259,2,396
260,0,397
