sentence_id,text,start,end
0,"There was once upon a time a king called Kojata, whose beard was so long that it reached below his knees. ",0,106
1,"Three years had passed since his marriage, and he lived very happily with his wife, but Heaven granted him no heir, which grieved the King greatly. ",106,254
2,"One day he set forth from his capital, in order to make a journey through his kingdom. ",254,341
3,"He travelled for nearly a year through the different parts of his territory, and then, having seen all there was to be seen, he set forth on his homeward way. ",341,500
4,"As the day was very hot and sultry he commanded his servants to pitch tents in the open field, and there await the cool of the evening. ",500,636
5,"Suddenly a frightful thirst seized the King, and as he saw no water near, he mounted his horse, and rode through the neighbourhood looking for a spring. ",636,789
6,"Before long he came to a well filled to the brim with water clear as crystal, and on the bosom of which a golden jug was floating. ",789,920
7,"King Kojata at once tried to seize the vessel, but though he endeavoured to grasp it with his right hand, and then with his left, the wretched thing always eluded his efforts and refused to let itself be caught. ",920,1132
8,"First with one hand, and then with two, did the King try to seize it, but like a fish the goblet always slipped through his fingers and bobbed to the ground only to reappear at some other place, and mock the King. ",1132,1346
9,'Plague on you!' ,1346,1363
10,said King Kojata. ,1363,1381
11,"'I can quench my thirst without you,' and bending over the well he lapped up the water so greedily that he plunged his face, beard and all, right into the crystal mirror. ",1381,1552
12,"But when he had satisfied his thirst, and wished to raise himself up, he couldn't lift his head, because someone held his beard fast in the water. ",1552,1699
13,'Who's there? ,1699,1713
14,let me go!' ,1713,1725
15,"cried King Kojata, but there was no answer; ",1725,1769
16," only an awful face looked up from the bottom of the well with two great green eyes, glowing like emeralds, and a wide mouth reaching from ear to ear showing two rows of gleaming white teeth, and the King's beard was held, not by mortal hands, but by two claws. ",1768,2030
17,At last a hoarse voice sounded from the depths. ,2030,2078
18,"'Your trouble is all in vain, King Kojata; ",2078,2121
19," I will only let you go on condition that you give me something you know nothing about, and which you will find on your return home.' ",2120,2254
20,"The King didn't pause to ponder long, 'for what,' thought he, 'could be in my palace without my knowing about it--the thing is absurd;'",2254,2389
21,"' so he answered quickly: 'Yes, I promise that you shall have it.' ",2388,2455
22,"The voice replied, 'Very well; ",2455,2486
23, but it will go ill with you if you fail to keep your promise.' ,2485,2549
24,"Then the claws relaxed their hold, and the face disappeared in the depths. ",2549,2624
25,"The King drew his chin out of the water, and shook himself like a dog; ",2624,2695
26, then he mounted his horse and rode thoughtfully home with his retinue. ,2694,2766
27,"When they approached the capital, all the people came out to meet them with great joy and acclamation, and when the King reached his palace the Queen met him on the threshold; ",2766,2942
28," beside her stood the Prime Minister, holding a little cradle in his hands, in which lay a new-born child as beautiful as the day. ",2941,3072
29,"Then the whole thing dawned on the King, and groaning deeply he muttered to himself 'So this is what I did not know about,' and the tears rolled down his cheeks. ",3072,3234
30,"All the courtiers standing round were much amazed at the King's grief, but no one dared to ask him the cause of it. ",3234,3350
31,He took the child in his arms and kissed it tenderly; ,3350,3404
32," then laying it in its cradle, he determined to control his emotion and began to reign again as before. ",3403,3507
33,"The secret of the King remained a secret, though his grave, careworn expression escaped no one's notice. ",3507,3612
34,"In the constant dread that his child would be taken from him, poor Kojata knew no rest night or day. ",3612,3713
35,"However, time went on and nothing happened. ",3713,3757
36,"Days and months and years passed, and the Prince grew up into a beautiful youth, and at last the King himself forgot all about the incident that had happened so long ago. ",3757,3928
37,"One day the Prince went out hunting, and going in pursuit of a wild boar he soon lost the other huntsmen, and found himself quite alone in the middle of a dark wood. ",3928,4094
38,"The trees grew so thick and near together that it was almost impossible to see through them, only straight in front of him lay a little patch of meadowland. ",4094,4251
39,"Overgrown with thistles and rank weeds, in the centre of which a leafy lime tree reared itself. ",4251,4347
40,"Suddenly a rustling sound was heard in the hollow of the tree, and an extraordinary old man with green eyes and chin crept out of it. ",4347,4481
41,"'A fine day, Prince Milan,' he said; ",4481,4518
42, 'you've kept me waiting a good number of years; ,4517,4566
43, it was high time for you to come and pay me a visit.' ,4565,4620
44,"'Who are you, in the name of wonder?' ",4620,4658
45,demanded the astonished Prince. ,4658,4690
46,"'You'll find out soon enough, but in the meantime do as I bid you. ",4690,4757
47,"Greet your father King Kojata from me, and don't forget to remind him of his debt; ",4757,4840
48," the time has long passed since it was due, but now he will have to pay it. ",4839,4915
49,Farewell for the present; ,4915,4941
50, we shall meet again.' ,4940,4963
51,"With these words the old man disappeared into the tree, and the Prince returned home rather startled, and told his father all that he had seen and heard. ",4963,5117
52,"The King grew as white as a sheet when he heard the Prince's story, and said, 'Woe is me, my son! ",5117,5215
53,"The time has come when we must part,' and with a heavy heart he told the Prince what had happened at the time of his birth. ",5215,5339
54,"'Don't worry or distress yourself, dear father,' answered Prince Milan. ",5339,5411
55,'Things are never as bad as they look. ,5411,5450
56,"Only give me a horse for my journey, and I wager you'll soon see me back again.' ",5450,5531
57,"The King gave him a beautiful charger, with golden stirrups, and a sword. ",5531,5605
58,"The Queen hung a little cross round his neck, and after much weeping and lamentation the Prince bade them all farewell and set forth on his journey. ",5605,5754
59,"He rode straight on for two days, and on the third he came to a lake as smooth as glass and as clear as crystal. ",5754,5867
60,"Not a breath of wind moved, not a leaf stirred, all was silent as the grave, only on the still bosom of the lake thirty ducks, with brilliant plumage, swam about in the water. ",5867,6043
61,"Not far from the shore Prince Milan noticed thirty little white garments lying on the grass, and dismounting from his horse, he crept down under the high bulrushes, took one of the garments and hid himself with it behind the bushes which grew round the lake. ",6043,6302
62,"The ducks swam about all over the place, dived down into the depths and rose again and glided through the waves. ",6302,6415
63,"At last, tired of disporting themselves, they swam to the shore, and twenty-nine of them put on their little white garments and instantly turned into so many beautiful maidens. ",6415,6592
64,Then they finished dressing and disappeared. ,6592,6637
65,Only the thirtieth little duck couldn't come to the land; ,6637,6695
66," it swam about close to the shore, and, giving out a piercing cry, it stretched its neck up timidly, gazed wildly around, and then dived under again. ",6694,6844
67,"Prince Milan's heart was so moved with pity for the poor little creature that he came out from behind the bulrushes, to see if he could be of any help. ",6844,6996
68,"As soon as the duck perceived him, it cried in a human voice, 'Oh, dear Prince Milan, for the love of Heaven give me back my garment, and I will be so grateful to you.' ",6996,7165
