sentence_id,verb_id,verb,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,subj_coref_ids,subj_start_byte,subj_end_byte,subj_start_byte_text,subj_end_byte_text,dobj_coref_ids,dobj_start_byte,dobj_end_byte,dobj_start_byte_text,dobj_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,event_label,major_event
0,1,called,34,40,34,40,,27.0,33.0,27.0,33.0,1,41.0,47.0,41.0,47.0,,,,,verb.communication,1,True
1,4,grieved,122,129,228,235,,107.0,114.0,213.0,220.0,7,130.0,138.0,236.0,244.0,139.0,146.0,245.0,252.0,verb.emotion,1,True
3,0,travelled,3,12,344,353,1,0.0,2.0,341.0,343.0,,,,,,,,,,verb.motion,1,True
4,2,commanded,38,47,538,547,1,35.0,37.0,535.0,537.0,"1,12",48.0,60.0,548.0,560.0,,,,,verb.communication,1,True
5,0,seized,28,34,664,670,,9.0,27.0,645.0,663.0,7,35.0,43.0,671.0,679.0,,,,,verb.contact,1,True
6,0,came,15,19,804,808,7,12.0,14.0,801.0,803.0,,20.0,43.0,809.0,832.0,,,,,verb.motion,1,True
7,1,seize,29,34,949,954,1,0.0,11.0,920.0,931.0,,35.0,45.0,955.0,965.0,,,,,verb.contact,1,True
8,2,seize,60,65,1192,1197,7,44.0,52.0,1176.0,1184.0,,66.0,68.0,1198.0,1200.0,,,,,verb.contact,1,True
10,0,said,0,4,1363,1367,,,,,,1,5.0,16.0,1368.0,1379.0,,,,,verb.communication,1,True
11,1,quench,7,13,1388,1394,1,1.0,2.0,1382.0,1383.0,1,14.0,23.0,1395.0,1404.0,24.0,35.0,1405.0,1416.0,verb.change,1,True
12,6,held,113,117,1665,1669,20,105.0,112.0,1657.0,1664.0,1,118.0,127.0,1670.0,1679.0,128.0,145.0,1680.0,1697.0,verb.contact,1,True
14,0,let,0,3,1713,1716,,,,,,1,4.0,9.0,1717.0,1722.0,,,,,verb.social,1,True
15,0,cried,0,5,1725,1730,,,,,,1,6.0,17.0,1731.0,1742.0,,,,,verb.communication,1,True
16,6,held,217,221,1985,1989,7,196.0,212.0,1964.0,1980.0,,,,,,,,,,verb.contact,1,True
19,1,let,13,16,2133,2136,7,1.0,2.0,2121.0,2122.0,7,17.0,131.0,2137.0,2251.0,,,,,verb.social,1,True
20,6,knowing,96,103,2350,2357,7,93.0,95.0,2347.0,2349.0,,104.0,112.0,2358.0,2366.0,,,,,verb.cognition,1,True
21,0,answered,8,16,2396,2404,7,5.0,7.0,2393.0,2395.0,24,27.0,64.0,2415.0,2452.0,,,,,verb.communication,1,True
22,0,replied,10,17,2465,2472,24,0.0,9.0,2455.0,2464.0,,20.0,29.0,2475.0,2484.0,,,,,verb.communication,1,True
23,2,fail,36,40,2521,2525,7,32.0,35.0,2517.0,2520.0,7,41.0,61.0,2526.0,2546.0,,,,,verb.social,1,True
25,1,shook,45,50,2669,2674,7,0.0,8.0,2624.0,2632.0,7,51.0,58.0,2675.0,2682.0,59.0,69.0,2683.0,2693.0,verb.motion,1,True
26,1,rode,31,35,2725,2729,7,6.0,8.0,2700.0,2702.0,,36.0,53.0,2730.0,2747.0,54.0,70.0,2748.0,2764.0,verb.motion,1,True
27,0,approached,10,20,2776,2786,27,5.0,9.0,2771.0,2775.0,,21.0,32.0,2787.0,2798.0,,,,,verb.motion,1,True
28,0,stood,12,17,2953,2958,32,1.0,11.0,2942.0,2952.0,33,18.0,36.0,2959.0,2977.0,38.0,129.0,2979.0,3070.0,verb.contact,1,True
29,5,know,111,115,3183,3187,7,101.0,102.0,3173.0,3174.0,,116.0,121.0,3188.0,3193.0,,,,,verb.cognition,1,True
