sentence_id,event_id,event,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,coref_id,arg_start_byte_sentence,arg_end_byte_sentence,arg_start_byte_text,arg_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,temporal_rank,argument,name,name_mentions,pronoun_mentions,total_mentions,gender,gender_certainty,importance
2,0,had,19,22,127,130,3,16.0,18.0,124.0,126.0,,,,,verb.possession,0,subject,a man who lived in the little back room,1,3,4,male,1.0,tertiary
2,2,named,44,49,152,157,7,23.0,33.0,131.0,141.0,,,,,verb.communication,1,subject,three sons,1,0,1,unknown,0.0,tertiary
3,2,work,44,48,247,251,9,0.0,9.0,203.0,212.0,,,,,verb.social,3,subject,All three,1,4,5,group/nonbinary,1.0,tertiary
4,0,thought,5,12,284,291,9,0.0,4.0,279.0,283.0,,,,,verb.cognition,2,subject,All three,1,4,5,group/nonbinary,1.0,tertiary
5,0,heard,19,24,393,398,0,0.0,13.0,374.0,387.0,,,,,verb.cognition,5,subject,Peter,9,33,42,male,1.0,secondary
5,1,wanted,39,45,413,419,11,30.0,38.0,404.0,412.0,,,,,verb.emotion,4,subject,the king,28,37,65,male,1.0,secondary
5,2,told,79,83,453,457,0,76.0,78.0,450.0,452.0,,,,,verb.communication,6,subject,Peter,9,33,42,male,1.0,secondary
5,4,apply,104,109,478,483,0,84.0,94.0,458.0,468.0,,,,,verb.social,9,subject,Peter,9,33,42,male,1.0,secondary
5,4,apply,104,109,478,483,14,84.0,94.0,458.0,468.0,,,,,verb.social,9,subject,Peter's father,5,2,7,male,1.0,tertiary
5,8,wished,170,176,544,550,0,167.0,169.0,541.0,543.0,,,,,verb.emotion,7,subject,Peter,9,33,42,male,1.0,secondary
5,9,serve,180,185,554,559,0,167.0,169.0,541.0,543.0,,,,,verb.social,10,subject,Peter,9,33,42,male,1.0,secondary
9,0,insisted,6,14,933,941,0,0.0,5.0,927.0,932.0,,,,,verb.communication,11,subject,Peter,9,33,42,male,1.0,secondary
9,2,have,26,30,953,957,0,0.0,5.0,927.0,932.0,,,,,verb.possession,13,subject,Peter,9,33,42,male,1.0,secondary
9,3,took,44,48,971,975,0,0.0,5.0,927.0,932.0,76.0,85.0,1003.0,1012.0,verb.contact,12,subject,Peter,9,33,42,male,1.0,secondary
9,4,shambled,67,75,994,1002,0,0.0,5.0,927.0,932.0,,,,,verb.motion,14,subject,Peter,9,33,42,male,1.0,secondary
10,1,gone,13,17,1027,1031,0,6.0,8.0,1020.0,1022.0,,,,,verb.motion,15,subject,Peter,9,33,42,male,1.0,secondary
10,2,saw,30,33,1044,1047,0,27.0,29.0,1041.0,1043.0,,,,,verb.perception,17,subject,Peter,9,33,42,male,1.0,secondary
10,5,wedged,68,74,1082,1088,21,59.0,67.0,1073.0,1081.0,91.0,110.0,1105.0,1124.0,verb.contact,16,subject,an old woman who had got her nose wedged in a tree - stump while chopping wood's old woman who had got her nose wedged in a tree - stump while chopping wood,1,2,3,female,1.0,tertiary
10,7,saw,127,130,1141,1144,0,121.0,126.0,1135.0,1140.0,,,,,verb.perception,18,subject,Peter,9,33,42,male,1.0,secondary
10,9,trying,161,167,1175,1181,0,121.0,126.0,1135.0,1140.0,,,,,verb.social,19,subject,Peter,9,33,42,male,1.0,secondary
10,11,burst,183,188,1197,1202,0,180.0,182.0,1194.0,1196.0,,,,,verb.change,20,subject,Peter,9,33,42,male,1.0,secondary
12,2,caught,41,47,1377,1383,22,0.0,1.0,1336.0,1337.0,,,,,verb.contact,24,subject,the woman,1,6,7,female,1.0,tertiary
13,2,standing,17,25,1415,1423,22,5.0,6.0,1403.0,1404.0,,,,,verb.contact,23,subject,the woman,1,6,7,female,1.0,tertiary
13,3,pulling,57,64,1455,1462,22,5.0,6.0,1403.0,1404.0,,,,,verb.contact,22,subject,the woman,1,6,7,female,1.0,tertiary
14,1,laugh,18,23,1554,1559,0,5.0,10.0,1541.0,1546.0,,,,,verb.body,27,subject,Peter,9,33,42,male,1.0,secondary
15,0,found,3,8,1579,1584,0,0.0,2.0,1576.0,1578.0,,,,,verb.cognition,28,subject,Peter,9,33,42,male,1.0,secondary
15,1,said,34,38,1610,1614,0,0.0,2.0,1576.0,1578.0,,,,,verb.communication,30,subject,Peter,9,33,42,male,1.0,secondary
15,4,standing,68,76,1644,1652,22,47.0,50.0,1623.0,1626.0,83.0,98.0,1659.0,1674.0,verb.contact,29,subject,the woman,1,6,7,female,1.0,tertiary
16,0,came,8,12,1752,1756,0,5.0,7.0,1749.0,1751.0,,,,,verb.motion,31,subject,Peter,9,33,42,male,1.0,secondary
18,2,lost,64,68,1978,1982,11,7.0,52.0,1921.0,1966.0,,,,,verb.possession,34,subject,the king,28,37,65,male,1.0,secondary
18,2,lost,64,68,1978,1982,29,7.0,52.0,1921.0,1966.0,,,,,verb.possession,34,subject,a single one of the king 's hares,1,0,1,male,1.0,tertiary
20,0,ran,6,9,2244,2247,0,0.0,5.0,2238.0,2243.0,21.0,99.0,2259.0,2337.0,verb.motion,36,subject,Peter,9,33,42,male,1.0,secondary
20,1,thought,58,65,2296,2303,0,55.0,57.0,2293.0,2295.0,,,,,verb.cognition,39,subject,Peter,9,33,42,male,1.0,secondary
20,3,catch,75,80,2313,2318,0,66.0,68.0,2304.0,2306.0,,,,,verb.contact,38,subject,Peter,9,33,42,male,1.0,secondary
20,5,vanished,132,140,2370,2378,36,110.0,127.0,2348.0,2365.0,,,,,verb.change,40,subject,the very last one,1,0,1,unknown,0.0,tertiary
20,8,saw,170,173,2408,2411,0,167.0,169.0,2405.0,2407.0,,,,,verb.perception,41,subject,Peter,9,33,42,male,1.0,secondary
21,1,taking,26,32,2455,2461,0,12.0,14.0,2441.0,2443.0,,,,,verb.possession,42,subject,Peter,9,33,42,male,1.0,secondary
21,2,reached,64,71,2493,2500,0,61.0,63.0,2490.0,2492.0,,,,,verb.motion,43,subject,Peter,9,33,42,male,1.0,secondary
21,4,came,140,144,2569,2573,39,131.0,139.0,2560.0,2568.0,,,,,verb.motion,44,subject,no hares,1,0,1,unknown,0.0,tertiary
22,0,came,18,22,2593,2597,0,15.0,17.0,2590.0,2592.0,,,,,verb.motion,46,subject,Peter,9,33,42,male,1.0,secondary
23,0,cut,3,6,2665,2668,11,0.0,2.0,2662.0,2664.0,,,,,verb.contact,47,subject,the king,28,37,65,male,1.0,secondary
23,1,cast,43,47,2705,2709,11,0.0,2.0,2662.0,2664.0,,,,,verb.contact,48,subject,the king,28,37,65,male,1.0,secondary
24,0,decided,19,26,2753,2760,1,14.0,18.0,2748.0,2752.0,,,,,verb.cognition,49,subject,Paul,2,4,6,male,1.0,tertiary
24,2,herd,51,55,2785,2789,1,14.0,18.0,2748.0,2752.0,,,,,verb.motion,50,subject,Paul,2,4,6,male,1.0,tertiary
25,0,told,11,15,2819,2823,1,0.0,10.0,2808.0,2818.0,,,,,verb.communication,52,subject,Paul,2,4,6,male,1.0,tertiary
25,0,told,11,15,2819,2823,14,0.0,10.0,2808.0,2818.0,,,,,verb.communication,52,subject,Peter's father,5,2,7,male,1.0,tertiary
