coref_id,character_name,character_token,sentence_id,start_byte_in_sentence,end_byte_in_sentence,overlap
2,Laotsze,Laotsze,0,0,7,0
2,Laotsze,Laotsze,17,0,7,1
2,Laotsze,Laotsze,31,35,42,0
2,Laotsze,Laotsze,32,3,10,0
2,Laotsze,his,15,78,81,0
2,Laotsze,Laotsze,15,55,62,0
2,Laotsze,his,20,21,24,1
2,Laotsze,Laotsze,34,15,22,0
2,Laotsze,Laotsze,36,0,7,0
2,Laotsze,Laotsze,11,4,11,0
2,Laotsze,Laotsze,19,53,60,0
2,Laotsze,Laotsze,20,5,12,0
2,Laotsze,He,9,0,2,0
2,Laotsze,he,8,5,7,0
2,Laotsze,he,7,37,39,0
2,Laotsze,he,7,5,7,0
2,Laotsze,his,9,18,21,1
2,Laotsze,he,2,17,19,0
2,Laotsze,his,5,30,33,0
2,Laotsze,Laotsze,3,53,60,0
2,Laotsze,He,1,0,2,0
2,Laotsze,he,5,5,7,0
2,Laotsze,his,4,68,71,0
2,Laotsze,he,4,56,58,0
2,Laotsze,He,4,0,2,0
2,Laotsze,his,3,119,122,0
2,Laotsze,His,3,0,3,0
2,Laotsze,He,6,0,2,0
2,Laotsze,he,3,111,113,0
2,Laotsze,he,3,90,92,0
5,the Yellow Lord,the Yellow Lord,1,6,21,0
3,The Old Child,The Old Child,3,63,76,0
9,a servant,him,6,18,21,0
9,a servant,him,7,45,48,0
9,a servant,a servant,5,14,23,0
9,a servant,him,7,20,23,0
9,a servant,him,11,17,20,0
10,his servant,your,24,96,100,0
10,his servant,you,24,19,22,0
10,his servant,you,24,10,13,0
10,his servant,you,24,92,95,0
10,his servant,You,21,0,3,0
10,his servant,you,22,70,73,0
10,his servant,you,22,49,52,0
10,his servant,you,22,8,11,0
10,his servant,You,20,35,38,1
10,his servant,you,25,4,7,0
10,his servant,you,23,12,15,0
10,his servant,his servant,26,24,35,0
10,his servant,his servant,20,21,32,0
10,his servant,his servant,9,18,29,0
13,the servant,the servant,19,75,86,0
13,the servant,the servant,10,39,50,0
13,the servant,the servant,31,19,30,0
13,the servant,the servant,32,59,70,0
13,the servant,the servant,29,4,15,0
15,the guardian of the pass,the guardian of the pass,30,5,29,0
15,the guardian of the pass,him,34,60,63,0
15,the guardian of the pass,his,34,26,29,1
15,the guardian of the pass,he,34,5,7,0
15,the guardian of the pass,him,33,30,33,0
15,the guardian of the pass,The guardian of the pass,33,0,24,0
15,the guardian of the pass,him,31,76,79,0
15,the guardian of the pass,He,31,0,2,0
15,the guardian of the pass,him,30,68,71,0
15,the guardian of the pass,himself,30,35,42,0
15,the guardian of the pass,his,33,34,37,0
15,the guardian of the pass,him,33,58,61,0
15,the guardian of the pass,his,34,102,105,0
15,the guardian of the pass,him,34,98,101,0
15,the guardian of the pass,the guardian of the pass,12,31,55,0
15,the guardian of the pass,the guardian of the pass,16,14,38,0
15,the guardian of the pass,The guardian of the pass,37,0,24,0
15,the guardian of the pass,his,37,43,46,0
16,the guardian,the guardian,17,38,50,1
16,the guardian,He,15,0,2,0
16,the guardian,his,14,45,48,0
16,the guardian,the guardian,19,8,20,0
16,the guardian,the guardian,34,147,159,0
16,the guardian,he,14,3,5,0
16,the guardian,The guardian,13,0,12,0
16,the guardian,the guardian,18,5,17,1
17,a holy man,him,14,36,39,0
17,a holy man,him,14,23,26,0
17,a holy man,him,15,14,17,0
17,a holy man,him,15,92,95,0
17,a holy man,a holy man,13,48,58,0
17,a holy man,him,16,47,50,0
17,a holy man,his,16,80,83,0
21,Laotsze 's servant,Laotsze's servant,17,0,17,0
21,Laotsze 's servant,his,17,56,59,1
21,Laotsze 's servant,him,17,72,75,0
21,Laotsze 's servant,him,17,147,150,0
22,the servant of the guardian,the servant of the guardian,17,23,50,0
24,his master,his master,17,56,66,0
24,his master,his master,34,26,36,0
25,the latter,the latter,31,54,64,0
25,the latter,his,27,29,32,0
25,the latter,the latter,27,11,21,0
25,the latter,the latter,17,110,120,0
25,the latter,the latter,34,42,52,0
27,the guardian 's servant,the guardian's servant,18,5,27,0
27,the guardian 's servant,he,18,58,60,0
27,the guardian 's servant,he,18,119,121,0
27,the guardian 's servant,him,18,130,133,0
27,the guardian 's servant,his,18,137,140,1
28,a man,a man,18,91,96,0
29,a son - in - law,a son-in-law,18,101,113,0
30,his daughter,his daughter,18,137,149,0
51,You rascally servant,You rascally servant,20,35,55,0
47,the Tao Teh King,the Tao Teh King,35,39,55,0
48,men,men,36,42,45,0
50,the immortals,the immortals,37,86,99,0
