sentence_id,text,start,end
0,"There was a King in his own time in Erin, and he went hunting one day. ",0,71
1,"The King met a man whose head was out through his cap, whose elbows and knees were out through his clothing, and whose toes were out through his shoes. ",71,223
2,"The man went up to the King, gave him a blow on the face, and drove three teeth from his mouth. ",223,319
3,The same blow put the King's head in the dirt. ,319,366
4,"When he rose from the earth, the King went back to his castle, and lay down sick and sorrowful. ",366,462
5,"The King had three sons, and their names were Ur, Arthur, and Lawn Dyarrig. ",462,538
6,"The three were at school that day, and came home in the evening. ",538,603
7,The father sighed when the sons were coming in. ,603,651
8,"""What is wrong with our father?"" ",651,684
9,asked the eldest. ,684,702
10,"""Your father is sick on his bed,"" said the mother. ",702,753
11,The three sons went to their father and asked what was on him. ,753,816
12,"""A strong man that I met to-day gave me a blow in the face, put my head in the dirt, and knocked three teeth from my mouth. ",816,940
13,"What would you do to him if you met him?"" ",940,982
14,asked the father of the eldest son. ,982,1018
15,"""If I met that man,"" replied Ur, ""I would make four parts of him between four horses."" ",1018,1105
16,"""You are my son,"" said the King. ",1105,1138
17,"""What would you do if you met him?"" ",1138,1174
18,asked he then as he turned to the second son. ,1174,1220
19,"""If I had a grip on that man I would burn him between four fires."" ",1220,1287
20,"""You, too, are my son. ",1287,1310
21,"What would you do?"" ",1310,1330
22,asked the King of Lawn Dyarrig. ,1330,1362
23,"""If I met that man, I would do my best against him, and he might not stand long before me."" ",1362,1454
24,"""You are not my son. ",1454,1475
25,"I would not lose lands or property on you,"" said the father. ",1475,1536
26,"""You must go from me, and leave this to-morrow."" ",1536,1585
27,On the following morning the three brothers rose with the dawn; ,1585,1649
28, the order was given Lawn Dyarrig to leave the castle and make his own way for himself. ,1648,1736
29,The other two brothers were going to travel the world to know could they find the man who had injured their father. ,1736,1852
30,"Lawn Dyarrig lingered outside till he saw the two, and they going off by themselves. ",1852,1937
31,"""It is a strange thing,"" said he, ""for two men of high degree to go travelling without a servant."" ",1937,2036
32,"""We need no one,"" said Ur. ",2036,2063
33,"""Company wouldn't harm us,"" said Arthur. ",2063,2104
34,"The two let Lawn Dyarrig go with them as a serving-boy, and set out to find the man who had struck down their father. ",2104,2222
35,"They spent all that day walking, and came late to a house where one woman was living. ",2222,2308
36,"She shook hands with Ur and Arthur, and greeted them. ",2308,2362
37,Lawn Dyarrig she kissed and welcomed; ,2362,2400
38, called him son of the King of Erin. ,2399,2436
39,"""It is a strange thing to shake hands with the elder, and kiss the younger,"" said Ur. ",2436,2522
40,"""This is a story to tell,"" said the woman, ""the same as if your death were in it."" ",2522,2605
41,They made three parts of that night. ,2605,2642
42,"The first part they spent in conversation, the second in telling tales, the third in eating and drinking, with sound sleep and sweet slumber. ",2642,2784
43,"As early as the day dawned next morning the old woman was up, and had food for the young men. ",2784,2878
44,"When the three had eaten, she spoke to Ur, and this is what she asked of him: ""What was it that drove you from home, and what brought you to this place?"" ",2878,3032
45,"""A champion met my father, and took three teeth from him and put his head in the dirt. ",3032,3119
46,"I am looking for that man, to find him alive or dead."" ",3119,3174
47,"""That was the Green Knight from Terrible Valley. ",3174,3223
48,He is the man who took the three teeth from your father. ,3223,3280
49,"I am three hundred years living in this place, and there is not a year of the three hundred in which three hundred heroes, fresh, young, and noble, have not passed on the way to Terrible Valley, and never have I seen one coming back, and each of them had the look of a man better than you. ",3280,3570
50,"And now where are you going, Arthur?"" ",3570,3608
51,"""I am on the same journey with my brother."" ",3608,3652
52,"""Where are you going, Lawn Dyarrig?"" ",3652,3689
53,"""I am going with these as a servant,"" said Lawn Dyarrig. ",3689,3746
54,"""God's help to you, it's bad clothing that's on your body,"" said the woman. ",3746,3822
55,"""And now I will speak to Ur. ",3822,3851
56,A day and a year since a champion passed this way. ,3851,3902
57,He wore a suit as good as was ever above ground. ,3902,3951
58,I had a daughter sewing there in the open window. ,3951,4001
59,"He came outside, put a finger under her girdle, and took her with him. ",4001,4072
60,"Her father followed straightway to save her, but I have never seen daughter nor father from that day to this. ",4072,4182
61,That man was the Green Knight of Terrible Valley. ,4182,4232
62,He is better than all the men that could stand on a field a mile in length and a mile in breadth. ,4232,4330
63,"If you take my advice you'll turn back and go home to your father."" ",4330,4398
64,"It is how she vexed Ur with this talk, and he made a vow to himself to go on. ",4398,4476
65,"When Ur did not agree to turn home, the woman said to Lawn Dyarrig, ""Go back to my chamber; ",4476,4568
66," you'll find in it the apparel of a hero."" ",4567,4610
67,"He went back, and there was not a bit of the apparel he did not go into with a spring. ",4610,4697
68,"""You may be able to do something now,"" said the woman, when Lawn Dyarrig came to the front. ",4697,4789
69,"""Go back to my chamber and search through all the old swords. ",4789,4851
70,You will find one at the bottom. ,4851,4884
71,"Take that."" ",4884,4896
72,"He found the old sword, and at the first shake that he gave he knocked seven barrels of rust out of it; ",4896,5000
73, after the second shake it was as bright as when made. ,4999,5054
74,"""You may be able to do well with that,"" said the woman. ",5054,5110
75,"""Go out, now, to that stable abroad, and take the slim white steed that is in it. ",5110,5192
76,That one will never stop nor halt in any place till he brings you to the Eastern World. ,5192,5280
77,"If you like, take these two men behind you; ",5280,5324
78," if not, let them walk. ",5323,5347
79,"But I think it is useless for you to have them at all with you."" ",5347,5412
80,"Lawn Dyarrig went out to the stable, took the slim white steed, mounted, rode to the front, and catching the two brothers, planted them on the horse behind him. ",5412,5573
81,"""Now, Lawn Dyarrig,"" said the woman, ""this horse will never stop till he stands on the little white meadow in the Eastern World. ",5573,5702
82,"When he stops, you'll come down, and cut the turf under his beautiful right front foot."" ",5702,5791
83,"The horse started from the door, and at every leap he crossed seven hills and valleys, seven castles with villages, acres, roods, and odd perches. ",5791,5938
84,He could overtake the whirlwind before him seven hundred times before the whirlwind behind him could overtake him once. ,5938,6058
85,Early in the afternoon of the next day he was in the Eastern World. ,6058,6126
86,"When he dismounted, Lawn Dyarrig cut the sod from under the foot of the slim white steed, in the name of the Father, Son, and Holy Ghost, and Terrible Valley was down under him there. ",6126,6310
