sentence_id,event_id,event,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,coref_id,arg_start_byte_sentence,arg_end_byte_sentence,arg_start_byte_text,arg_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,temporal_rank,argument,name,name_mentions,pronoun_mentions,total_mentions,gender,gender_certainty,importance
0,4,called,85,91,85,91,26,78.0,80.0,78.0,80.0,,,,,verb.communication,0,subject,a little boy,1,5,6,male,1.0,tertiary
1,1,sailed,35,41,140,146,26,32.0,34.0,137.0,139.0,,,,,verb.motion,1,subject,a little boy,1,5,6,male,1.0,tertiary
3,0,crept,13,18,272,277,17,0.0,12.0,259.0,271.0,,,,,verb.motion,2,subject,Little Lasse,60,63,123,male,1.0,primary
3,2,picked,89,95,348,354,17,86.0,88.0,345.0,347.0,,,,,verb.contact,3,subject,Little Lasse,60,63,123,male,1.0,primary
3,4,find,157,161,416,420,17,120.0,147.0,379.0,406.0,,,,,verb.possession,4,subject,Little Lasse,60,63,123,male,1.0,primary
4,0,thought,13,20,435,442,17,0.0,12.0,422.0,434.0,,,,,verb.cognition,6,subject,Little Lasse,60,63,123,male,1.0,primary
5,1,sees,31,35,504,508,18,27.0,30.0,500.0,503.0,,,,,verb.perception,7,subject,God,5,1,6,unknown,0.0,tertiary
6,0,came,18,22,539,543,32,5.0,17.0,526.0,538.0,,,,,verb.motion,8,subject,the gardener,7,10,17,male,1.0,tertiary
6,1,heard,62,67,583,588,32,59.0,61.0,580.0,582.0,,,,,verb.perception,9,subject,the gardener,7,10,17,male,1.0,tertiary
7,0,think,3,8,627,632,32,1.0,2.0,625.0,626.0,,,,,verb.cognition,10,subject,the gardener,7,10,17,male,1.0,tertiary
7,3,said,37,41,661,665,32,1.0,31.0,625.0,655.0,,,,,verb.communication,12,subject,the gardener,7,10,17,male,1.0,tertiary
10,1,had,43,46,722,725,17,30.0,42.0,709.0,721.0,,,,,verb.possession,11,subject,Little Lasse,60,63,123,male,1.0,primary
12,1,load,7,11,771,775,32,0.0,1.0,764.0,765.0,,,,,verb.contact,13,subject,the gardener,7,10,17,male,1.0,tertiary
12,2,shoot,23,28,787,792,32,0.0,1.0,764.0,765.0,,,,,verb.competition,14,subject,the gardener,7,10,17,male,1.0,tertiary
12,3,said,44,48,808,812,32,0.0,41.0,764.0,805.0,,,,,verb.communication,15,subject,the gardener,7,10,17,male,1.0,tertiary
13,1,crept,38,43,865,870,17,5.0,17.0,832.0,844.0,,,,,verb.motion,16,subject,Little Lasse,60,63,123,male,1.0,primary
16,0,wanted,3,9,932,938,17,1.0,2.0,930.0,931.0,,,,,verb.emotion,17,subject,Little Lasse,60,63,123,male,1.0,primary
16,1,get,13,16,942,945,17,1.0,2.0,930.0,931.0,,,,,verb.possession,19,subject,Little Lasse,60,63,123,male,1.0,primary
17,1,said,26,30,990,994,32,1.0,23.0,965.0,987.0,,,,,verb.communication,20,subject,the gardener,7,10,17,male,1.0,tertiary
18,1,ask,36,39,1045,1048,17,5.0,30.0,1014.0,1039.0,,,,,verb.communication,21,subject,Little Lasse,60,63,123,male,1.0,primary
19,1,answered,10,18,1107,1115,17,1.0,7.0,1098.0,1104.0,,,,,verb.communication,22,subject,Little Lasse,60,63,123,male,1.0,primary
21,0,opened,8,14,1161,1167,17,5.0,7.0,1158.0,1160.0,,,,,verb.contact,23,subject,Little Lasse,60,63,123,male,1.0,primary
21,1,split,38,43,1191,1196,17,5.0,7.0,1158.0,1160.0,49.0,58.0,1202.0,1211.0,verb.contact,24,subject,Little Lasse,60,63,123,male,1.0,primary
