sentence1,event1,te_rel,sentence2,event2,s_id,s_id2,e_id,e_id2
"There was once a rich peasant who had two sons, named John Nicholas and Lucky Andrew. ",had,BEFORE,"There was once a rich peasant who had two sons, named John Nicholas and Lucky Andrew. ",named,0,0,1,2
"There was once a rich peasant who had two sons, named John Nicholas and Lucky Andrew. ",named,BEFORE,"He was a most unpleasant customer to deal with, and he was more grasping and greedy than the folk of the Northland are, as a rule, though it is only too rare to find them unblessed with these attractive qualities. ",find,0,2,2,5
"He was a most unpleasant customer to deal with, and he was more grasping and greedy than the folk of the Northland are, as a rule, though it is only too rare to find them unblessed with these attractive qualities. ",find,BEFORE,"The other, Lucky Andrew, was wild and high spirited, but always good natured, and no matter how badly off he might be, he would always insist that he had been born under a lucky star. ",insist,2,3,5,4
"The other, Lucky Andrew, was wild and high spirited, but always good natured, and no matter how badly off he might be, he would always insist that he had been born under a lucky star. ",insist,BEFORE,"When the eagle, in order to defend his nest, belabored his head and face till the blood ran, he would still maintain that he was born under a lucky star, if only he managed to bring home a single eaglet. ",defend,3,4,4,0
"When the eagle, in order to defend his nest, belabored his head and face till the blood ran, he would still maintain that he was born under a lucky star, if only he managed to bring home a single eaglet. ",defend,BEFORE,"When the eagle, in order to defend his nest, belabored his head and face till the blood ran, he would still maintain that he was born under a lucky star, if only he managed to bring home a single eaglet. ",belabored,4,4,0,1
"When the eagle, in order to defend his nest, belabored his head and face till the blood ran, he would still maintain that he was born under a lucky star, if only he managed to bring home a single eaglet. ",belabored,BEFORE,"When the eagle, in order to defend his nest, belabored his head and face till the blood ran, he would still maintain that he was born under a lucky star, if only he managed to bring home a single eaglet. ",maintain,4,4,1,4
"When the eagle, in order to defend his nest, belabored his head and face till the blood ran, he would still maintain that he was born under a lucky star, if only he managed to bring home a single eaglet. ",maintain,BEFORE,"When the eagle, in order to defend his nest, belabored his head and face till the blood ran, he would still maintain that he was born under a lucky star, if only he managed to bring home a single eaglet. ",managed,4,4,4,7
"When the eagle, in order to defend his nest, belabored his head and face till the blood ran, he would still maintain that he was born under a lucky star, if only he managed to bring home a single eaglet. ",managed,BEFORE,"When the eagle, in order to defend his nest, belabored his head and face till the blood ran, he would still maintain that he was born under a lucky star, if only he managed to bring home a single eaglet. ",bring,4,4,7,8
"When the eagle, in order to defend his nest, belabored his head and face till the blood ran, he would still maintain that he was born under a lucky star, if only he managed to bring home a single eaglet. ",bring,AFTER,"Did his boat capsize, which occasionally happened, and did they discover him hanging to it, quite overcome with the water, cold and exertion, and asked him how he felt, he would reply: ""O, quite well. ",happened,4,5,8,1
"Did his boat capsize, which occasionally happened, and did they discover him hanging to it, quite overcome with the water, cold and exertion, and asked him how he felt, he would reply: ""O, quite well. ",happened,BEFORE,"Did his boat capsize, which occasionally happened, and did they discover him hanging to it, quite overcome with the water, cold and exertion, and asked him how he felt, he would reply: ""O, quite well. ",discover,5,5,1,3
"Did his boat capsize, which occasionally happened, and did they discover him hanging to it, quite overcome with the water, cold and exertion, and asked him how he felt, he would reply: ""O, quite well. ",discover,AFTER,"Did his boat capsize, which occasionally happened, and did they discover him hanging to it, quite overcome with the water, cold and exertion, and asked him how he felt, he would reply: ""O, quite well. ",hanging,5,5,3,4
"Did his boat capsize, which occasionally happened, and did they discover him hanging to it, quite overcome with the water, cold and exertion, and asked him how he felt, he would reply: ""O, quite well. ",hanging,BEFORE,"Did his boat capsize, which occasionally happened, and did they discover him hanging to it, quite overcome with the water, cold and exertion, and asked him how he felt, he would reply: ""O, quite well. ",asked,5,5,4,5
"Did his boat capsize, which occasionally happened, and did they discover him hanging to it, quite overcome with the water, cold and exertion, and asked him how he felt, he would reply: ""O, quite well. ",asked,BEFORE,"Did his boat capsize, which occasionally happened, and did they discover him hanging to it, quite overcome with the water, cold and exertion, and asked him how he felt, he would reply: ""O, quite well. ",felt,5,5,5,6
"Did his boat capsize, which occasionally happened, and did they discover him hanging to it, quite overcome with the water, cold and exertion, and asked him how he felt, he would reply: ""O, quite well. ",felt,BEFORE,"Did his boat capsize, which occasionally happened, and did they discover him hanging to it, quite overcome with the water, cold and exertion, and asked him how he felt, he would reply: ""O, quite well. ",reply,5,5,6,8
"Did his boat capsize, which occasionally happened, and did they discover him hanging to it, quite overcome with the water, cold and exertion, and asked him how he felt, he would reply: ""O, quite well. ",reply,AFTER,I have been saved. ,saved,5,6,8,2
I have been saved. ,saved,AFTER,"When their father died, both of them were of age, and not long after they both had to go out to the sand-banks to fetch some fishing-nets, which had been left there since the summer fishing. ",died,6,8,2,0
"When their father died, both of them were of age, and not long after they both had to go out to the sand-banks to fetch some fishing-nets, which had been left there since the summer fishing. ",died,BEFORE,"Andrew had his gun along, which he carried with him wherever he went. ",had,8,10,0,0
"Andrew had his gun along, which he carried with him wherever he went. ",had,AFTER,"Andrew had his gun along, which he carried with him wherever he went. ",carried,10,10,0,1
"Andrew had his gun along, which he carried with him wherever he went. ",carried,BEFORE,"Andrew had his gun along, which he carried with him wherever he went. ",went,10,10,1,2
"Andrew had his gun along, which he carried with him wherever he went. ",went,BEFORE,John Nicholas did not say much while they were underway; ,say,10,11,2,1
John Nicholas did not say much while they were underway; ,say,BEFORE, but he thought all the harder. ,thought,11,12,1,0
 but he thought all the harder. ,thought,BEFORE,"""Hark, Lucky Andrew, do you know there will be a storm to-night?"" ",know,12,14,0,1
"""Hark, Lucky Andrew, do you know there will be a storm to-night?"" ",know,BEFORE,"said John Nicholas, and looked out across the sea. ",said,14,15,1,0
"said John Nicholas, and looked out across the sea. ",said,AFTER,"""I think it would be best if we stayed here until morning!"" ",think,15,16,0,0
"""I think it would be best if we stayed here until morning!"" ",think,BEFORE,"""There'll be no storm,"" said Andrew. ",said,16,17,0,2
"""There'll be no storm,"" said Andrew. ",said,AFTER,"But his brother complained of being weary, and at length they decided to remain there for the night. ",complained,17,19,2,0
"But his brother complained of being weary, and at length they decided to remain there for the night. ",complained,BEFORE,When Andrew awoke he found himself alone; ,awoke,19,20,0,0
When Andrew awoke he found himself alone; ,awoke,BEFORE,When Andrew awoke he found himself alone; ,found,20,20,0,1
When Andrew awoke he found himself alone; ,found,BEFORE," and he saw neither brother nor boat, until he came to the highest point of the island. ",saw,20,21,1,0
" and he saw neither brother nor boat, until he came to the highest point of the island. ",saw,BEFORE,"Then he discovered him far out, darting for land like a sea-gull. ",discovered,21,22,0,0
"Then he discovered him far out, darting for land like a sea-gull. ",discovered,BEFORE,Andrew did not understand the whole affair. ,understand,22,23,0,1
Andrew did not understand the whole affair. ,understand,BEFORE,So Andrew wasted but little time in thought. ,wasted,23,25,1,0
So Andrew wasted but little time in thought. ,wasted,BEFORE,"""He will come back this evening,"" said he. ",said,25,26,0,2
"""He will come back this evening,"" said he. ",said,AFTER,"""Only a fool loses heart so long as he can eat."" ",loses,26,27,2,0
"""Only a fool loses heart so long as he can eat."" ",loses,AFTER,"""Only a fool loses heart so long as he can eat."" ",eat,27,27,0,2
