sentence_id,verb_id,verb,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,subj_coref_ids,subj_start_byte,subj_end_byte,subj_start_byte_text,subj_end_byte_text,dobj_coref_ids,dobj_start_byte,dobj_end_byte,dobj_start_byte_text,dobj_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,event_label,major_event
1,1,had,36,39,109,112,4,33.0,35.0,106.0,108.0,,40.0,69.0,113.0,142.0,,,,,verb.possession,1,True
2,2,spread,77,83,221,227,4,74.0,76.0,218.0,220.0,,84.0,86.0,228.0,230.0,,,,,verb.contact,1,True
3,0,had,17,20,290,293,4,14.0,16.0,287.0,289.0,,21.0,40.0,294.0,313.0,,,,,verb.possession,1,True
4,2,wish,27,31,342,346,4,18.0,20.0,333.0,335.0,4,32.0,39.0,347.0,354.0,40.0,58.0,355.0,373.0,verb.emotion,1,True
5,1,lacked,33,39,448,454,4,10.0,24.0,425.0,439.0,,,,,,,,,,verb.possession,1,True
6,3,wish,66,70,631,635,,44.0,46.0,609.0,611.0,4,71.0,78.0,636.0,643.0,,,,,verb.emotion,1,True
8,2,seen,41,45,797,801,4,11.0,17.0,767.0,773.0,,,,,,,,,,verb.perception,1,True
9,3,wanted,87,93,933,939,4,84.0,86.0,930.0,932.0,11,94.0,117.0,940.0,963.0,,,,,verb.emotion,1,True
10,1,have,14,18,979,983,11,4.0,7.0,969.0,972.0,4,19.0,41.0,984.0,1006.0,,,,,verb.possession,1,True
11,0,despaired,11,20,1041,1050,4,8.0,10.0,1038.0,1040.0,,21.0,31.0,1051.0,1061.0,,,,,verb.emotion,1,True
12,1,wished,29,35,1164,1170,4,3.0,5.0,1138.0,1140.0,4,36.0,43.0,1171.0,1178.0,44.0,59.0,1179.0,1194.0,verb.emotion,1,True
13,2,said,32,36,1228,1232,4,29.0,31.0,1225.0,1227.0,,,,,,,,,,verb.communication,1,True
14,0,laid,8,12,1242,1246,11,4.0,7.0,1238.0,1241.0,"11,4",13.0,21.0,1247.0,1255.0,,,,,verb.contact,1,True
15,0,wish,3,7,1267,1271,13,1.0,2.0,1265.0,1266.0,,8.0,47.0,1272.0,1311.0,,,,,verb.emotion,1,True
16,0,said,0,4,1314,1318,,,,,,13,5.0,14.0,1319.0,1328.0,,,,,verb.communication,1,True
17,0,wept,24,28,1375,1379,"16,10",4.0,23.0,1355.0,1374.0,,,,,,,,,,verb.body,1,True
18,1,have,9,13,1433,1437,4,0.0,2.0,1424.0,1426.0,,14.0,37.0,1438.0,1461.0,38.0,61.0,1462.0,1485.0,verb.possession,1,True
19,2,shook,57,62,1544,1549,13,54.0,56.0,1541.0,1543.0,13,63.0,72.0,1550.0,1559.0,73.0,104.0,1560.0,1591.0,verb.motion,1,True
20,4,said,90,94,1683,1687,13,0.0,2.0,1593.0,1595.0,11,95.0,98.0,1688.0,1691.0,,,,,verb.communication,1,True
21,3,said,41,45,1734,1738,13,1.0,38.0,1694.0,1731.0,13,46.0,55.0,1739.0,1748.0,,,,,verb.communication,1,True
22,4,spread,62,68,1812,1818,13,59.0,61.0,1809.0,1811.0,13,69.0,84.0,1819.0,1834.0,,,,,verb.contact,1,True
23,3,wish,56,60,1892,1896,21,46.0,49.0,1882.0,1885.0,,,,,,,,,,verb.cognition,1,True
24,0,ate,22,25,1919,1922,10,5.0,21.0,1902.0,1918.0,,26.0,35.0,1923.0,1932.0,,,,,verb.consumption,1,True
25,2,said,42,46,1976,1980,"16,10",22.0,41.0,1956.0,1975.0,,49.0,103.0,1983.0,2037.0,,,,,verb.communication,1,True
26,2,fetch,35,40,2074,2079,13,25.0,28.0,2064.0,2067.0,10,41.0,43.0,2080.0,2082.0,,,,,verb.contact,1,True
27,1,climbed,28,35,2135,2142,13,0.0,9.0,2107.0,2116.0,,,,,,,,,,verb.motion,1,True
28,1,forgotten,11,20,2158,2167,13,4.0,6.0,2151.0,2153.0,"13,16",21.0,70.0,2168.0,2217.0,,,,,verb.cognition,1,True
30,1,wished,26,32,2304,2310,16,0.0,3.0,2278.0,2281.0,16,33.0,61.0,2311.0,2339.0,,,,,verb.emotion,1,True
31,4,hurried,58,65,2430,2437,16,1.0,4.0,2373.0,2376.0,,66.0,70.0,2438.0,2442.0,,,,,verb.motion,1,True
32,1,cry,12,15,2465,2468,13,0.0,2.0,2453.0,2455.0,,,,,,,,,,verb.body,1,True
