sentence_id,verb_id,verb,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,subj_coref_ids,subj_start_byte,subj_end_byte,subj_start_byte_text,subj_end_byte_text,dobj_coref_ids,dobj_start_byte,dobj_end_byte,dobj_start_byte_text,dobj_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,event_label,major_event
0,1,had,38,41,38,41,,27.0,33.0,27.0,33.0,4,42.0,54.0,42.0,54.0,,,,,verb.possession,1,True
2,0,insisted,3,11,141,149,5,0.0,2.0,138.0,140.0,5,12.0,59.0,150.0,197.0,,,,,verb.communication,1,True
3,1,give,31,35,230,234,8,15.0,23.0,214.0,222.0,5,36.0,39.0,235.0,238.0,,,,,verb.possession,1,True
4,2,came,41,45,301,305,5,38.0,40.0,298.0,300.0,9,46.0,65.0,306.0,325.0,,,,,verb.motion,1,True
5,6,clean,114,119,474,479,11,104.0,106.0,464.0,466.0,,120.0,130.0,480.0,490.0,131.0,146.0,491.0,506.0,verb.contact,1,True
6,7,said,139,143,647,651,"388,14",1.0,136.0,509.0,644.0,11,144.0,146.0,652.0,654.0,,,,,verb.communication,1,True
7,3,told,30,34,686,690,14,22.0,25.0,678.0,681.0,,35.0,56.0,691.0,712.0,,,,,verb.communication,1,True
8,1,said,30,34,888,892,388,1.0,27.0,859.0,885.0,"8,14",35.0,52.0,893.0,910.0,,,,,verb.communication,1,True
9,0,thought,3,10,975,982,14,0.0,2.0,972.0,974.0,,11.0,60.0,983.0,1032.0,,,,,verb.cognition,1,True
10,8,thought,162,169,1196,1203,,,,,,14,170.0,172.0,1204.0,1206.0,,,,,verb.cognition,1,True
11,4,find,66,70,1304,1308,"8,14",45.0,59.0,1283.0,1297.0,,71.0,78.0,1309.0,1316.0,79.0,89.0,1317.0,1327.0,verb.perception,1,True
13,1,dipped,16,22,1372,1378,,,,,,14,23.0,44.0,1379.0,1400.0,,,,,verb.motion,1,True
14,4,said,65,69,1511,1515,388,1.0,62.0,1447.0,1508.0,23,70.0,79.0,1516.0,1525.0,,,,,verb.communication,1,True
17,3,dipped,62,68,1711,1717,14,59.0,61.0,1708.0,1710.0,14,69.0,90.0,1718.0,1739.0,,,,,verb.contact,1,True
18,1,said,42,46,1812,1816,,1.0,39.0,1771.0,1809.0,"8,14",47.0,61.0,1817.0,1831.0,,,,,verb.communication,1,True
20,2,wanted,106,112,2026,2032,"8,14",91.0,105.0,2011.0,2025.0,,113.0,133.0,2033.0,2053.0,,,,,verb.emotion,1,True
21,0,dipped,3,9,2058,2064,14,0.0,2.0,2055.0,2057.0,14,10.0,31.0,2065.0,2086.0,,,,,verb.contact,1,True
22,0,said,20,24,2162,2166,"8,14",5.0,19.0,2147.0,2161.0,,27.0,44.0,2169.0,2186.0,,,,,verb.communication,1,True
