sentence_id,verb_id,verb,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,subj_coref_ids,subj_start_byte,subj_end_byte,subj_start_byte_text,subj_end_byte_text,dobj_coref_ids,dobj_start_byte,dobj_end_byte,dobj_start_byte_text,dobj_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,event_label,major_event
2,6,worked,138,144,262,268,"13,16,15",83.0,106.0,207.0,230.0,,,,,,,,,,verb.social,1,True
3,3,wash,112,116,413,417,15,64.0,77.0,365.0,378.0,,,,,,,,,,verb.contact,1,True
4,4,work,130,134,549,553,24,90.0,108.0,509.0,527.0,,,,,,,,,,verb.social,1,True
6,2,passing,80,87,786,793,,,,,,29,88.0,201.0,794.0,907.0,,,,,verb.motion,1,True
7,0,found,22,27,931,936,15,0.0,13.0,909.0,922.0,,28.0,57.0,937.0,966.0,,,,,verb.possession,1,True
8,2,wash,24,28,1016,1020,15,5.0,8.0,997.0,1000.0,,29.0,40.0,1021.0,1032.0,,,,,verb.contact,1,True
9,1,washed,48,54,1081,1087,15,1.0,4.0,1034.0,1037.0,,55.0,59.0,1088.0,1092.0,60.0,72.0,1093.0,1105.0,verb.contact,1,True
10,2,see,49,52,1186,1189,15,39.0,42.0,1176.0,1179.0,,53.0,117.0,1190.0,1254.0,,,,,verb.perception,1,True
11,1,washing,16,23,1272,1279,15,3.0,6.0,1259.0,1262.0,15,24.0,35.0,1280.0,1291.0,,,,,verb.contact,1,True
12,0,looked,14,20,1350,1356,15,0.0,13.0,1336.0,1349.0,15,24.0,37.0,1360.0,1373.0,,,,,verb.perception,1,True
13,2,seen,62,66,1462,1466,15,48.0,51.0,1448.0,1451.0,,67.0,91.0,1467.0,1491.0,,,,,verb.perception,1,True
15,0,said,4,8,1533,1537,15,0.0,3.0,1529.0,1532.0,15,9.0,19.0,1538.0,1548.0,,,,,verb.communication,1,True
16,1,get,18,21,1568,1571,15,1.0,2.0,1551.0,1552.0,,22.0,24.0,1572.0,1574.0,,,,,verb.contact,1,True
17,1,try,29,32,1637,1640,15,0.0,3.0,1608.0,1611.0,,41.0,43.0,1649.0,1651.0,,,,,verb.social,1,True
18,0,looked,4,10,1692,1698,15,0.0,3.0,1688.0,1691.0,,11.0,16.0,1699.0,1704.0,17.0,28.0,1705.0,1716.0,verb.perception,1,True
19,1,think,21,26,1831,1836,,,,,,15,27.0,44.0,1837.0,1854.0,,,,,verb.cognition,1,True
20,0,began,8,13,1899,1904,15,4.0,7.0,1895.0,1898.0,15,14.0,84.0,1905.0,1975.0,,,,,verb.change,1,True
22,4,come,83,87,2205,2209,,64.0,73.0,2186.0,2195.0,15,121.0,147.0,2243.0,2269.0,149.0,153.0,2271.0,2275.0,verb.motion,1,True
