sentence_id,verb_id,verb,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,subj_coref_ids,subj_start_byte,subj_end_byte,subj_start_byte_text,subj_end_byte_text,dobj_coref_ids,dobj_start_byte,dobj_end_byte,dobj_start_byte_text,dobj_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,event_label,major_event
1,4,bought,56,62,167,173,,0.0,2.0,111.0,113.0,2,63.0,76.0,174.0,187.0,,,,,verb.possession,1,True
5,0,stood,9,14,534,539,2,6.0,8.0,531.0,533.0,,15.0,48.0,540.0,573.0,50.0,95.0,575.0,620.0,verb.contact,1,True
6,3,gave,87,91,709,713,,82.0,86.0,704.0,708.0,2,92.0,95.0,714.0,717.0,,,,,verb.possession,1,True
7,1,express,58,65,814,821,4,45.0,49.0,801.0,805.0,,66.0,68.0,822.0,824.0,,,,,verb.communication,1,True
9,1,Let,31,34,1040,1043,,,,,,"38,39",35.0,72.0,1044.0,1081.0,,,,,verb.social,1,True
14,3,invited,43,50,1535,1542,8,34.0,37.0,1526.0,1529.0,9,51.0,148.0,1543.0,1640.0,,,,,verb.communication,1,True
19,0,stood,3,8,1817,1822,11,0.0,2.0,1814.0,1816.0,"11,6",9.0,75.0,1823.0,1889.0,,,,,verb.contact,1,True
20,4,enjoy,61,66,1952,1957,11,53.0,55.0,1944.0,1946.0,11,67.0,76.0,1958.0,1967.0,,,,,verb.emotion,1,True
21,1,arrange,13,20,2000,2007,6,0.0,4.0,1987.0,1991.0,11,21.0,37.0,2008.0,2024.0,,,,,verb.communication,1,True
23,3,look,83,87,2126,2130,14,63.0,76.0,2106.0,2119.0,,97.0,104.0,2140.0,2147.0,,,,,verb.perception,1,True
24,1,begin,15,20,2164,2169,15,0.0,4.0,2149.0,2153.0,,21.0,34.0,2170.0,2183.0,,,,,verb.change,1,True
26,3,talk,126,130,2476,2480,6,114.0,118.0,2464.0,2468.0,6,131.0,138.0,2481.0,2488.0,,,,,verb.communication,1,True
28,0,professed,5,14,2534,2543,11,2.0,4.0,2531.0,2533.0,,15.0,47.0,2544.0,2576.0,,,,,verb.communication,1,True
31,1,sat,52,55,2844,2847,4,43.0,51.0,2835.0,2843.0,,,,,,,,,,verb.contact,1,True
32,3,crack,46,51,2908,2913,4,1.0,5.0,2863.0,2867.0,,,,,,,,,,verb.emotion,1,True
33,1,cracked,34,41,2994,3001,11,25.0,27.0,2985.0,2987.0,19,42.0,56.0,3002.0,3016.0,58.0,101.0,3018.0,3061.0,verb.social,1,True
34,0,crack,3,8,3066,3071,21,1.0,2.0,3064.0,3065.0,,,,,,,,,,verb.social,1,True
35,1,thought,34,41,3140,3147,14,1.0,31.0,3107.0,3137.0,22,42.0,54.0,3148.0,3160.0,56.0,75.0,3162.0,3181.0,verb.communication,1,True
36,3,turned,75,81,3258,3264,23,56.0,74.0,3239.0,3257.0,23,82.0,101.0,3265.0,3284.0,102.0,165.0,3285.0,3348.0,verb.motion,1,True
38,4,declared,105,113,3580,3588,14,91.0,104.0,3566.0,3579.0,"14,27",114.0,157.0,3589.0,3632.0,,,,,verb.communication,1,True
39,1,remember,26,34,3697,3705,,,,,,"14,27",35.0,58.0,3706.0,3729.0,,,,,verb.cognition,1,True
40,0,enjoyed,9,16,3829,3836,27,0.0,8.0,3820.0,3828.0,,17.0,27.0,3837.0,3847.0,28.0,35.0,3848.0,3855.0,verb.emotion,1,True
42,0,thought,24,31,4093,4100,31,15.0,23.0,4084.0,4092.0,"31,14",32.0,82.0,4101.0,4151.0,,,,,verb.cognition,1,True
43,2,making,62,68,4224,4230,,,,,,31,69.0,96.0,4231.0,4258.0,,,,,verb.creation,1,True
44,4,broken,119,125,4418,4424,14,56.0,58.0,4355.0,4357.0,,,,,,,,,,verb.change,1,True
46,1,rolled,60,66,4565,4571,"34,33",0.0,59.0,4505.0,4564.0,,,,,,,,,,verb.motion,1,True
