sentence_id,verb_id,verb,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,subj_coref_ids,subj_start_byte,subj_end_byte,subj_start_byte_text,subj_end_byte_text,dobj_coref_ids,dobj_start_byte,dobj_end_byte,dobj_start_byte_text,dobj_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,event_label
1,4,bought,56,62,167,173,,0.0,2.0,111.0,113.0,2,63.0,76.0,174.0,187.0,,,,,verb.possession,1
5,0,stood,9,14,534,539,2,6.0,8.0,531.0,533.0,,15.0,48.0,540.0,573.0,50.0,95.0,575.0,620.0,verb.contact,1
5,1,looking,50,57,575,582,2,6.0,8.0,531.0,533.0,,63.0,95.0,588.0,620.0,,,,,verb.perception,1
6,0,knew,3,7,625,629,2,0.0,2.0,622.0,624.0,2,18.0,76.0,640.0,698.0,,,,,verb.cognition,1
6,1,had,26,29,648,651,2,23.0,25.0,645.0,647.0,,30.0,36.0,652.0,658.0,37.0,54.0,659.0,676.0,verb.possession,1
6,3,gave,87,91,709,713,,82.0,86.0,704.0,708.0,2,92.0,95.0,714.0,717.0,,,,,verb.possession,1
7,1,express,58,65,814,821,4,45.0,49.0,801.0,805.0,,66.0,68.0,822.0,824.0,,,,,verb.communication,1
9,1,Let,31,34,1040,1043,,,,,,"38,39",35.0,72.0,1044.0,1081.0,,,,,verb.social,1
9,2,have,38,42,1047,1051,,35.0,37.0,1044.0,1046.0,"38,39",43.0,72.0,1052.0,1081.0,,,,,verb.perception,1
14,3,invited,43,50,1535,1542,8,34.0,37.0,1526.0,1529.0,9,51.0,148.0,1543.0,1640.0,,,,,verb.communication,1
19,0,stood,3,8,1817,1822,11,0.0,2.0,1814.0,1816.0,"11,6",9.0,75.0,1823.0,1889.0,,,,,verb.contact,1
19,3,accept,52,58,1866,1872,11,39.0,41.0,1853.0,1855.0,,59.0,75.0,1873.0,1889.0,,,,,verb.communication,1
20,0,said,21,25,1912,1916,11,18.0,20.0,1909.0,1911.0,11,27.0,94.0,1918.0,1985.0,,,,,verb.communication,1
20,2,take,40,44,1931,1935,11,30.0,32.0,1921.0,1923.0,,45.0,51.0,1936.0,1942.0,,,,,verb.social,1
20,4,enjoy,61,66,1952,1957,11,53.0,55.0,1944.0,1946.0,11,67.0,76.0,1958.0,1967.0,,,,,verb.emotion,1
21,1,arrange,13,20,2000,2007,6,0.0,4.0,1987.0,1991.0,11,21.0,37.0,2008.0,2024.0,,,,,verb.communication,1
23,3,look,83,87,2126,2130,14,63.0,76.0,2106.0,2119.0,,97.0,104.0,2140.0,2147.0,,,,,verb.perception,1
24,0,wanted,5,11,2154,2160,15,0.0,4.0,2149.0,2153.0,,12.0,110.0,2161.0,2259.0,,,,,verb.emotion,1
24,1,begin,15,20,2164,2169,15,0.0,4.0,2149.0,2153.0,,21.0,34.0,2170.0,2183.0,,,,,verb.change,1
24,2,have,54,58,2203,2207,15,0.0,4.0,2149.0,2153.0,,59.0,110.0,2208.0,2259.0,,,,,verb.perception,1
24,3,commenced,121,130,2270,2279,15,116.0,120.0,2265.0,2269.0,,,,,,,,,,verb.change,1
26,3,talk,126,130,2476,2480,6,114.0,118.0,2464.0,2468.0,6,131.0,138.0,2481.0,2488.0,,,,,verb.communication,1
28,0,professed,5,14,2534,2543,11,2.0,4.0,2531.0,2533.0,,15.0,47.0,2544.0,2576.0,,,,,verb.communication,1
28,1,know,18,22,2547,2551,11,2.0,4.0,2531.0,2533.0,,23.0,47.0,2552.0,2576.0,,,,,verb.cognition,1
28,5,go,89,91,2618,2620,11,78.0,80.0,2607.0,2609.0,,,,,,,,,,verb.motion,1
31,1,sat,52,55,2844,2847,4,43.0,51.0,2835.0,2843.0,,,,,,,,,,verb.contact,1
32,1,requested,11,20,2873,2882,4,1.0,5.0,2863.0,2867.0,,21.0,52.0,2883.0,2914.0,53.0,96.0,2915.0,2958.0,verb.communication,1
32,2,applaud,24,31,2886,2893,4,1.0,5.0,2863.0,2867.0,,,,,,,,,,verb.communication,1
32,3,crack,46,51,2908,2913,4,1.0,5.0,2863.0,2867.0,,,,,,,,,,verb.emotion,1
32,4,felt,63,67,2925,2929,4,58.0,62.0,2920.0,2924.0,4,68.0,96.0,2930.0,2958.0,,,,,verb.emotion,1
32,5,saw,93,96,2955,2958,4,83.0,87.0,2945.0,2949.0,,,,,,,,,,verb.perception,1
33,0,said,20,24,2980,2984,,4.0,19.0,2964.0,2979.0,"11,19,20",25.0,101.0,2985.0,3061.0,,,,,verb.communication,1
33,1,cracked,34,41,2994,3001,11,25.0,27.0,2985.0,2987.0,19,42.0,56.0,3002.0,3016.0,58.0,101.0,3018.0,3061.0,verb.social,1
34,0,crack,3,8,3066,3071,21,1.0,2.0,3064.0,3065.0,,,,,,,,,,verb.social,1
34,1,said,25,29,3088,3092,"41,21",1.0,22.0,3064.0,3085.0,21,30.0,41.0,3093.0,3104.0,,,,,verb.communication,1
35,0,make,27,31,3133,3137,14,10.0,22.0,3116.0,3128.0,,,,,,,,,,verb.perception,1
35,1,thought,34,41,3140,3147,14,1.0,31.0,3107.0,3137.0,22,42.0,54.0,3148.0,3160.0,56.0,75.0,3162.0,3181.0,verb.communication,1
36,3,turned,75,81,3258,3264,23,56.0,74.0,3239.0,3257.0,23,82.0,101.0,3265.0,3284.0,102.0,165.0,3285.0,3348.0,verb.motion,1
36,8,seen,149,153,3332,3336,23,123.0,127.0,3306.0,3310.0,,,,,,,,,,verb.perception,1
38,4,declared,105,113,3580,3588,14,91.0,104.0,3566.0,3579.0,"14,27",114.0,157.0,3589.0,3632.0,,,,,verb.communication,1
38,6,do,122,124,3597,3599,14,114.0,116.0,3589.0,3591.0,27,125.0,134.0,3600.0,3609.0,159.0,194.0,3634.0,3669.0,verb.social,1
38,8,pleased,175,182,3650,3657,27,162.0,166.0,3637.0,3641.0,14,183.0,186.0,3658.0,3661.0,187.0,194.0,3662.0,3669.0,verb.emotion,1
39,1,remember,26,34,3697,3705,,,,,,"14,27",35.0,58.0,3706.0,3729.0,,,,,verb.cognition,1
