sentence1,event1,te_rel,sentence2,event2,s_id,s_id2,e_id,e_id2
"Morraha rose in the morning, and washed his hands and face, and said his prayers, and ate his food. ",ate,BEFORE,He asked God to prosper the day for him; ,asked,0,1,3,0
He asked God to prosper the day for him; ,asked,BEFORE," and he went down to the brink of the sea, and he saw a currach, short and green, coming towards him. ",saw,1,2,0,1
" and he went down to the brink of the sea, and he saw a currach, short and green, coming towards him. ",saw,AFTER,"In it there was but one youthful champion, and he playing hurly from prow to stern of the currach. ",playing,2,3,1,1
"In it there was but one youthful champion, and he playing hurly from prow to stern of the currach. ",playing,AFTER,He had a hurl of gold and a ball of silver. ,had,3,4,1,0
He had a hurl of gold and a ball of silver. ,had,BEFORE,"He drew her up on the green grass, and put fastening on her for a day and a year, whether he should be there all that time, or should only be on land for an hour by the clock. ",drew,4,6,0,0
"He drew her up on the green grass, and put fastening on her for a day and a year, whether he should be there all that time, or should only be on land for an hour by the clock. ",drew,BEFORE,"And Morraha saluted the young man in words intelligent, intelligible, such as were spoken at that time. ",saluted,6,7,0,0
"And Morraha saluted the young man in words intelligent, intelligible, such as were spoken at that time. ",saluted,BEFORE,"The other saluted him in the same fashion, and asked him would he play a game of cards with him; ",asked,7,8,0,1
"The other saluted him in the same fashion, and asked him would he play a game of cards with him; ",asked,BEFORE, and Morraha said he had not the wherewithal. ,said,8,9,1,0
 and Morraha said he had not the wherewithal. ,said,BEFORE,The other answered that he was never without a candle or the making of it. ,answered,9,10,0,0
The other answered that he was never without a candle or the making of it. ,answered,BEFORE,"He put his hand in his pocket and drew out a table and two chairs and a pack of cards, and they sat down on the chairs and went to the card-playing. ",put,10,11,0,0
"He put his hand in his pocket and drew out a table and two chairs and a pack of cards, and they sat down on the chairs and went to the card-playing. ",put,BEFORE,"The first game Morraha won, and the slender red champion bade him make his claim. ",won,11,12,0,0
"The first game Morraha won, and the slender red champion bade him make his claim. ",won,BEFORE,He said that the land above him should be filled with stock of sheep in the morning. ,said,12,13,0,0
He said that the land above him should be filled with stock of sheep in the morning. ,said,BEFORE,"It was well, and he played no second game, but home he went. ",went,13,14,0,2
"It was well, and he played no second game, but home he went. ",went,BEFORE,"The next day Morraha went to the brink of the sea, and the young man came in the currach and asked him would he play cards. ",asked,14,15,2,2
"The next day Morraha went to the brink of the sea, and the young man came in the currach and asked him would he play cards. ",asked,BEFORE,"They played, and Morraha won. ",won,15,16,2,1
"They played, and Morraha won. ",won,BEFORE,And the young man bade him make his claim. ,bade,16,17,1,0
And the young man bade him make his claim. ,bade,BEFORE,He said that the land above should be filled with cattle in the morning. ,said,17,18,0,0
