sentence_id,event_id,temporal_rank
0,1,0
1,4,1
1,2,2
1,5,3
1,6,4
3,2,5
3,1,6
2,2,7
4,1,8
4,2,9
6,5,10
5,1,11
6,6,12
6,7,13
7,0,14
7,4,15
7,1,16
7,5,17
7,9,18
7,6,19
8,1,20
8,3,21
8,6,22
8,7,23
8,8,24
8,9,25
9,1,26
9,2,27
9,3,28
9,5,29
11,3,30
11,0,31
12,0,32
12,3,33
14,0,34
14,1,35
14,3,36
15,2,37
16,2,38
18,1,39
19,0,40
19,1,41
24,2,42
24,1,43
24,3,44
25,1,45
25,2,46
26,1,47
26,3,48
29,0,49
28,0,50
29,1,51
31,0,52
31,3,53
31,2,54
31,1,55
31,4,56
31,5,57
31,9,58
31,7,59
31,11,60
31,12,61
32,0,62
33,0,63
33,1,64
33,2,65
33,5,66
33,3,67
34,2,68
34,0,69
34,7,70
34,4,71
34,3,72
35,3,73
35,1,74
35,0,75
35,5,76
36,1,77
35,7,78
37,0,79
36,2,80
37,1,81
37,4,82
37,6,83
37,7,84
37,8,85
39,2,86
39,0,87
38,0,88
39,3,89
39,5,90
39,6,91
41,0,92
39,7,93
43,1,94
45,3,95
48,5,96
47,3,97
47,0,98
49,0,99
49,1,100
49,4,101
50,2,102
50,0,103
50,3,104
50,4,105
53,0,106
50,7,107
50,5,108
54,2,109
54,1,110
54,0,111
54,4,112
54,3,113
55,3,114
56,0,115
56,1,116
57,1,117
57,2,118
58,5,119
58,3,120
59,3,121
59,1,122
60,0,123
60,3,124
60,4,125
61,0,126
61,1,127
62,1,128
62,4,129
62,2,130
64,0,131
65,0,132
66,1,133
66,4,134
67,0,135
66,6,136
67,1,137
68,2,138
68,0,139
67,3,140
69,2,141
69,3,142
70,1,143
70,3,144
71,0,145
71,4,146
71,3,147
71,12,148
71,7,149
72,2,150
72,0,151
74,2,152
74,0,153
73,2,154
75,1,155
75,0,156
75,3,157
75,4,158
76,1,159
76,3,160
77,5,161
77,6,162
78,1,163
79,1,164
79,0,165
79,5,166
79,3,167
79,6,168
79,7,169
79,9,170
80,2,171
81,0,172
82,0,173
81,4,174
82,1,175
82,2,176
82,3,177
82,5,178
82,4,179
83,1,180
85,0,181
86,1,182
88,0,183
86,5,184
88,7,185
88,5,186
88,2,187
89,1,188
90,0,189
92,2,190
92,1,191
92,3,192
92,4,193
92,7,194
92,11,195
93,0,196
93,1,197
93,2,198
93,3,199
94,3,200
94,4,201
96,0,202
96,2,203
96,4,204
100,0,205
100,4,206
101,5,207
103,0,208
104,0,209
104,3,210
104,1,211
105,1,212
104,7,213
107,0,214
107,1,215
108,1,216
113,0,217
112,0,218
114,0,219
114,2,220
118,0,221
114,3,222
119,1,223
119,0,224
118,4,225
118,3,226
119,4,227
119,2,228
119,5,229
121,1,230
121,2,231
121,3,232
122,0,233
122,2,234
123,4,235
124,1,236
124,2,237
124,3,238
124,4,239
125,0,240
125,1,241
125,2,242
125,4,243
126,0,244
126,2,245
130,0,246
133,2,247
134,0,248
134,1,249
134,2,250
134,7,251
134,3,252
135,0,253
135,3,254
135,4,255
135,5,256
136,5,257
136,4,258
137,0,259
137,1,260
137,12,261
137,10,262
137,8,263
