sentence_id,event_id,temporal_rank
0,1,0
1,6,1
3,2,2
2,2,3
4,1,4
5,1,5
7,9,6
6,6,7
8,1,8
9,2,9
11,0,10
12,0,11
14,0,12
15,2,13
16,2,14
18,1,15
19,1,16
24,3,17
25,1,18
26,3,19
29,0,20
28,0,21
31,9,22
33,5,23
32,0,24
35,3,25
34,2,26
36,2,27
37,4,28
38,0,29
41,0,30
39,6,31
43,1,32
45,3,33
48,5,34
47,3,35
53,0,36
50,7,37
49,4,38
54,4,39
55,3,40
56,0,41
57,1,42
58,5,43
59,1,44
60,3,45
61,0,46
62,2,47
64,0,48
65,0,49
66,4,50
67,1,51
68,0,52
69,2,53
70,1,54
72,2,55
71,0,56
74,2,57
73,2,58
75,3,59
76,3,60
77,6,61
78,1,62
79,0,63
80,2,64
82,5,65
81,4,66
83,1,67
85,0,68
88,5,69
86,5,70
89,1,71
90,0,72
92,4,73
93,0,74
94,3,75
96,2,76
100,0,77
101,5,78
103,0,79
105,1,80
104,7,81
107,0,82
108,1,83
113,0,84
112,0,85
114,0,86
119,2,87
118,4,88
121,2,89
122,0,90
123,4,91
124,2,92
125,1,93
126,0,94
130,0,95
133,2,96
134,0,97
135,0,98
136,5,99
137,0,100
