sentence_id,event_id,temporal_rank
0,2,0
1,1,1
1,2,2
2,0,3
3,1,4
4,0,5
5,1,6
4,3,7
6,0,8
7,1,9
8,0,10
8,4,11
8,5,12
9,3,13
9,1,14
10,0,15
11,2,16
13,5,17
12,2,18
14,1,19
14,2,20
15,0,21
15,3,22
15,1,23
16,0,24
16,2,25
17,2,26
17,3,27
18,0,28
19,0,29
20,0,30
21,1,31
21,0,32
20,2,33
21,2,34
22,0,35
23,0,36
23,1,37
24,0,38
24,1,39
25,0,40
25,1,41
26,2,42
26,0,43
27,6,44
27,1,45
28,0,46
28,1,47
29,2,48
30,1,49
30,2,50
31,1,51
32,0,52
33,3,53
34,1,54
36,1,55
36,0,56
37,0,57
38,1,58
40,0,59
41,2,60
41,1,61
42,0,62
43,0,63
43,3,64
43,1,65
44,0,66
44,1,67
44,2,68
46,0,69
46,1,70
48,0,71
47,0,72
48,1,73
48,2,74
49,3,75
49,1,76
49,0,77
51,0,78
52,0,79
53,4,80
53,3,81
53,1,82
53,0,83
55,2,84
55,3,85
55,4,86
56,2,87
57,0,88
58,0,89
58,2,90
59,1,91
59,2,92
59,3,93
60,2,94
61,0,95
62,0,96
62,2,97
62,1,98
63,0,99
64,2,100
63,3,101
63,2,102
63,1,103
64,3,104
65,1,105
65,2,106
67,0,107
65,4,108
67,2,109
