sentence_id,event_id,event,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,coref_id,arg_start_byte_sentence,arg_end_byte_sentence,arg_start_byte_text,arg_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,major_event,temporal_rank,argument,name,name_mentions,pronoun_mentions,total_mentions,gender,gender_certainty,importance
1,2,wanted,68,74,145,151,5,55.0,67.0,132.0,144.0,,,,,verb.emotion,True,0,subject,five women who were standing in a field,1,18,19,female,1.0,tertiary
1,2,wanted,68,74,145,151,8,55.0,67.0,132.0,144.0,,,,,verb.emotion,True,0,subject,five women who were standing in a field's of them,1,0,1,female,1.0,tertiary
2,0,saw,18,21,183,186,5,13.0,17.0,178.0,182.0,,,,,verb.perception,True,1,subject,five women who were standing in a field,1,18,19,female,1.0,tertiary
3,1,said,18,22,279,283,10,1.0,15.0,262.0,276.0,,,,,verb.communication,True,3,subject,the one,1,1,2,unknown,0.0,tertiary
4,0,saw,3,6,296,299,11,1.0,2.0,294.0,295.0,10.0,39.0,303.0,332.0,verb.perception,True,2,subject,another,1,3,4,unknown,0.0,tertiary
5,0,want,7,11,360,364,11,5.0,6.0,358.0,359.0,16.0,41.0,369.0,394.0,verb.emotion,True,4,subject,another,1,3,4,unknown,0.0,tertiary
6,1,fought,27,33,444,450,5,9.0,13.0,426.0,430.0,,,,,verb.competition,True,5,subject,five women who were standing in a field,1,18,19,female,1.0,tertiary
7,4,sit,91,94,591,594,13,72.0,83.0,572.0,583.0,102.0,121.0,602.0,621.0,verb.contact,True,6,subject,five women who were standing in a field's of them,1,0,1,female,1.0,tertiary
7,4,sit,91,94,591,594,5,72.0,83.0,572.0,583.0,102.0,121.0,602.0,621.0,verb.contact,True,6,subject,five women who were standing in a field,1,18,19,female,1.0,tertiary
8,0,remained,10,18,667,675,15,0.0,9.0,657.0,666.0,38.0,52.0,695.0,709.0,verb.change,True,7,subject,The first,1,1,2,female,1.0,tertiary
9,1,feed,33,37,789,793,16,17.0,25.0,773.0,781.0,57.0,64.0,813.0,820.0,verb.consumption,True,8,subject,the rest,2,1,3,unknown,0.0,tertiary
10,0,grew,12,16,834,838,17,0.0,11.0,822.0,833.0,23.0,50.0,845.0,872.0,verb.change,True,10,subject,five women who were standing in a field's of them,2,1,3,female,1.0,tertiary
10,0,grew,12,16,834,838,5,0.0,11.0,822.0,833.0,23.0,50.0,845.0,872.0,verb.change,True,10,subject,five women who were standing in a field,1,18,19,female,1.0,tertiary
11,1,crawl,13,18,887,892,18,1.0,4.0,875.0,878.0,,,,,verb.motion,True,9,subject,the one who was sitting on the egg and hatching,1,8,9,female,1.0,tertiary
14,1,sit,17,20,1196,1199,18,9.0,12.0,1188.0,1191.0,27.0,66.0,1206.0,1245.0,verb.contact,True,12,subject,the one who was sitting on the egg and hatching,1,8,9,female,1.0,tertiary
15,6,punched,172,179,1420,1427,18,168.0,171.0,1416.0,1419.0,187.0,197.0,1435.0,1445.0,verb.contact,True,14,subject,the one who was sitting on the egg and hatching,1,8,9,female,1.0,tertiary
19,0,named,8,13,1652,1657,5,3.0,7.0,1647.0,1651.0,,,,,verb.communication,True,16,subject,five women who were standing in a field,1,18,19,female,1.0,tertiary
20,0,took,55,59,1741,1745,23,36.0,45.0,1722.0,1731.0,,,,,verb.cognition,True,17,subject,the women,1,0,1,female,1.0,tertiary
21,0,grew,20,24,1799,1803,22,17.0,19.0,1796.0,1798.0,,,,,verb.change,True,18,subject,the child,2,27,29,male,1.0,tertiary
22,3,swallowed,102,111,1954,1963,22,92.0,101.0,1944.0,1953.0,119.0,129.0,1971.0,1981.0,verb.consumption,True,19,subject,the child,2,27,29,male,1.0,tertiary
23,1,want,16,20,1999,2003,5,3.0,7.0,1986.0,1990.0,,,,,verb.emotion,True,20,subject,five women who were standing in a field,1,18,19,female,1.0,tertiary
24,3,said,69,73,2097,2101,17,1.0,66.0,2029.0,2094.0,,,,,verb.communication,True,21,subject,five women who were standing in a field's of them,2,1,3,female,1.0,tertiary
24,3,said,69,73,2097,2101,234,1.0,66.0,2029.0,2094.0,,,,,verb.communication,True,21,subject,the changling,1,0,1,unknown,0.0,tertiary
25,2,said,58,62,2173,2177,22,55.0,57.0,2170.0,2172.0,,,,,verb.communication,True,22,subject,the child,2,27,29,male,1.0,tertiary
