clustered_names,coref_idx,name_mentions,pronoun_mentions,total,easy_name,gender,gender_certainty,importance
Murtough/Mac Erca/Murtough Mac Erca/O Murtough,18,30,100,130,Murtough,male,1.0,primary
Sheen,21,11,102,113,Sheen,female,1.0,primary
the King,54,20,60,80,the King,male,1.0,secondary
the clerics,122,5,13,18,the clerics,group/nonbinary,1.0,tertiary
"a lonely woman , star - bright and beautiful",218,1,13,14,"a lonely woman , star - bright and beautiful",female,1.0,tertiary
Star - bright and beautiful,60,1,12,13,Star - bright and beautiful,female,1.0,tertiary
Bishop Cairnech/Cairnech/O Cairnech,25,7,5,12,Bishop Cairnech,male,1.0,tertiary
wife of Murtough,208,1,11,12,wife of Murtough,female,1.0,tertiary
Murtough/Mac Erca/Murtough Mac Erca/O Murtough--the witch woman who sought his destruction,165,1,11,12,Murtough's witch woman who sought his destruction,female,1.0,tertiary
men,69,9,1,10,men,male,1.0,tertiary
Duivsech,24,3,6,9,Duivsech,female,1.0,tertiary
the witch maiden,188,1,7,8,the witch maiden,female,1.0,tertiary
A king/a king,284,2,6,8,A king,male,1.0,tertiary
The damsel/the damsel,88,2,4,6,The damsel,female,1.0,tertiary
maiden,232,4,2,6,maiden,female,1.0,tertiary
the people,36,1,5,6,the people,group/nonbinary,1.0,tertiary
the fairy folk,70,1,5,6,the fairy folk,group/nonbinary,1.0,tertiary
headless men,139,1,4,5,headless men,male,1.0,tertiary
Murtough's witch woman who sought his destruction--her magic host of warriors,169,1,3,4,Murtough's witch woman who sought his destruction's magic host of warriors,female,1.0,tertiary
Duivsech--her husband,102,3,0,3,Duivsech's husband,male,1.0,tertiary
Niall,23,3,0,3,Niall,unknown,0.0,tertiary
the clans of Owen and of Niall,162,1,2,3,the clans of Owen and of Niall,group/nonbinary,1.0,tertiary
the hosts,128,2,1,3,the hosts,group/nonbinary,1.0,tertiary
Cletty,1,3,0,3,Cletty,unknown,0.0,tertiary
Conn,29,2,0,2,Conn,unknown,0.0,tertiary
Sigh,20,2,0,2,Sigh,unknown,0.0,tertiary
the magic hosts,186,1,1,2,the magic hosts,group/nonbinary,1.0,tertiary
the griffin,195,2,0,2,the griffin,unknown,0.0,tertiary
Owen,27,2,0,2,Owen,unknown,0.0,tertiary
The family of Murtough,39,1,1,2,The family of Murtough,unknown,0.0,tertiary
Murtough/Mac Erca/Murtough Mac Erca/O Murtough--your wife,235,2,0,2,Murtough's wife,female,1.0,tertiary
Murtough/Mac Erca/Murtough Mac Erca/O Murtough--his wife,92,2,0,2,Murtough's wife,female,1.0,tertiary
"the clerics that were there , with his wife and children along with them",90,1,1,2,"the clerics that were there , with his wife and children along with them",female,1.0,tertiary
that true God of thine,261,1,1,2,that true God of thine,unknown,0.0,tertiary
Christ,30,2,0,2,Christ,unknown,0.0,tertiary
the witchdoms of the maiden,281,1,1,2,the witchdoms of the maiden,female,1.0,tertiary
Sige,31,2,0,2,Sige,unknown,0.0,tertiary
that true God of thine--his people/His people,263,2,0,2,that true God of thine's people,unknown,0.0,tertiary
a pagan,44,2,0,2,a pagan,unknown,0.0,tertiary
the folk of the underworld,299,1,0,1,the folk of the underworld,unknown,0.0,tertiary
messengers,164,1,0,1,messengers,unknown,0.0,tertiary
the men of Owen and of Niall,154,1,0,1,the men of Owen and of Niall,male,1.0,tertiary
Murtough/Mac Erca/Murtough Mac Erca/O Murtough--the clans of the children of his people,152,1,0,1,Murtough's clans of the children of his people,unknown,0.0,tertiary
