sentence_id,event_id,event,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,coref_id,arg_start_byte_sentence,arg_end_byte_sentence,arg_start_byte_text,arg_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,major_event,temporal_rank,argument,name,name_mentions,pronoun_mentions,total_mentions,gender,gender_certainty,importance
1,2,came,85,89,193,197,11,82.0,84.0,190.0,192.0,,,,,verb.change,True,1,subject,a brave warrior known to all as Tawara Toda,1,29,30,male,1.0,secondary
2,0,sallied,11,18,229,236,11,8.0,10.0,226.0,228.0,,,,,verb.motion,True,2,subject,a brave warrior known to all as Tawara Toda,1,29,30,male,1.0,secondary
3,1,took,33,37,367,371,11,3.0,5.0,337.0,339.0,78.0,89.0,412.0,423.0,verb.change,True,3,subject,a brave warrior known to all as Tawara Toda,1,29,30,male,1.0,secondary
4,2,came,28,32,502,506,11,25.0,27.0,499.0,501.0,,,,,verb.motion,True,4,subject,a brave warrior known to all as Tawara Toda,1,29,30,male,1.0,secondary
5,2,saw,48,51,633,636,11,45.0,47.0,630.0,632.0,,,,,verb.perception,True,5,subject,a brave warrior known to all as Tawara Toda,1,29,30,male,1.0,secondary
9,2,feeling,33,40,1047,1054,8,9.0,17.0,1023.0,1031.0,,,,,verb.emotion,True,6,subject,Fujiwara Hidesato,23,49,72,male,1.0,primary
12,0,stepped,3,10,1279,1286,11,0.0,2.0,1276.0,1278.0,,,,,verb.motion,True,7,subject,a brave warrior known to all as Tawara Toda,1,29,30,male,1.0,secondary
13,1,gone,12,16,1405,1409,11,0.0,2.0,1393.0,1395.0,29.0,75.0,1422.0,1468.0,verb.motion,True,8,subject,a brave warrior known to all as Tawara Toda,1,29,30,male,1.0,secondary
14,8,bowing,146,152,1616,1622,22,115.0,136.0,1585.0,1606.0,172.0,185.0,1642.0,1655.0,verb.motion,True,9,subject,a strange - looking man,1,3,4,male,1.0,tertiary
15,2,surmounted,49,59,1706,1716,22,0.0,12.0,1657.0,1669.0,71.0,102.0,1728.0,1759.0,verb.change,True,10,subject,a strange - looking man,1,3,4,male,1.0,tertiary
16,2,wondered,62,70,1874,1882,8,59.0,61.0,1871.0,1873.0,,,,,verb.cognition,True,12,subject,Fujiwara Hidesato,23,49,72,male,1.0,primary
19,3,addressed,93,102,2144,2153,11,45.0,47.0,2096.0,2098.0,,,,,verb.communication,True,13,subject,a brave warrior known to all as Tawara Toda,1,29,30,male,1.0,secondary
21,3,grant,21,26,2296,2301,8,13.0,16.0,2288.0,2291.0,,,,,verb.possession,True,15,subject,Fujiwara Hidesato,23,49,72,male,1.0,primary
24,2,ask,28,31,2524,2527,25,16.0,19.0,2512.0,2515.0,,,,,verb.communication,True,17,subject,the man on the bridge,1,5,6,male,1.0,tertiary
26,1,kill,15,19,2566,2570,25,8.0,11.0,2559.0,2562.0,,,,,verb.contact,True,20,subject,the man on the bridge,1,5,6,male,1.0,tertiary
27,2,have,52,56,2767,2771,27,50.0,51.0,2765.0,2766.0,,,,,verb.possession,True,19,subject,The Dragon King,16,28,44,male,1.0,secondary
29,1,save,18,22,2995,2999,27,0.0,1.0,2977.0,2978.0,,,,,verb.social,True,21,subject,The Dragon King,16,28,44,male,1.0,secondary
30,4,fall,94,98,3100,3104,27,80.0,88.0,3086.0,3094.0,,,,,verb.social,True,23,subject,The Dragon King,16,28,44,male,1.0,secondary
31,1,determined,53,63,3183,3193,27,51.0,52.0,3181.0,3182.0,,,,,verb.cognition,True,22,subject,The Dragon King,16,28,44,male,1.0,secondary
33,1,saw,43,46,3448,3451,158,38.0,42.0,3443.0,3447.0,,,,,verb.perception,True,24,subject,"all who came this way , as soon as they saw me's who came this way , as soon as they saw me",1,2,3,group/nonbinary,1.0,tertiary
35,0,beg,2,5,3632,3635,27,0.0,1.0,3630.0,3631.0,,,,,verb.communication,True,26,subject,The Dragon King,16,28,44,male,1.0,secondary
37,5,help,111,115,3828,3832,8,99.0,101.0,3816.0,3818.0,,,,,verb.social,True,29,subject,Fujiwara Hidesato,23,49,72,male,1.0,primary
38,0,asked,12,17,3850,3855,30,0.0,11.0,3838.0,3849.0,45.0,89.0,3883.0,3927.0,verb.communication,True,28,subject,the warrior,13,17,30,male,1.0,secondary
39,0,replied,16,23,3945,3952,27,0.0,15.0,3929.0,3944.0,,,,,verb.communication,True,30,subject,The Dragon King,16,28,44,male,1.0,secondary
40,1,conducted,16,25,4126,4135,8,3.0,11.0,4113.0,4121.0,,,,,verb.motion,True,31,subject,Fujiwara Hidesato,23,49,72,male,1.0,primary
41,1,followed,22,30,4210,4218,8,19.0,21.0,4207.0,4209.0,40.0,60.0,4228.0,4248.0,verb.motion,True,33,subject,Fujiwara Hidesato,23,49,72,male,1.0,primary
42,1,seen,19,23,4364,4368,8,0.0,18.0,4345.0,4363.0,,,,,verb.perception,True,32,subject,Fujiwara Hidesato,23,49,72,male,1.0,primary
45,1,astonished,13,23,4748,4758,8,0.0,8.0,4735.0,4743.0,,,,,verb.emotion,True,34,subject,Fujiwara Hidesato,23,49,72,male,1.0,primary
