clustered_names,coref_idx,name_mentions,pronoun_mentions,total,easy_name,gender,gender_certainty,importance
the peasant/The peasant,9,8,59,67,the peasant,male,1.0,primary
a peasant who lived in Telemarken,0,1,14,15,a peasant who lived in Telemarken,male,1.0,tertiary
the man,8,3,5,8,the man,male,1.0,tertiary
a peasant who lived in Telemarken--his neighbor,14,5,0,5,a peasant who lived in Telemarken's neighbor,unknown,0.0,tertiary
the neighbor,15,3,1,4,the neighbor,unknown,0.0,tertiary
a man,7,1,1,2,a man,male,1.0,tertiary
the man who had called himself his neighbor--the man who had called himself his neighbor,25,1,1,2,the man who had called himself his neighbor's man who had called himself his neighbor,male,1.0,tertiary
the milk - maid,34,1,1,2,the milk - maid,unknown,0.0,tertiary
neighbor,41,1,0,1,neighbor,unknown,0.0,tertiary
the peasant/The peasant--a neighbor of mine,43,1,0,1,the peasant's neighbor of mine,unknown,0.0,tertiary
one of the underground people,12,1,0,1,one of the underground people,unknown,0.0,tertiary
the underground people,13,1,0,1,the underground people,unknown,0.0,tertiary
