sentence_id,event_id,event,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,coref_id,arg_start_byte_sentence,arg_end_byte_sentence,arg_start_byte_text,arg_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,temporal_rank,argument,name,name_mentions,pronoun_mentions,total_mentions,gender,gender_certainty,importance
1,0,had,8,11,89,92,0,5.0,7.0,86.0,88.0,,,,,verb.possession,0,subject,a peasant who lived in Telemarken,1,14,15,male,1.0,tertiary
1,1,lost,62,66,143,147,0,5.0,7.0,86.0,88.0,,,,,verb.possession,2,subject,a peasant who lived in Telemarken,1,14,15,male,1.0,tertiary
2,0,had,3,6,174,177,0,0.0,2.0,171.0,173.0,,,,,verb.possession,1,subject,a peasant who lived in Telemarken,1,14,15,male,1.0,tertiary
2,2,had,54,57,225,228,0,51.0,53.0,222.0,224.0,,,,,verb.possession,3,subject,a peasant who lived in Telemarken,1,14,15,male,1.0,tertiary
2,3,bought,62,68,233,239,0,59.0,61.0,230.0,232.0,,,,,verb.possession,4,subject,a peasant who lived in Telemarken,1,14,15,male,1.0,tertiary
3,2,met,53,56,393,396,0,50.0,52.0,390.0,392.0,,,,,verb.motion,5,subject,a peasant who lived in Telemarken,1,14,15,male,1.0,tertiary
6,1,thought,33,40,473,480,9,31.0,32.0,471.0,472.0,,,,,verb.cognition,7,subject,the peasant,8,59,67,male,1.0,primary
8,1,see,9,12,541,544,9,1.0,4.0,533.0,536.0,26.0,37.0,558.0,569.0,verb.perception,9,subject,the peasant,8,59,67,male,1.0,primary
8,2,said,40,44,572,576,9,1.0,37.0,533.0,569.0,,,,,verb.communication,12,subject,the peasant,8,59,67,male,1.0,primary
8,2,said,40,44,572,576,8,1.0,37.0,533.0,569.0,,,,,verb.communication,12,subject,the man,3,5,8,male,1.0,tertiary
10,3,seen,57,61,674,678,0,37.0,39.0,654.0,656.0,,,,,verb.perception,10,subject,a peasant who lived in Telemarken,1,14,15,male,1.0,tertiary
11,0,knew,8,12,736,740,0,5.0,7.0,733.0,735.0,,,,,verb.cognition,14,subject,a peasant who lived in Telemarken,1,14,15,male,1.0,tertiary
12,0,had,8,11,807,810,0,5.0,7.0,804.0,806.0,,,,,verb.perception,13,subject,a peasant who lived in Telemarken,1,14,15,male,1.0,tertiary
12,1,invited,25,32,824,831,0,5.0,7.0,804.0,806.0,46.0,48.0,845.0,847.0,verb.communication,15,subject,a peasant who lived in Telemarken,1,14,15,male,1.0,tertiary
12,2,drink,52,57,851,856,0,33.0,45.0,832.0,844.0,66.0,74.0,865.0,873.0,verb.consumption,16,subject,a peasant who lived in Telemarken,1,14,15,male,1.0,tertiary
12,2,drink,52,57,851,856,14,33.0,45.0,832.0,844.0,66.0,74.0,865.0,873.0,verb.consumption,16,subject,a peasant who lived in Telemarken's neighbor,5,0,5,unknown,0.0,tertiary
12,4,enjoy,103,108,902,907,15,80.0,92.0,879.0,891.0,,,,,verb.emotion,17,subject,the neighbor,3,1,4,unknown,0.0,tertiary
13,4,do,58,60,970,972,9,39.0,48.0,951.0,960.0,68.0,78.0,980.0,990.0,verb.social,19,subject,the peasant,8,59,67,male,1.0,primary
14,1,know,14,18,1007,1011,9,11.0,13.0,1004.0,1006.0,,,,,verb.cognition,22,subject,the peasant,8,59,67,male,1.0,primary
14,3,said,32,36,1025,1029,9,1.0,29.0,994.0,1022.0,,,,,verb.communication,23,subject,the peasant,8,59,67,male,1.0,primary
15,1,shift,10,15,1053,1058,8,1.0,4.0,1044.0,1047.0,33.0,56.0,1076.0,1099.0,verb.motion,25,subject,the man,3,5,8,male,1.0,tertiary
15,4,gave,77,81,1120,1124,8,63.0,73.0,1106.0,1116.0,,,,,verb.possession,24,subject,the man,3,5,8,male,1.0,tertiary
16,1,do,14,16,1152,1154,9,5.0,6.0,1143.0,1144.0,,,,,verb.social,26,subject,the peasant,8,59,67,male,1.0,primary
16,2,said,24,28,1162,1166,9,1.0,21.0,1139.0,1159.0,,,,,verb.communication,28,subject,the peasant,8,59,67,male,1.0,primary
17,0,put,3,6,1183,1186,9,1.0,2.0,1181.0,1182.0,13.0,29.0,1193.0,1209.0,verb.contact,27,subject,the peasant,8,59,67,male,1.0,primary
18,1,do,13,15,1253,1255,9,0.0,4.0,1240.0,1244.0,31.0,35.0,1271.0,1275.0,verb.social,30,subject,the peasant,8,59,67,male,1.0,primary
19,1,choose,17,23,1295,1301,9,13.0,16.0,1291.0,1294.0,,,,,verb.cognition,29,subject,the peasant,8,59,67,male,1.0,primary
20,1,tear,19,23,1321,1325,9,8.0,11.0,1310.0,1313.0,,,,,verb.contact,31,subject,the peasant,8,59,67,male,1.0,primary
20,4,regret,50,56,1352,1358,9,33.0,36.0,1335.0,1338.0,,,,,verb.emotion,32,subject,the peasant,8,59,67,male,1.0,primary
20,5,said,62,66,1364,1368,9,1.0,59.0,1303.0,1361.0,,,,,verb.communication,33,subject,the peasant,8,59,67,male,1.0,primary
21,0,went,17,21,1400,1404,9,14.0,16.0,1397.0,1399.0,,,,,verb.motion,34,subject,the peasant,8,59,67,male,1.0,primary
22,2,know,47,51,1461,1465,9,0.0,11.0,1414.0,1425.0,,,,,verb.cognition,36,subject,the peasant,8,59,67,male,1.0,primary
24,1,standing,18,26,1648,1656,9,11.0,13.0,1641.0,1643.0,,,,,verb.contact,37,subject,the peasant,8,59,67,male,1.0,primary
24,2,sank,45,49,1675,1679,9,42.0,44.0,1672.0,1674.0,,,,,verb.motion,41,subject,the peasant,8,59,67,male,1.0,primary
25,1,come,41,45,1741,1745,9,15.0,24.0,1715.0,1724.0,,,,,verb.motion,40,subject,the peasant,8,59,67,male,1.0,primary
27,3,bade,65,69,1903,1907,9,5.0,48.0,1843.0,1886.0,,,,,verb.communication,42,subject,the peasant,8,59,67,male,1.0,primary
27,3,bade,65,69,1903,1907,14,5.0,48.0,1843.0,1886.0,,,,,verb.communication,42,subject,a peasant who lived in Telemarken's neighbor,5,0,5,unknown,0.0,tertiary
27,3,bade,65,69,1903,1907,25,5.0,48.0,1843.0,1886.0,,,,,verb.communication,42,subject,the man who had called himself his neighbor's man who had called himself his neighbor,1,1,2,male,1.0,tertiary
28,3,invited,97,104,2019,2026,15,84.0,96.0,2006.0,2018.0,,,,,verb.emotion,43,subject,the neighbor,3,1,4,unknown,0.0,tertiary
28,5,eat,137,140,2059,2062,9,105.0,108.0,2027.0,2030.0,,,,,verb.consumption,45,subject,the peasant,8,59,67,male,1.0,primary
29,2,refuse,25,31,2089,2095,9,0.0,11.0,2064.0,2075.0,,,,,verb.possession,44,subject,the peasant,8,59,67,male,1.0,primary
30,1,dip,29,32,2152,2155,9,13.0,15.0,2136.0,2138.0,,,,,verb.contact,46,subject,the peasant,8,59,67,male,1.0,primary
30,3,lost,115,119,2238,2242,9,112.0,114.0,2235.0,2237.0,,,,,verb.possession,47,subject,the peasant,8,59,67,male,1.0,primary
31,2,see,39,42,2296,2299,9,31.0,34.0,2288.0,2291.0,,,,,verb.cognition,49,subject,the peasant,8,59,67,male,1.0,primary
33,1,do,16,18,2512,2514,9,7.0,10.0,2503.0,2506.0,32.0,63.0,2528.0,2559.0,verb.social,51,subject,the peasant,8,59,67,male,1.0,primary
33,4,go,81,83,2577,2579,9,65.0,68.0,2561.0,2564.0,117.0,153.0,2613.0,2649.0,verb.change,52,subject,the peasant,8,59,67,male,1.0,primary
33,6,grow,143,147,2639,2643,9,135.0,138.0,2631.0,2634.0,,,,,verb.change,53,subject,the peasant,8,59,67,male,1.0,primary
34,2,know,28,32,2679,2683,9,18.0,21.0,2669.0,2672.0,,,,,verb.cognition,54,subject,the peasant,8,59,67,male,1.0,primary
35,0,heard,17,22,2744,2749,9,5.0,16.0,2732.0,2743.0,,,,,verb.perception,55,subject,the peasant,8,59,67,male,1.0,primary
35,1,went,32,36,2759,2763,9,29.0,31.0,2756.0,2758.0,51.0,111.0,2778.0,2838.0,verb.motion,56,subject,the peasant,8,59,67,male,1.0,primary
35,2,work,46,50,2773,2777,9,29.0,31.0,2756.0,2758.0,,,,,verb.social,57,subject,the peasant,8,59,67,male,1.0,primary
36,2,worked,22,28,2862,2868,9,4.0,6.0,2844.0,2846.0,,,,,verb.social,58,subject,the peasant,8,59,67,male,1.0,primary
36,6,knew,145,149,2985,2989,9,142.0,144.0,2982.0,2984.0,,,,,verb.cognition,60,subject,the peasant,8,59,67,male,1.0,primary
36,8,helping,167,174,3007,3014,9,150.0,162.0,2990.0,3002.0,,,,,verb.social,59,subject,the peasant,8,59,67,male,1.0,primary
36,8,helping,167,174,3007,3014,14,150.0,162.0,2990.0,3002.0,,,,,verb.social,59,subject,a peasant who lived in Telemarken's neighbor,5,0,5,unknown,0.0,tertiary
37,1,regret,11,17,3031,3037,9,8.0,10.0,3028.0,3030.0,21.0,62.0,3041.0,3082.0,verb.emotion,62,subject,the peasant,8,59,67,male,1.0,primary
37,2,had,35,38,3055,3058,9,32.0,34.0,3052.0,3054.0,,,,,verb.possession,61,subject,the peasant,8,59,67,male,1.0,primary
37,3,waxed,79,84,3099,3104,9,68.0,78.0,3088.0,3098.0,,,,,verb.change,63,subject,the peasant,8,59,67,male,1.0,primary
38,4,selling,81,88,3191,3198,9,62.0,64.0,3172.0,3174.0,,,,,verb.possession,64,subject,the peasant,8,59,67,male,1.0,primary
38,5,slaughtering,92,104,3202,3214,9,62.0,64.0,3172.0,3174.0,,,,,verb.social,65,subject,the peasant,8,59,67,male,1.0,primary
40,0,began,4,9,3352,3357,34,0.0,3.0,3348.0,3351.0,,,,,verb.change,67,subject,the milk - maid,1,1,2,unknown,0.0,tertiary
40,1,cry,13,16,3361,3364,34,0.0,3.0,3348.0,3351.0,,,,,verb.body,66,subject,the milk - maid,1,1,2,unknown,0.0,tertiary
40,2,told,21,25,3369,3373,34,0.0,3.0,3348.0,3351.0,,,,,verb.communication,68,subject,the milk - maid,1,1,2,unknown,0.0,tertiary
41,0,thought,7,14,3394,3401,9,4.0,6.0,3391.0,3393.0,,,,,verb.cognition,70,subject,the peasant,8,59,67,male,1.0,primary
41,3,taken,79,84,3466,3471,9,48.0,69.0,3435.0,3456.0,96.0,106.0,3483.0,3493.0,verb.motion,69,subject,the peasant,8,59,67,male,1.0,primary
41,3,taken,79,84,3466,3471,14,48.0,69.0,3435.0,3456.0,96.0,106.0,3483.0,3493.0,verb.motion,69,subject,a peasant who lived in Telemarken's neighbor,5,0,5,unknown,0.0,tertiary
