sentence_id,event_id,temporal_rank
1,0,0
2,0,1
1,1,2
2,2,3
2,3,4
3,2,5
5,0,6
6,1,7
6,0,8
8,1,9
10,3,10
10,0,11
8,2,12
12,0,13
11,0,14
12,1,15
12,2,16
12,4,17
13,0,18
13,4,19
13,1,20
14,0,21
14,1,22
14,3,23
15,4,24
15,1,25
16,1,26
17,0,27
16,2,28
19,1,29
18,1,30
20,1,31
20,4,32
20,5,33
21,0,34
23,0,35
22,2,36
24,1,37
23,1,38
27,1,39
25,1,40
24,2,41
27,3,42
28,3,43
29,2,44
28,5,45
30,1,46
30,3,47
31,4,48
31,2,49
31,0,50
33,1,51
33,4,52
33,6,53
34,2,54
35,0,55
35,1,56
35,2,57
36,2,58
36,8,59
36,6,60
37,2,61
37,1,62
37,3,63
38,4,64
38,5,65
40,1,66
40,0,67
40,2,68
41,3,69
41,0,70
43,1,71
43,4,72
