coref_id,character_name,character_token,sentence_id,start_byte_in_sentence,end_byte_in_sentence,overlap
0,a peasant who lived in Telemarken,a peasant who lived in Telemarken,0,27,60,0
0,a peasant who lived in Telemarken,his,12,33,36,1
0,a peasant who lived in Telemarken,he,12,5,7,0
0,a peasant who lived in Telemarken,he,11,5,7,0
0,a peasant who lived in Telemarken,he,10,37,39,0
0,a peasant who lived in Telemarken,he,3,50,52,0
0,a peasant who lived in Telemarken,his,3,35,38,0
0,a peasant who lived in Telemarken,him,12,71,74,0
0,a peasant who lived in Telemarken,he,2,59,61,0
0,a peasant who lived in Telemarken,he,3,12,14,0
0,a peasant who lived in Telemarken,he,1,5,7,0
0,a peasant who lived in Telemarken,his,1,38,41,0
0,a peasant who lived in Telemarken,He,2,0,2,0
0,a peasant who lived in Telemarken,his,1,67,70,0
0,a peasant who lived in Telemarken,he,2,51,53,0
7,a man,you,7,4,7,0
7,a man,a man,3,57,62,0
41,neighbor,neighbor,4,11,19,0
8,the man,he,15,74,76,0
8,the man,You,15,1,4,0
8,the man,my,8,13,15,0
8,the man,the man,8,45,52,0
8,the man,the man,5,5,12,0
8,the man,my,15,50,52,0
8,the man,the man,31,17,24,0
8,the man,me,33,19,21,0
9,the peasant,you,34,18,21,0
9,the peasant,you,34,7,10,0
9,the peasant,you,33,135,138,0
9,the peasant,you,33,65,68,0
9,the peasant,your,33,42,46,0
9,the peasant,The peasant,29,0,11,0
9,the peasant,your,31,61,65,0
9,the peasant,him,28,105,108,0
9,the peasant,you,31,31,34,0
9,the peasant,his,30,120,123,0
9,the peasant,he,30,112,114,0
9,the peasant,his,30,83,86,0
9,the peasant,his,30,33,36,0
9,the peasant,he,30,13,15,0
9,the peasant,you,33,7,10,0
9,the peasant,him,27,70,73,0
9,the peasant,his,35,64,67,0
9,the peasant,the peasant,35,5,16,0
9,the peasant,his,41,48,51,1
9,the peasant,himself,41,18,25,0
9,the peasant,he,41,4,6,0
9,the peasant,the peasant,40,26,37,0
9,the peasant,him,39,85,88,0
9,the peasant,his,38,110,113,0
9,the peasant,he,38,62,64,0
9,the peasant,your,34,59,63,0
9,the peasant,his,37,68,71,0
9,the peasant,he,37,8,10,0
9,the peasant,him,36,175,178,0
9,the peasant,his,27,36,39,1
9,the peasant,his,36,150,153,1
9,the peasant,he,36,142,144,0
9,the peasant,he,36,4,6,0
9,the peasant,he,35,29,31,0
9,the peasant,he,37,32,34,0
9,the peasant,he,25,34,36,0
9,the peasant,The peasant,22,0,11,0
9,the peasant,your,15,16,20,0
9,the peasant,I,17,1,2,0
9,the peasant,the peasant,16,29,40,0
9,the peasant,I,16,5,6,0
9,the peasant,the peasant,15,82,93,0
9,the peasant,he,24,42,44,0
9,the peasant,the peasant,14,37,48,0
9,the peasant,I,18,8,9,0
9,the peasant,me,14,11,13,0
9,the peasant,your,9,20,24,0
9,the peasant,You,8,1,4,0
9,the peasant,mine,7,22,26,1
9,the peasant,I,6,41,42,0
9,the peasant,I,6,31,32,0
9,the peasant,the peasant,6,17,28,0
9,the peasant,you,13,49,52,0
9,the peasant,my,18,21,23,0
9,the peasant,him,43,132,135,0
9,the peasant,you,20,8,11,0
9,the peasant,you,20,33,36,0
9,the peasant,his,20,67,70,1
9,the peasant,his,24,30,33,0
9,the peasant,he,21,14,16,0
9,the peasant,his,21,22,25,0
9,the peasant,he,43,47,49,0
9,the peasant,him,23,27,30,0
9,the peasant,he,24,11,13,0
9,the peasant,his,23,56,59,0
9,the peasant,he,23,124,126,0
9,the peasant,you,19,13,16,0
43,a neighbor of mine,a neighbor of mine,7,8,26,0
12,one of the underground people,one of the underground people,11,41,70,0
13,the underground people,the underground people,11,48,70,1
14,his neighbor,his neighbor,36,150,162,0
14,his neighbor,his neighbor,27,36,48,1
14,his neighbor,his neighbor,20,67,79,0
14,his neighbor,his neighbor,41,48,60,0
14,his neighbor,his neighbor,12,33,45,0
15,the neighbor,the neighbor,12,80,92,0
15,the neighbor,the neighbor,13,15,27,0
15,the neighbor,the neighbor,28,84,96,0
15,the neighbor,me,13,65,67,0
25,the man who had called himself his neighbor,himself,27,28,35,1
25,the man who had called himself his neighbor,the man who had called himself his neighbor,27,5,48,0
34,the milk - maid,the milk-maid,39,22,35,0
34,the milk - maid,She,40,0,3,0
