sentence1,event1,te_rel,sentence2,event2,s_id,s_id2,e_id,e_id2
"And as the Prince was looking at it one day, it struck him what a dainty little lady she would need to be who wore such a very small shoe. ",struck,BEFORE,"And, as he liked dainty people, he made up his mind that he would never marry until he found a maiden who could wear the shoe, and that, when he found her, he would ask her to be his wife. ",liked,3,4,2,0
"And, as he liked dainty people, he made up his mind that he would never marry until he found a maiden who could wear the shoe, and that, when he found her, he would ask her to be his wife. ",liked,BEFORE,"And, as he liked dainty people, he made up his mind that he would never marry until he found a maiden who could wear the shoe, and that, when he found her, he would ask her to be his wife. ",marry,4,4,0,3
"And, as he liked dainty people, he made up his mind that he would never marry until he found a maiden who could wear the shoe, and that, when he found her, he would ask her to be his wife. ",marry,BEFORE,"And, as he liked dainty people, he made up his mind that he would never marry until he found a maiden who could wear the shoe, and that, when he found her, he would ask her to be his wife. ",found,4,4,3,4
"And, as he liked dainty people, he made up his mind that he would never marry until he found a maiden who could wear the shoe, and that, when he found her, he would ask her to be his wife. ",found,BEFORE,"And, as he liked dainty people, he made up his mind that he would never marry until he found a maiden who could wear the shoe, and that, when he found her, he would ask her to be his wife. ",found,4,4,4,7
"And, as he liked dainty people, he made up his mind that he would never marry until he found a maiden who could wear the shoe, and that, when he found her, he would ask her to be his wife. ",found,BEFORE,"And, as he liked dainty people, he made up his mind that he would never marry until he found a maiden who could wear the shoe, and that, when he found her, he would ask her to be his wife. ",ask,4,4,7,9
"And, as he liked dainty people, he made up his mind that he would never marry until he found a maiden who could wear the shoe, and that, when he found her, he would ask her to be his wife. ",ask,AFTER,"And he called all his Lords and Courtiers to him, and told them of the determination that he had come to, and asked them to help him in his quest. ",called,4,5,9,0
"And he called all his Lords and Courtiers to him, and told them of the determination that he had come to, and asked them to help him in his quest. ",called,BEFORE,"And he called all his Lords and Courtiers to him, and told them of the determination that he had come to, and asked them to help him in his quest. ",told,5,5,0,1
"And he called all his Lords and Courtiers to him, and told them of the determination that he had come to, and asked them to help him in his quest. ",told,AFTER,"And he called all his Lords and Courtiers to him, and told them of the determination that he had come to, and asked them to help him in his quest. ",come,5,5,1,3
"And he called all his Lords and Courtiers to him, and told them of the determination that he had come to, and asked them to help him in his quest. ",come,BEFORE,"And he called all his Lords and Courtiers to him, and told them of the determination that he had come to, and asked them to help him in his quest. ",asked,5,5,3,4
"And he called all his Lords and Courtiers to him, and told them of the determination that he had come to, and asked them to help him in his quest. ",asked,BEFORE,"And he called all his Lords and Courtiers to him, and told them of the determination that he had come to, and asked them to help him in his quest. ",help,5,5,4,5
