sentence1,event1,te_rel,sentence2,event2,s_id,s_id2,e_id,e_id2
"And as the Prince was looking at it one day, it struck him what a dainty little lady she would need to be who wore such a very small shoe. ",struck,BEFORE,"And, as he liked dainty people, he made up his mind that he would never marry until he found a maiden who could wear the shoe, and that, when he found her, he would ask her to be his wife. ",ask,3,4,2,9
"And, as he liked dainty people, he made up his mind that he would never marry until he found a maiden who could wear the shoe, and that, when he found her, he would ask her to be his wife. ",ask,AFTER,"And he called all his Lords and Courtiers to him, and told them of the determination that he had come to, and asked them to help him in his quest. ",told,4,5,9,1
"And he called all his Lords and Courtiers to him, and told them of the determination that he had come to, and asked them to help him in his quest. ",told,BEFORE,"And after they had taken counsel together they summoned a trusty Knight, and appointed him the Prince's Ambassador; ",summoned,5,6,1,2
"And after they had taken counsel together they summoned a trusty Knight, and appointed him the Prince's Ambassador; ",summoned,BEFORE," and told him to take the slipper, and mount a fleet-footed horse, and ride up and down the whole of the Kingdom until he found a lady whom it would fit. ",told,6,7,2,0
" and told him to take the slipper, and mount a fleet-footed horse, and ride up and down the whole of the Kingdom until he found a lady whom it would fit. ",told,BEFORE,So the Ambassador put the little shoe carefully in his pocket and set out on his errand. ,put,7,8,0,0
So the Ambassador put the little shoe carefully in his pocket and set out on his errand. ,put,BEFORE,"He rode, and he rode, and he rode, going to every town and castle that came in his way, and summoning all the ladies to appear before him to try on the shoe. ",rode,8,9,0,0
"He rode, and he rode, and he rode, going to every town and castle that came in his way, and summoning all the ladies to appear before him to try on the shoe. ",rode,BEFORE,"And, as he caused a Proclamation to be made that whoever could wear it should be the Prince's Bride, I need not tell you that all the ladies in the country-side flocked to wherever the Ambassador chanced to be staying, and begged leave to try on the slipper. ",flocked,9,10,0,9
"And, as he caused a Proclamation to be made that whoever could wear it should be the Prince's Bride, I need not tell you that all the ladies in the country-side flocked to wherever the Ambassador chanced to be staying, and begged leave to try on the slipper. ",flocked,BEFORE,"But they were all disappointed, for not one of them, try as she would, could make her foot small enough to go into the Fairy Shoe; ",try,10,11,9,1
"But they were all disappointed, for not one of them, try as she would, could make her foot small enough to go into the Fairy Shoe; ",try,AFTER," and there were many bitter tears shed in secret, when they returned home, by countless fair ladies who prided themselves on the smallness of their feet, and who had set out full of lively expectation that they would be the successful competitors. ",prided,11,12,1,3
" and there were many bitter tears shed in secret, when they returned home, by countless fair ladies who prided themselves on the smallness of their feet, and who had set out full of lively expectation that they would be the successful competitors. ",prided,BEFORE,"But the Laird was dead now, and there was nobody left but his wife and two daughters, who had grown poor of late, and who had to work hard for their living. ",grown,12,14,3,4
