sentence_id,event_id,event,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,coref_id,arg_start_byte_sentence,arg_end_byte_sentence,arg_start_byte_text,arg_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,major_event,temporal_rank,argument,name,name_mentions,pronoun_mentions,total_mentions,gender,gender_certainty,importance
4,9,ask,165,168,578,581,5,156.0,158.0,569.0,571.0,,,,,verb.communication,True,2,subject,The Prince,12,30,42,male,1.0,primary
5,1,told,54,58,656,660,5,4.0,6.0,606.0,608.0,,,,,verb.communication,True,1,subject,The Prince,12,30,42,male,1.0,primary
8,0,put,18,21,1036,1039,18,3.0,17.0,1021.0,1035.0,38.0,47.0,1056.0,1065.0,verb.contact,True,5,subject,the Ambassador,5,8,13,male,1.0,secondary
9,0,rode,3,7,1110,1114,18,0.0,2.0,1107.0,1109.0,,,,,verb.motion,True,6,subject,the Ambassador,5,8,13,male,1.0,secondary
10,9,flocked,161,168,1426,1433,25,126.0,160.0,1391.0,1425.0,,,,,verb.motion,True,7,subject,all the ladies in the country - side,1,3,4,female,1.0,tertiary
11,1,try,53,56,1577,1580,25,4.0,8.0,1528.0,1532.0,,,,,verb.social,True,9,subject,all the ladies in the country - side,1,3,4,female,1.0,tertiary
14,4,grown,94,99,2074,2079,38,71.0,84.0,2051.0,2064.0,105.0,112.0,2085.0,2092.0,verb.change,True,10,subject,two daughters,1,0,1,unknown,0.0,tertiary
17,12,shook,291,296,2531,2536,47,269.0,285.0,2509.0,2525.0,,,,,verb.motion,True,11,subject,the younger girl,1,10,11,female,1.0,tertiary
19,2,say,33,36,2748,2751,112,0.0,4.0,2715.0,2719.0,,,,,verb.communication,True,14,subject,Folk,1,0,1,unknown,0.0,tertiary
20,1,bide,27,31,2816,2820,47,8.0,9.0,2797.0,2798.0,,,,,verb.social,True,13,subject,the younger girl,1,10,11,female,1.0,tertiary
21,1,carried,63,70,2894,2901,49,41.0,57.0,2872.0,2888.0,74.0,78.0,2905.0,2909.0,verb.contact,True,16,subject,the elder sister,2,6,8,female,1.0,tertiary
23,2,walked,54,60,3059,3065,49,50.0,53.0,3055.0,3058.0,,,,,verb.motion,True,15,subject,the elder sister,2,6,8,female,1.0,tertiary
24,2,said,105,109,3190,3194,53,64.0,67.0,3149.0,3152.0,,,,,verb.communication,True,18,subject,the elder sister's younger sister,1,2,3,female,1.0,tertiary
