clustered_names,coref_idx,name_mentions,pronoun_mentions,total,easy_name,gender,gender_certainty,importance
Notscha,8,57,176,233,Notscha,male,1.0,primary
General Li Dsing/Li Dsing,5,29,32,61,General Li Dsing,male,1.0,tertiary
The dragon/the dragon,48,12,10,22,The dragon,male,1.0,tertiary
Notscha--his Master/his master/His master,60,7,5,12,Notscha's Master,male,1.0,tertiary
The Triton/Triton/the Triton,10,5,5,10,The Triton,male,1.0,tertiary
The oldest daughter of the Ruler of Heaven,15,1,8,9,The oldest daughter of the Ruler of Heaven,female,1.0,tertiary
the boy,27,4,4,8,the boy,male,1.0,tertiary
Wen Dschu,13,5,0,5,Wen Dschu,unknown,0.0,tertiary
The woman,91,1,4,5,The woman,female,1.0,tertiary
Notscha--his mother,90,1,4,5,Notscha's mother,female,1.0,tertiary
Notscha--his father,78,4,1,5,Notscha's father,male,1.0,tertiary
a Taoist priest,19,2,3,5,a Taoist priest,unknown,0.0,tertiary
Father,171,1,4,5,Father,male,1.0,tertiary
a small boy whose whole body glowed with a crimson radiance,24,1,4,5,a small boy whose whole body glowed with a crimson radiance,male,1.0,tertiary
the Dragon - King,35,3,1,4,the Dragon - King,male,1.0,tertiary
the Great One,173,3,1,4,the Great One,male,1.0,tertiary
Mutscha,7,4,0,4,Mutscha,unknown,0.0,tertiary
the people,95,2,1,3,the people,unknown,0.0,tertiary
Notscha--my father,169,1,2,3,Notscha's father,male,1.0,tertiary
Gintscha,6,3,0,3,Gintscha,unknown,0.0,tertiary
the old worm,175,1,2,3,the old worm,male,1.0,tertiary
the Dragon - King--his son,44,2,1,3,the Dragon - King's son,male,1.0,tertiary
the child,25,1,2,3,the child,male,1.0,tertiary
people,94,2,0,2,people,unknown,0.0,tertiary
the god,98,1,1,2,the god,unknown,0.0,tertiary
the accursed boy,182,1,1,2,the accursed boy,male,1.0,tertiary
Notscha--your parents,187,2,0,2,Notscha's parents,unknown,0.0,tertiary
Notscha--his parents,85,1,1,2,Notscha's parents,group/nonbinary,1.0,tertiary
Notscha 's mother,76,2,0,2,Notscha 's mother,female,1.0,tertiary
Notscha--my master,172,1,1,2,Notscha's master,male,1.0,tertiary
both,59,1,1,2,both,group/nonbinary,1.0,tertiary
the brothers,119,1,1,2,the brothers,male,1.0,tertiary
the Great One,9,2,0,2,the Great One,unknown,0.0,tertiary
the Buddha,137,1,1,2,the Buddha,male,1.0,tertiary
the gods,148,2,0,2,the gods,unknown,0.0,tertiary
General Li Dsing/Li Dsing--all his friends,28,1,1,2,General Li Dsing's his friends,unknown,0.0,tertiary
General Li Dsing/Li Dsing--his wife,26,2,0,2,General Li Dsing's wife,female,1.0,tertiary
an armed man who cried in a loud voice,47,1,1,2,an armed man who cried in a loud voice,male,1.0,tertiary
the son,46,1,1,2,the son,unknown,0.0,tertiary
General Li Dsing/Li Dsing--his three sons,141,2,0,2,General Li Dsing's three sons,unknown,0.0,tertiary
O Master,191,1,0,1,O Master,unknown,0.0,tertiary
Any other,145,1,0,1,Any other,unknown,0.0,tertiary
a sorcerer,144,1,0,1,a sorcerer,unknown,0.0,tertiary
King Wu of the Dschou dynasty,14,1,0,1,King Wu of the Dschou dynasty,male,1.0,tertiary
