sentence_id,event_id,event,supersense_category,coref_id_subj,coref_id_dobj
0,1,married,verb.social,16,17
0,1,married,verb.social,16,5
0,1,married,verb.social,15,17
0,1,married,verb.social,15,5
1,1,named,verb.communication,18,8
1,1,named,verb.communication,18,7
1,1,named,verb.communication,18,6
1,1,named,verb.communication,15,8
1,1,named,verb.communication,15,7
1,1,named,verb.communication,15,6
2,1,given,verb.possession,8,15
2,2,dreamed,verb.cognition,15,15
2,2,dreamed,verb.cognition,15,19
2,2,dreamed,verb.cognition,15,155
2,4,said,verb.communication,19,155
6,1,thought,verb.cognition,5,23
7,2,leaped,verb.motion,5,24
10,0,saw,verb.perception,5,5
10,0,saw,verb.perception,5,25
10,3,slay,verb.social,5,25
10,4,began,verb.change,26,27
10,4,began,verb.change,5,27
10,5,love,verb.emotion,26,27
10,5,love,verb.emotion,5,27
11,3,wish,verb.emotion,5,5
11,3,wish,verb.emotion,28,5
12,3,said,verb.communication,19,9
12,3,said,verb.communication,19,19
14,2,kill,verb.contact,27,160
15,1,take,verb.motion,19,27
15,2,gentle,verb.emotion,27,27
16,0,bowed,verb.communication,5,5
19,2,cool,verb.body,8,8
20,0,unbound,verb.contact,8,8
21,1,whisked,verb.motion,8,8
23,0,saw,verb.perception,10,8
23,0,saw,verb.perception,10,27
24,1,said,verb.communication,38,27
25,2,struck,verb.contact,10,8
25,2,struck,verb.contact,10,10
26,1,threw,verb.contact,38,8
26,1,threw,verb.contact,38,10
28,1,said,verb.communication,8,8
28,1,said,verb.communication,8,10
28,4,made,verb.change,10,8
31,1,reported,verb.communication,40,42
31,1,reported,verb.communication,40,41
31,4,slain,verb.contact,41,42
33,0,seated,verb.contact,46,46
35,0,saw,verb.perception,8,47
35,0,saw,verb.perception,8,162
35,0,saw,verb.perception,8,10
36,0,answered,verb.communication,8,8
36,0,answered,verb.communication,8,10
36,1,wanted,verb.emotion,10,8
36,2,slay,verb.contact,10,8
36,3,killed,verb.contact,8,10
38,0,assailed,verb.contact,48,8
38,0,assailed,verb.contact,48,48
39,0,said,verb.communication,8,8
39,0,said,verb.communication,8,48
42,1,rouse,verb.communication,8,8
42,3,skin,verb.contact,8,8
44,0,cast,verb.contact,8,8
45,0,took,verb.contact,8,8
45,1,struck,verb.contact,8,8
45,3,reveal,verb.perception,8,8
46,1,said,verb.communication,8,8
46,1,said,verb.communication,8,168
46,3,heard,verb.cognition,8,168
46,4,tell,verb.communication,8,168
47,2,bring,verb.motion,8,8
47,2,bring,verb.motion,8,169
47,4,tie,verb.contact,169,169
49,1,hastened,verb.motion,52,5
49,1,hastened,verb.motion,52,53
49,1,hastened,verb.motion,52,8
49,2,demanded,verb.communication,52,5
49,2,demanded,verb.communication,52,8
50,0,replied,verb.communication,5,5
50,0,replied,verb.communication,5,8
50,0,replied,verb.communication,5,170
53,0,threatened,verb.communication,48,5
53,0,threatened,verb.communication,48,56
53,1,report,verb.communication,48,5
53,1,report,verb.communication,48,56
55,0,came,verb.motion,8,59
55,1,said,verb.communication,8,171
57,1,said,verb.communication,8,8
58,0,came,verb.motion,8,60
58,0,came,verb.motion,8,8
58,1,told,verb.communication,8,60
59,0,said,verb.communication,38,8
59,0,said,verb.communication,38,48
59,3,prevent,verb.social,8,48
59,3,prevent,verb.social,8,8
59,4,accusing,verb.communication,48,8
60,1,found,verb.perception,8,8
60,1,found,verb.perception,8,48
64,3,began,verb.change,60,60
64,3,began,verb.change,8,60
64,4,pitch,verb.contact,60,60
64,4,pitch,verb.contact,8,60
66,3,care,verb.emotion,175,175
70,1,promise,verb.communication,8,38
70,1,promise,verb.communication,8,8
70,3,complain,verb.communication,8,8
71,1,turn,verb.change,48,48
71,1,turn,verb.change,48,8
72,1,drawn,verb.contact,8,8
73,0,swore,verb.communication,48,5
73,0,swore,verb.communication,48,48
73,2,punish,verb.social,48,5
75,0,sent,verb.motion,8,44
75,0,sent,verb.motion,76,44
76,1,went,verb.motion,8,60
76,1,went,verb.motion,8,8
77,0,advised,verb.communication,60,8
77,0,advised,verb.communication,8,8
78,3,bound,verb.contact,83,8
78,3,bound,verb.contact,83,85
79,3,take,verb.cognition,8,8
84,1,destroy,verb.contact,48,48
86,0,buried,verb.contact,8,8
86,0,buried,verb.contact,76,8
88,1,said,verb.communication,8,8
88,1,said,verb.communication,8,177
91,3,have,verb.possession,8,181
92,1,gave,verb.possession,8,90
93,1,told,verb.communication,90,5
95,3,appears,verb.perception,8,8
96,1,pay,verb.cognition,8,8
