sentence_id,event_id,event,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,coref_id,arg_start_byte_sentence,arg_end_byte_sentence,arg_start_byte_text,arg_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,temporal_rank,argument,name,name_mentions,pronoun_mentions,total_mentions,gender,gender_certainty,importance
0,1,married,47,54,47,54,16,0.0,42.0,0.0,42.0,,,,,verb.social,0,subject,the Ruler of Heaven,1.0,0.0,1.0,unknown,0.0,tertiary
0,1,married,47,54,47,54,15,0.0,42.0,0.0,42.0,,,,,verb.social,0,subject,The oldest daughter of the Ruler of Heaven,1.0,8.0,9.0,female,1.0,tertiary
1,1,named,14,19,97,102,18,0.0,8.0,83.0,91.0,,,,,verb.communication,1,subject,The oldest daughter of the Ruler of Heaven's sons,1.0,0.0,1.0,unknown,0.0,tertiary
1,1,named,14,19,97,102,15,0.0,8.0,83.0,91.0,,,,,verb.communication,1,subject,The oldest daughter of the Ruler of Heaven,1.0,8.0,9.0,female,1.0,tertiary
2,1,given,21,26,155,160,8,9.0,16.0,143.0,150.0,,,,,verb.possession,2,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
2,2,dreamed,36,43,170,177,15,32.0,35.0,166.0,169.0,,,,,verb.cognition,3,subject,The oldest daughter of the Ruler of Heaven,1.0,8.0,9.0,female,1.0,tertiary
2,4,said,100,104,234,238,19,58.0,73.0,192.0,207.0,,,,,verb.communication,4,subject,a Taoist priest,2.0,3.0,5.0,unknown,0.0,tertiary
4,1,awoke,48,53,375,380,15,44.0,47.0,371.0,374.0,,,,,verb.body,6,subject,The oldest daughter of the Ruler of Heaven,1.0,8.0,9.0,female,1.0,tertiary
5,0,came,17,21,399,403,8,9.0,16.0,391.0,398.0,,,,,verb.motion,7,subject,Notscha,57.0,176.0,233.0,male,1.0,primary
6,1,thought,34,41,603,610,5,0.0,8.0,569.0,577.0,,,,,verb.cognition,8,subject,General Li Dsing,29.0,32.0,61.0,male,1.0,tertiary
7,0,clove,3,8,636,641,5,0.0,2.0,633.0,635.0,27.0,41.0,660.0,674.0,verb.contact,9,subject,General Li Dsing,29.0,32.0,61.0,male,1.0,tertiary
7,2,leaped,57,63,690,696,5,0.0,2.0,633.0,635.0,,,,,verb.motion,11,subject,General Li Dsing,29.0,32.0,61.0,male,1.0,tertiary
9,0,wore,23,27,835,839,24,20.0,22.0,832.0,834.0,,,,,verb.body,10,subject,a small boy whose whole body glowed with a crimson radiance,1.0,4.0,5.0,male,1.0,tertiary
9,2,wound,70,75,882,887,24,48.0,65.0,860.0,877.0,,,,,verb.contact,12,subject,a small boy whose whole body glowed with a crimson radiance,1.0,4.0,5.0,male,1.0,tertiary
10,0,saw,14,17,969,972,5,5.0,13.0,960.0,968.0,,,,,verb.perception,13,subject,General Li Dsing,29.0,32.0,61.0,male,1.0,tertiary
10,1,took,31,35,986,990,5,28.0,30.0,983.0,985.0,41.0,47.0,996.0,1002.0,verb.cognition,14,subject,General Li Dsing,29.0,32.0,61.0,male,1.0,tertiary
10,3,slay,60,64,1015,1019,5,28.0,30.0,983.0,985.0,70.0,113.0,1025.0,1068.0,verb.social,15,subject,General Li Dsing,29.0,32.0,61.0,male,1.0,tertiary
10,4,began,85,90,1040,1045,26,76.0,84.0,1031.0,1039.0,,,,,verb.change,16,subject,General Li Dsing's wife,2.0,0.0,2.0,female,1.0,tertiary
10,4,began,85,90,1040,1045,5,76.0,84.0,1031.0,1039.0,,,,,verb.change,16,subject,General Li Dsing,29.0,32.0,61.0,male,1.0,tertiary
10,5,love,94,98,1049,1053,26,76.0,84.0,1031.0,1039.0,,,,,verb.emotion,17,subject,General Li Dsing's wife,2.0,0.0,2.0,female,1.0,tertiary
