sentence1,event1,te_rel,sentence2,event2,s_id,s_id2,e_id,e_id2
"During the winter he did not work, but traveled from one fair to another, hunting up quarrels and brawls. ",work,BEFORE,"From Christiansmarkt he went to Branaes and Konigsberg, and thence to Grundsaet, and wherever he came squabbles and brawls broke out, and in every brawl he was the victor. ",came,2,3,1,1
"From Christiansmarkt he went to Branaes and Konigsberg, and thence to Grundsaet, and wherever he came squabbles and brawls broke out, and in every brawl he was the victor. ",came,AFTER,"In the summer he dealt in cattle at Valders and the fjords, and fought with the fjord-folk and the hill people of Halling and Valders, and always had the best of it. ",fought,3,4,1,1
"In the summer he dealt in cattle at Valders and the fjords, and fought with the fjord-folk and the hill people of Halling and Valders, and always had the best of it. ",fought,BEFORE,"In the summer he dealt in cattle at Valders and the fjords, and fought with the fjord-folk and the hill people of Halling and Valders, and always had the best of it. ",had,4,4,1,2
"In the summer he dealt in cattle at Valders and the fjords, and fought with the fjord-folk and the hill people of Halling and Valders, and always had the best of it. ",had,BEFORE,"But sometimes they scratched him a bit with the knife, did those folk. ",scratched,4,5,2,0
"But sometimes they scratched him a bit with the knife, did those folk. ",scratched,BEFORE,"But sometimes they scratched him a bit with the knife, did those folk. ",did,5,5,0,1
"But sometimes they scratched him a bit with the knife, did those folk. ",did,BEFORE,"Now once, at the time of the hay harvest, he was home at Baekkjen, and had lain down to take a little after-dinner nap under the penthouse. ",take,5,6,1,3
"Now once, at the time of the hay harvest, he was home at Baekkjen, and had lain down to take a little after-dinner nap under the penthouse. ",take,BEFORE,"And he was taken into the hill, which happened in the following way: A man with a pair of gilded goat's horns came along and butted Ola, but Ola fell upon him so that the man had to duck back, again and again. ",taken,6,7,3,1
"And he was taken into the hill, which happened in the following way: A man with a pair of gilded goat's horns came along and butted Ola, but Ola fell upon him so that the man had to duck back, again and again. ",taken,BEFORE,"And he was taken into the hill, which happened in the following way: A man with a pair of gilded goat's horns came along and butted Ola, but Ola fell upon him so that the man had to duck back, again and again. ",came,7,7,1,4
"And he was taken into the hill, which happened in the following way: A man with a pair of gilded goat's horns came along and butted Ola, but Ola fell upon him so that the man had to duck back, again and again. ",came,BEFORE,"And he was taken into the hill, which happened in the following way: A man with a pair of gilded goat's horns came along and butted Ola, but Ola fell upon him so that the man had to duck back, again and again. ",butted,7,7,4,5
"And he was taken into the hill, which happened in the following way: A man with a pair of gilded goat's horns came along and butted Ola, but Ola fell upon him so that the man had to duck back, again and again. ",butted,BEFORE,"And he was taken into the hill, which happened in the following way: A man with a pair of gilded goat's horns came along and butted Ola, but Ola fell upon him so that the man had to duck back, again and again. ",fell,7,7,5,6
"And he was taken into the hill, which happened in the following way: A man with a pair of gilded goat's horns came along and butted Ola, but Ola fell upon him so that the man had to duck back, again and again. ",fell,BEFORE,"And he was taken into the hill, which happened in the following way: A man with a pair of gilded goat's horns came along and butted Ola, but Ola fell upon him so that the man had to duck back, again and again. ",duck,7,7,6,8
"And he was taken into the hill, which happened in the following way: A man with a pair of gilded goat's horns came along and butted Ola, but Ola fell upon him so that the man had to duck back, again and again. ",duck,BEFORE,"But the stranger stood up once more, and began to butt again. ",began,7,8,8,1
"But the stranger stood up once more, and began to butt again. ",began,BEFORE,"But the stranger stood up once more, and began to butt again. ",butt,8,8,1,2
"But the stranger stood up once more, and began to butt again. ",butt,BEFORE,"Finally he took Ola under his arm like a glove, and then both of them flew straight off into the hill. ",took,8,9,2,0
"Finally he took Ola under his arm like a glove, and then both of them flew straight off into the hill. ",took,BEFORE,"In the place to which they came all was adorned with silver plates and dishes, and with ornaments of silver, and Ola thought that the king himself had nothing finer. ",thought,9,10,0,3
