sentence1,event1,te_rel,sentence2,event2,s_id,s_id2,e_id,e_id2
"During the winter he did not work, but traveled from one fair to another, hunting up quarrels and brawls. ",work,BEFORE,"From Christiansmarkt he went to Branaes and Konigsberg, and thence to Grundsaet, and wherever he came squabbles and brawls broke out, and in every brawl he was the victor. ",came,2,3,1,1
"From Christiansmarkt he went to Branaes and Konigsberg, and thence to Grundsaet, and wherever he came squabbles and brawls broke out, and in every brawl he was the victor. ",came,AFTER,"In the summer he dealt in cattle at Valders and the fjords, and fought with the fjord-folk and the hill people of Halling and Valders, and always had the best of it. ",fought,3,4,1,1
"In the summer he dealt in cattle at Valders and the fjords, and fought with the fjord-folk and the hill people of Halling and Valders, and always had the best of it. ",fought,BEFORE,"But sometimes they scratched him a bit with the knife, did those folk. ",did,4,5,1,1
"But sometimes they scratched him a bit with the knife, did those folk. ",did,BEFORE,"Now once, at the time of the hay harvest, he was home at Baekkjen, and had lain down to take a little after-dinner nap under the penthouse. ",take,5,6,1,3
"Now once, at the time of the hay harvest, he was home at Baekkjen, and had lain down to take a little after-dinner nap under the penthouse. ",take,BEFORE,"And he was taken into the hill, which happened in the following way: A man with a pair of gilded goat's horns came along and butted Ola, but Ola fell upon him so that the man had to duck back, again and again. ",came,6,7,3,4
"And he was taken into the hill, which happened in the following way: A man with a pair of gilded goat's horns came along and butted Ola, but Ola fell upon him so that the man had to duck back, again and again. ",came,BEFORE,"But the stranger stood up once more, and began to butt again. ",butt,7,8,4,2
"But the stranger stood up once more, and began to butt again. ",butt,BEFORE,"Finally he took Ola under his arm like a glove, and then both of them flew straight off into the hill. ",took,8,9,2,0
"Finally he took Ola under his arm like a glove, and then both of them flew straight off into the hill. ",took,BEFORE,"In the place to which they came all was adorned with silver plates and dishes, and with ornaments of silver, and Ola thought that the king himself had nothing finer. ",thought,9,10,0,3
"In the place to which they came all was adorned with silver plates and dishes, and with ornaments of silver, and Ola thought that the king himself had nothing finer. ",thought,BEFORE,"They offered him a drink, which he drank; ",drank,10,11,3,1
"They offered him a drink, which he drank; ",drank,BEFORE," but he would not eat, for the food did not seem to him to be appetizing. ",eat,11,12,1,1
" but he would not eat, for the food did not seem to him to be appetizing. ",eat,BEFORE,"Suddenly the man with the gilded goat's horns came in, and gave Ola a shove before he knew it; ",knew,12,13,1,2
"Suddenly the man with the gilded goat's horns came in, and gave Ola a shove before he knew it; ",knew,BEFORE," but Ola came back at him as before, and so they beat and pulled each other through all the rooms, and along all the walls. ",pulled,13,14,2,2
" but Ola came back at him as before, and so they beat and pulled each other through all the rooms, and along all the walls. ",pulled,BEFORE,"On the third Thursday evening he was in ill ease, for the people in the hill had in mind to thrust him forth. ",thrust,14,17,2,2
"On the third Thursday evening he was in ill ease, for the people in the hill had in mind to thrust him forth. ",thrust,BEFORE,"When the bells stopped ringing, he sat at a crack in the hill, with his head looking out. ",sat,17,18,2,2
"When the bells stopped ringing, he sat at a crack in the hill, with his head looking out. ",sat,BEFORE,"Had not a man come by and happened to spy him, and told the people to keep on ringing the church-bells, the hill would have closed over him again, and he would probably still be inside. ",ringing,18,19,2,6
"Had not a man come by and happened to spy him, and told the people to keep on ringing the church-bells, the hill would have closed over him again, and he would probably still be inside. ",ringing,AFTER,"But when he came out he had been so badly beaten, and was so miserable, that it passed all measure. ",beaten,19,20,6,3
"But when he came out he had been so badly beaten, and was so miserable, that it passed all measure. ",beaten,BEFORE,"And from time to time he would leap up, run off and try to get back into the hill to take up his quarrel again, and fight for the gilded goat's horns. ",fight,20,22,3,6
"And from time to time he would leap up, run off and try to get back into the hill to take up his quarrel again, and fight for the gilded goat's horns. ",fight,AFTER,For those he wanted to break from the giant's forehead.,break,22,23,6,1
