coref_id,character_name,character_token,sentence_id,start_byte_in_sentence,end_byte_in_sentence,overlap
9,a man in the forest of Dovre whose name was Ola Storbaekkjen,a man in the forest of Dovre whose name was Ola Storbaekkjen,0,29,89,0
9,a man in the forest of Dovre whose name was Ola Storbaekkjen,he,6,42,44,0
9,a man in the forest of Dovre whose name was Ola Storbaekkjen,he,3,94,96,0
9,a man in the forest of Dovre whose name was Ola Storbaekkjen,he,3,153,155,0
9,a man in the forest of Dovre whose name was Ola Storbaekkjen,he,4,14,16,0
9,a man in the forest of Dovre whose name was Ola Storbaekkjen,him,5,29,32,0
9,a man in the forest of Dovre whose name was Ola Storbaekkjen,He,1,0,2,0
9,a man in the forest of Dovre whose name was Ola Storbaekkjen,he,3,21,23,0
9,a man in the forest of Dovre whose name was Ola Storbaekkjen,he,7,4,6,0
9,a man in the forest of Dovre whose name was Ola Storbaekkjen,he,2,18,20,0
8,Ola Storbaekkjen/Ola,he,12,5,7,0
8,Ola Storbaekkjen/Ola,him,11,13,16,0
8,Ola Storbaekkjen/Ola,him,12,52,55,0
8,Ola Storbaekkjen/Ola,Ola,13,64,67,0
8,Ola Storbaekkjen/Ola,Ola,10,113,116,0
8,Ola Storbaekkjen/Ola,he,13,83,85,0
8,Ola Storbaekkjen/Ola,Ola,9,16,19,0
8,Ola Storbaekkjen/Ola,Ola,14,5,8,0
8,Ola Storbaekkjen/Ola,Ola,15,0,3,0
8,Ola Storbaekkjen/Ola,him,16,110,113,0
8,Ola Storbaekkjen/Ola,he,17,30,32,0
8,Ola Storbaekkjen/Ola,Ola,7,141,144,0
8,Ola Storbaekkjen/Ola,Ola,7,132,135,0
8,Ola Storbaekkjen/Ola,him,17,99,102,0
8,Ola Storbaekkjen/Ola,he,18,32,34,0
8,Ola Storbaekkjen/Ola,his,18,68,71,0
8,Ola Storbaekkjen/Ola,him,19,42,45,0
8,Ola Storbaekkjen/Ola,him,19,136,139,0
8,Ola Storbaekkjen/Ola,he,19,151,153,0
8,Ola Storbaekkjen/Ola,he,20,9,11,0
8,Ola Storbaekkjen/Ola,he,20,21,23,0
8,Ola Storbaekkjen/Ola,his,21,13,16,0
8,Ola Storbaekkjen/Ola,his,21,55,58,0
8,Ola Storbaekkjen/Ola,he,21,94,96,0
8,Ola Storbaekkjen/Ola,his,21,114,117,0
8,Ola Storbaekkjen/Ola,he,22,22,24,0
8,Ola Storbaekkjen/Ola,his,22,93,96,0
8,Ola Storbaekkjen/Ola,Ola Storbaekkjen,0,73,89,1
8,Ola Storbaekkjen/Ola,he,11,32,34,0
8,Ola Storbaekkjen/Ola,he,23,10,12,0
12,the fjord - folk,they,5,14,18,0
12,the fjord - folk,the fjord-folk,4,76,90,0
13,the hill people of Halling and Valders,the hill people of Halling and Valders,4,95,133,0
14,those folk,those folk,5,59,69,0
17,A man with a pair of gilded goat 's horns,A man with a pair of gilded goat's horns,7,69,109,0
17,A man with a pair of gilded goat 's horns,him,7,155,158,0
18,the man,the man,7,167,174,0
19,the stranger,the stranger,8,4,16,0
19,the stranger,he,9,8,10,0
19,the stranger,his,9,26,29,0
23,the king,himself,10,139,146,0
23,the king,the king,10,130,138,0
24,the man with the gilded goat 's horns,him,14,22,25,0
24,the man with the gilded goat 's horns,the man with the gilded goat's horns,13,9,45,0
25,each other,each other,14,65,75,0
27,the people in the hill,the people in the hill,17,54,76,0
30,a man,a man,19,8,13,0
31,the people,the people,19,56,66,0
34,the giant,the giant,23,34,43,0
