sentence_id,event_id,event,supersense_category,coref_id_subj,coref_id_dobj
26,1,thought,verb.cognition,116,37
27,1,remember,verb.cognition,37,116
29,2,looked,verb.perception,116,37
30,0,know,verb.cognition,37,116
30,0,know,verb.cognition,37,120
30,0,know,verb.cognition,116,116
30,0,know,verb.cognition,116,120
36,4,saw,verb.perception,37,126
36,6,leaning,verb.contact,126,37
37,1,forget,verb.cognition,37,37
39,1,relieved,verb.social,38,38
39,2,knows,verb.cognition,38,38
39,2,knows,verb.cognition,38,39
39,6,whisper,verb.communication,38,38
43,0,remarked,verb.communication,38,43
43,0,remarked,verb.communication,38,38
43,3,placed,verb.contact,43,38
45,0,considered,verb.cognition,38,38
46,1,found,verb.perception,46,46
50,0,discovered,verb.cognition,43,40
50,3,said,verb.communication,43,43
56,1,present,verb.social,51,38
57,4,remember,verb.cognition,38,38
57,12,understand,verb.cognition,38,38
59,0,thank,verb.communication,50,38
60,0,hope,verb.emotion,50,50
64,1,retain,verb.possession,51,51
65,2,said,verb.communication,128,51
86,7,tried,verb.social,56,56
87,6,see,verb.perception,56,56
89,2,said,verb.communication,56,51
91,3,benefit,verb.emotion,56,135
104,1,begged,verb.communication,60,60
104,1,begged,verb.communication,60,34
104,1,begged,verb.communication,60,10
104,3,allow,verb.social,34,60
104,3,allow,verb.social,10,60
104,8,commenced,verb.social,60,60
106,0,had,verb.possession,60,66
109,0,sat,verb.contact,30,30
118,1,called,verb.communication,30,30
122,1,eating,verb.consumption,30,30
132,1,imagine,verb.creation,19,19
139,3,waxing,verb.body,89,89
143,1,know,verb.cognition,30,30
143,1,know,verb.cognition,30,89
143,4,change,verb.change,89,30
147,2,smiling,verb.body,89,89
147,3,said,verb.communication,89,89
147,3,said,verb.communication,89,137
161,0,showed,verb.perception,4,4
161,0,showed,verb.perception,4,109
166,0,love,verb.emotion,30,4
167,1,supply,verb.possession,30,4
