clustered_names,coref_idx,name_mentions,pronoun_mentions,total,easy_name,gender,gender_certainty,importance
Osseo,2,18,56,74,Osseo,male,1.0,primary
the voice--My son/my son,124,5,28,33,the voice's son,unknown,0.0,secondary
Oweenee,1,5,13,18,Oweenee,female,1.0,tertiary
Osseo--his wife,42,6,7,13,Osseo's wife,female,1.0,tertiary
the voice,53,1,9,10,the voice,unknown,0.0,tertiary
Every female,58,1,9,10,Every female,female,1.0,tertiary
the children of the sky,129,1,6,7,the children of the sky,group/nonbinary,1.0,tertiary
That spirit,144,1,5,6,That spirit,male,1.0,tertiary
Osseo--his companions,59,1,5,6,Osseo's companions,group/nonbinary,1.0,tertiary
Poor old man,120,1,4,5,Poor old man,male,1.0,tertiary
The boy,89,1,4,5,The boy,male,1.0,tertiary
their young and handsome sister who had such an unsuitable mate,31,1,4,5,their young and handsome sister who had such an unsuitable mate,female,1.0,tertiary
the King of the Star--my family,146,1,3,4,the King of the Star's family,male,1.0,tertiary
their entertainer,49,1,3,4,their entertainer,male,1.0,tertiary
the voice's son--your wife,139,3,1,4,the voice's son's wife,female,1.0,tertiary
the King of the Star,78,1,2,3,the King of the Star,male,1.0,tertiary
Poor old man--his father,121,3,0,3,Poor old man's father,male,1.0,tertiary
ten daughters,7,1,2,3,ten daughters,group/nonbinary,1.0,tertiary
a beautiful young woman,85,1,2,3,a beautiful young woman,female,1.0,tertiary
the hunter,48,2,1,3,the hunter,male,1.0,tertiary
the old man,76,1,2,3,the old man,male,1.0,tertiary
the sisters,26,1,2,3,the sisters,female,1.0,tertiary
Oweenee--Her elder sisters,12,1,2,3,Oweenee's elder sisters,female,1.0,tertiary
the children of the sky--their victim,131,2,0,2,the children of the sky's victim,unknown,0.0,tertiary
the sisters--their parents,28,2,0,2,the sisters's parents,unknown,0.0,tertiary
Oweenee's elder sisters--their husbands,14,2,0,2,Oweenee's elder sisters's husbands,male,1.0,tertiary
the walking - staff,21,2,0,2,the walking - staff,unknown,0.0,tertiary
the fishermen who go near those high cliffs at night,111,1,0,1,the fishermen who go near those high cliffs at night,unknown,0.0,tertiary
Osseo 's father,75,1,0,1,Osseo 's father,male,1.0,tertiary
friends,67,1,0,1,friends,unknown,0.0,tertiary
Little Spirits,4,1,0,1,Little Spirits,unknown,0.0,tertiary
the happy little dancers,113,1,0,1,the happy little dancers,unknown,0.0,tertiary
