sentence_id,event_id,event,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,coref_id,arg_start_byte_sentence,arg_end_byte_sentence,arg_start_byte_text,arg_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,temporal_rank,argument,name,name_mentions,pronoun_mentions,total_mentions,gender,gender_certainty,importance
3,6,knew,171,175,511,515,1,167.0,170.0,507.0,510.0,,,,,verb.cognition,1,subject,Oweenee,5.0,13.0,18.0,female,1.0,tertiary
4,0,paid,4,8,608,612,1,0.0,3.0,604.0,607.0,,,,,verb.cognition,3,subject,Oweenee,5.0,13.0,18.0,female,1.0,tertiary
5,1,sought,27,33,755,761,1,0.0,17.0,728.0,745.0,,,,,verb.social,4,subject,Oweenee,5.0,13.0,18.0,female,1.0,tertiary
5,1,sought,27,33,755,761,12,0.0,17.0,728.0,745.0,,,,,verb.social,4,subject,Oweenee's elder sisters,1.0,2.0,3.0,female,1.0,tertiary
5,3,dwell,88,93,816,821,12,71.0,75.0,799.0,803.0,,,,,verb.social,6,subject,Oweenee's elder sisters,1.0,2.0,3.0,female,1.0,tertiary
7,0,married,12,19,918,925,1,8.0,11.0,914.0,917.0,,,,,verb.social,8,subject,Oweenee,5.0,13.0,18.0,female,1.0,tertiary
8,0,owned,21,26,1052,1057,2,0.0,17.0,1031.0,1048.0,,,,,verb.possession,7,subject,Osseo,18.0,56.0,74.0,male,1.0,primary
11,4,said,97,101,1357,1361,1,63.0,66.0,1323.0,1326.0,,,,,verb.communication,11,subject,Oweenee,5.0,13.0,18.0,female,1.0,tertiary
16,2,invited,77,84,1941,1948,26,17.0,67.0,1881.0,1931.0,,,,,verb.social,12,subject,the sisters,1.0,2.0,3.0,female,1.0,tertiary
16,2,invited,77,84,1941,1948,28,17.0,67.0,1881.0,1931.0,,,,,verb.social,12,subject,the sisters's parents,2.0,0.0,2.0,unknown,0.0,tertiary
16,2,invited,77,84,1941,1948,14,17.0,67.0,1881.0,1931.0,,,,,verb.social,12,subject,Oweenee's elder sisters's husbands,2.0,0.0,2.0,male,1.0,tertiary
17,4,undertake,99,108,2060,2069,2,55.0,80.0,2016.0,2041.0,,,,,verb.creation,16,subject,Osseo,18.0,56.0,74.0,male,1.0,primary
17,4,undertake,99,108,2060,2069,29,55.0,80.0,2016.0,2041.0,,,,,verb.creation,16,subject,so aged and feeble,1.0,0.0,1.0,unknown,0.0,tertiary
18,0,joined,43,49,2125,2131,2,40.0,42.0,2122.0,2124.0,,,,,verb.social,17,subject,Osseo,18.0,56.0,74.0,male,1.0,primary
20,0,smiled,14,20,2306,2312,31,0.0,3.0,2292.0,2295.0,,,,,verb.body,21,subject,their young and handsome sister who had such an unsuitable mate,1.0,4.0,5.0,female,1.0,tertiary
21,0,stopped,12,19,2438,2445,2,0.0,5.0,2426.0,2431.0,,,,,verb.motion,23,subject,Osseo,18.0,56.0,74.0,male,1.0,primary
21,1,gazed,24,29,2450,2455,2,0.0,5.0,2426.0,2431.0,,,,,verb.perception,22,subject,Osseo,18.0,56.0,74.0,male,1.0,primary
