sentence_id,event_id,event,supersense_category,coref_id_subj,coref_id_dobj
1,5,hated,verb.emotion,13,12
1,6,paid,verb.communication,13,15
1,6,paid,verb.communication,13,14
7,0,said,verb.communication,25,27
7,0,said,verb.communication,25,25
7,3,wrap,verb.contact,25,25
7,5,see,verb.social,25,27
7,5,see,verb.social,25,25
7,7,catch,verb.cognition,25,27
12,0,began,verb.change,30,30
13,2,expected,verb.cognition,31,32
13,3,face,verb.communication,31,32
16,1,hear,verb.perception,33,34
19,3,take,verb.social,33,31
19,4,said,verb.communication,33,33
19,4,said,verb.communication,31,33
20,1,like,verb.emotion,31,33
20,2,see,verb.perception,31,33
20,4,retorted,verb.communication,33,31
20,4,retorted,verb.communication,31,31
20,5,rising,verb.motion,31,31
20,6,stamping,verb.contact,31,31
21,0,felt,verb.emotion,31,33
21,0,felt,verb.emotion,31,38
21,0,felt,verb.emotion,31,31
21,0,felt,verb.emotion,31,39
21,1,forgot,verb.cognition,31,33
21,1,forgot,verb.cognition,31,38
21,1,forgot,verb.cognition,31,31
21,1,forgot,verb.cognition,31,39
22,2,seized,verb.contact,33,31
22,3,put,verb.contact,33,33
22,3,put,verb.contact,33,31
22,4,carried,verb.contact,33,31
23,0,reached,verb.motion,33,33
23,2,took,verb.contact,33,31
23,3,set,verb.contact,33,31
25,0,have,verb.possession,33,31
27,3,expect,verb.cognition,33,33
28,1,heard,verb.perception,43,43
28,8,help,verb.social,44,43
28,8,help,verb.social,43,43
29,0,took,verb.perception,33,43
29,4,begin,verb.change,33,43
30,4,told,verb.communication,33,43
32,0,thought,verb.cognition,43,43
35,2,reached,verb.motion,52,31
35,2,reached,verb.motion,56,31
38,2,laughing,verb.body,52,58
39,1,reached,verb.motion,52,52
39,1,reached,verb.motion,52,31
39,4,eating,verb.consumption,31,31
44,0,shook,verb.motion,31,31
44,1,waved,verb.communication,31,52
45,2,feel,verb.emotion,31,61
45,2,feel,verb.emotion,31,31
46,0,finished,verb.change,31,31
50,1,found,verb.perception,33,33
50,1,found,verb.perception,33,31
50,5,left,verb.possession,31,33
52,0,took,verb.contact,33,31
52,1,beat,verb.contact,33,31
53,0,carried,verb.contact,33,31
53,1,threw,verb.contact,33,31
56,0,said,verb.communication,69,31
56,0,said,verb.communication,69,70
57,3,befallen,verb.emotion,31,71
57,3,befallen,verb.emotion,31,31
58,1,carried,verb.contact,33,31
58,2,set,verb.contact,33,33
58,2,set,verb.contact,33,31
59,2,asked,verb.communication,2,31
60,1,comb,verb.contact,31,31
60,2,card,verb.contact,31,31
60,4,scolded,verb.communication,33,31
60,5,beat,verb.contact,33,31
60,6,threw,verb.contact,33,31
62,1,carried,verb.contact,33,31
63,0,felt,verb.cognition,31,44
63,0,felt,verb.cognition,31,31
63,1,had,verb.possession,31,44
64,1,felt,verb.cognition,31,31
64,1,felt,verb.cognition,31,3
64,3,outwit,verb.competition,31,3
65,4,carrying,verb.motion,33,31
66,0,set,verb.contact,33,31
66,1,told,verb.communication,33,33
66,1,told,verb.communication,33,31
66,2,expected,verb.cognition,33,31
66,6,nodded,verb.communication,31,31
66,7,said,verb.communication,31,31
66,8,felt,verb.emotion,31,31
67,0,sang,verb.communication,31,31
67,9,told,verb.communication,31,33
68,2,made,verb.creation,31,44
68,2,made,verb.creation,31,31
72,0,replied,verb.communication,91,91
73,1,find,verb.possession,90,90
74,2,give,verb.possession,91,90
74,4,smother,verb.contact,90,90
77,3,brought,verb.contact,92,92
81,4,find,verb.possession,31,44
82,2,find,verb.possession,31,44
82,3,said,verb.communication,44,31
82,3,said,verb.communication,31,31
85,3,told,verb.communication,33,31
88,1,looked,verb.perception,4,4
89,1,have,verb.possession,31,4
92,0,have,verb.possession,31,201
92,2,replied,verb.communication,31,31
95,3,pay,verb.possession,5,5
96,0,thought,verb.cognition,31,106
96,6,gave,verb.possession,31,106
97,1,see,verb.communication,31,106
97,6,follow,verb.motion,31,106
98,3,began,verb.change,31,33
98,3,began,verb.change,31,31
98,4,wonder,verb.cognition,31,33
98,4,wonder,verb.cognition,31,31
98,8,found,verb.cognition,33,31
99,6,felt,verb.cognition,31,31
100,5,found,verb.perception,31,111
101,9,know,verb.cognition,31,33
102,0,told,verb.communication,31,116
102,0,told,verb.communication,31,117
102,0,told,verb.communication,31,118
102,0,told,verb.communication,31,31
102,0,told,verb.communication,31,106
102,2,take,verb.possession,31,106
103,0,made,verb.creation,31,106
103,2,brought,verb.possession,31,106
103,2,brought,verb.possession,106,106
103,3,gave,verb.possession,31,106
103,3,gave,verb.possession,106,106
104,2,told,verb.communication,31,116
104,2,told,verb.communication,31,31
104,2,told,verb.communication,31,106
104,5,turn,verb.possession,31,116
104,6,gave,verb.possession,116,116
104,6,gave,verb.possession,116,106
104,7,told,verb.communication,116,106
105,1,finished,verb.change,106,106
106,2,felt,verb.perception,106,106
107,1,heard,verb.perception,106,106
107,1,heard,verb.perception,106,206
110,1,call,verb.communication,207,106
112,0,put,verb.contact,106,106
116,3,tell,verb.communication,116,208
119,1,told,verb.communication,116,116
119,1,told,verb.communication,116,31
119,7,told,verb.communication,116,31
119,8,risked,verb.possession,31,33
119,9,allowed,verb.social,31,31
121,4,tell,verb.communication,31,135
122,1,thought,verb.cognition,31,31
122,1,thought,verb.cognition,31,138
122,1,thought,verb.cognition,137,31
122,1,thought,verb.cognition,137,138
122,3,tease,verb.emotion,31,138
122,4,let,verb.communication,31,138
122,5,know,verb.cognition,138,31
122,5,know,verb.cognition,138,138
123,1,pretending,verb.communication,31,31
123,2,think,verb.cognition,31,31
124,2,thought,verb.cognition,135,31
124,2,thought,verb.cognition,135,135
125,4,know,verb.cognition,138,7
125,4,know,verb.cognition,138,6
126,0,knew,verb.cognition,135,31
126,0,knew,verb.cognition,135,135
126,0,knew,verb.cognition,135,207
126,3,called,verb.communication,207,135
127,2,met,verb.motion,33,2
127,2,met,verb.motion,33,144
128,2,hanging,verb.contact,144,144
129,2,told,verb.communication,144,147
129,2,told,verb.communication,144,33
129,2,told,verb.communication,144,144
130,3,used,verb.consumption,144,144
130,4,wet,verb.change,144,144
131,0,thought,verb.cognition,33,211
131,3,said,verb.communication,33,33
132,7,spoil,verb.body,214,214
133,2,find,verb.cognition,33,150
133,2,find,verb.cognition,33,33
135,4,restore,verb.social,33,150
135,4,restore,verb.social,33,216
136,1,lifted,verb.contact,33,152
136,2,brought,verb.contact,33,152
136,3,laid,verb.contact,33,152
137,1,saw,verb.perception,153,152
137,5,held,verb.emotion,153,153
137,6,busied,verb.social,153,153
137,7,applying,verb.consumption,153,152
137,9,binding,verb.contact,153,152
137,13,told,verb.communication,152,153
137,13,told,verb.communication,152,152
139,1,knew,verb.cognition,44,153
139,1,knew,verb.cognition,153,153
139,2,meant,verb.communication,153,153
140,1,fetched,verb.contact,153,33
140,2,put,verb.contact,153,153
140,2,put,verb.contact,153,160
140,3,covered,verb.contact,153,153
140,3,covered,verb.contact,153,160
140,8,asked,verb.communication,153,153
140,8,asked,verb.communication,153,33
140,10,do,verb.social,33,153
141,1,thought,verb.cognition,33,153
141,4,said,verb.communication,153,33
141,4,said,verb.communication,33,33
142,2,said,verb.communication,217,31
142,2,said,verb.communication,31,31
145,0,put,verb.contact,153,153
145,0,put,verb.contact,153,167
145,1,covered,verb.contact,153,153
145,1,covered,verb.contact,153,167
145,8,carried,verb.motion,153,171
145,8,carried,verb.motion,153,153
145,8,carried,verb.motion,169,171
145,8,carried,verb.motion,169,153
