sentence_id,event_id,event,supersense_category,coref_id_subj,coref_id_dobj
5,0,reached,verb.motion,7,7
5,0,reached,verb.motion,7,25
5,1,intended,verb.cognition,7,25
5,5,see,verb.perception,7,7
9,0,felt,verb.cognition,7,7
14,0,knew,verb.cognition,7,7
15,3,thought,verb.cognition,7,7
20,3,let,verb.social,7,7
20,5,said,verb.communication,7,7
21,0,noticed,verb.perception,7,98
21,0,noticed,verb.perception,7,29
21,0,noticed,verb.perception,7,7
21,4,coiled,verb.motion,98,98
21,4,coiled,verb.motion,98,29
24,1,felt,verb.perception,7,7
25,0,wanted,verb.emotion,7,7
26,1,feeling,verb.perception,7,7
30,1,set,verb.contact,7,7
30,3,feel,verb.perception,7,7
33,0,took,verb.contact,7,7
33,2,felt,verb.perception,7,7
33,3,came,verb.motion,7,7
36,1,said,verb.communication,102,33
36,1,said,verb.communication,33,33
41,4,dragged,verb.contact,35,36
41,4,dragged,verb.contact,7,36
41,6,make,verb.change,35,35
46,2,saw,verb.perception,7,39
48,3,thought,verb.cognition,7,7
54,4,guarded,verb.competition,7,7
55,1,think,verb.cognition,48,7
55,3,answered,verb.communication,48,48
55,3,answered,verb.communication,7,48
56,1,buried,verb.contact,7,7
61,1,carries,verb.possession,7,7
62,1,shouldered,verb.contact,7,7
63,1,took,verb.contact,7,7
64,0,reached,verb.motion,7,29
72,1,poured,verb.consumption,7,7
81,1,called,verb.communication,7,7
81,2,locked,verb.contact,7,29
84,1,shot,verb.competition,7,62
84,2,clubbed,verb.contact,7,63
88,1,shot,verb.competition,7,7
92,1,seen,verb.perception,12,11
96,0,made,verb.social,11,11
96,0,made,verb.social,11,12
98,2,accompanied,verb.motion,7,67
103,0,thought,verb.cognition,7,78
103,0,thought,verb.cognition,7,7
103,2,like,verb.emotion,7,78
103,3,see,verb.perception,7,78
104,2,took,verb.contact,7,7
109,0,thought,verb.cognition,7,70
109,0,thought,verb.cognition,7,7
109,2,manage,verb.social,7,70
109,3,clear,verb.change,7,70
113,2,ate,verb.consumption,87,70
114,0,noticed,verb.perception,88,7
114,0,noticed,verb.perception,70,7
116,4,drew,verb.contact,7,89
122,1,rushed,verb.motion,7,70
122,3,scratching,verb.contact,7,70
123,0,hewed,verb.communication,7,94
123,3,break,verb.change,7,70
124,1,make,verb.change,70,70
