sentence_id,event_id,event,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,coref_id,arg_start_byte_sentence,arg_end_byte_sentence,arg_start_byte_text,arg_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,temporal_rank,argument,name,name_mentions,pronoun_mentions,total_mentions,gender,gender_certainty,importance
1,1,shot,46,50,118,122,18,43.0,45.0,115.0,117.0,,,,,verb.competition,0,subject,a marksman,1.0,2.0,3.0,male,1.0,tertiary
3,3,decided,109,116,336,343,7,100.0,108.0,327.0,335.0,,,,,verb.cognition,2,subject,Per Gynt,41.0,119.0,160.0,male,1.0,primary
4,1,left,71,75,444,448,23,41.0,58.0,414.0,431.0,,,,,verb.motion,1,subject,all the herd - folk,1.0,0.0,1.0,unknown,0.0,tertiary
5,0,reached,18,25,482,489,7,9.0,17.0,473.0,481.0,,,,,verb.motion,4,subject,Per Gynt,41.0,119.0,160.0,male,1.0,primary
5,1,intended,47,55,511,519,7,44.0,46.0,508.0,510.0,,,,,verb.cognition,3,subject,Per Gynt,41.0,119.0,160.0,male,1.0,primary
5,2,stay,59,63,523,527,7,44.0,46.0,508.0,510.0,,,,,verb.motion,5,subject,Per Gynt,41.0,119.0,160.0,male,1.0,primary
5,5,see,137,140,601,604,7,124.0,126.0,588.0,590.0,150.0,165.0,614.0,629.0,verb.perception,6,subject,Per Gynt,41.0,119.0,160.0,male,1.0,primary
6,2,felt,49,53,680,684,7,46.0,48.0,677.0,679.0,,,,,verb.emotion,9,subject,Per Gynt,41.0,119.0,160.0,male,1.0,primary
7,0,struck,22,28,721,727,7,13.0,21.0,712.0,720.0,,,,,verb.contact,12,subject,Per Gynt,41.0,119.0,160.0,male,1.0,primary
9,0,felt,9,13,810,814,7,6.0,8.0,807.0,809.0,,,,,verb.cognition,11,subject,Per Gynt,41.0,119.0,160.0,male,1.0,primary
9,2,left,33,37,834,838,7,22.0,24.0,823.0,825.0,,,,,verb.motion,10,subject,Per Gynt,41.0,119.0,160.0,male,1.0,primary
9,4,imagine,61,68,862,869,7,48.0,50.0,849.0,851.0,,,,,verb.creation,13,subject,Per Gynt,41.0,119.0,160.0,male,1.0,primary
10,0,sensed,8,14,895,901,7,5.0,7.0,892.0,894.0,,,,,verb.cognition,14,subject,Per Gynt,41.0,119.0,160.0,male,1.0,primary
12,1,noticed,23,30,971,978,7,20.0,22.0,968.0,970.0,,,,,verb.perception,15,subject,Per Gynt,41.0,119.0,160.0,male,1.0,primary
14,0,knew,17,21,1054,1058,7,8.0,16.0,1045.0,1053.0,,,,,verb.cognition,17,subject,Per Gynt,41.0,119.0,160.0,male,1.0,primary
15,0,went,6,10,1091,1095,7,3.0,5.0,1088.0,1090.0,,,,,verb.motion,18,subject,Per Gynt,41.0,119.0,160.0,male,1.0,primary
15,2,come,57,61,1142,1146,7,50.0,51.0,1135.0,1136.0,,,,,verb.motion,19,subject,Per Gynt,41.0,119.0,160.0,male,1.0,primary
15,3,thought,81,88,1166,1173,7,0.0,78.0,1085.0,1163.0,,,,,verb.cognition,21,subject,Per Gynt,41.0,119.0,160.0,male,1.0,primary
16,1,struck,26,32,1204,1210,7,17.0,19.0,1195.0,1197.0,,,,,verb.contact,20,subject,Per Gynt,41.0,119.0,160.0,male,1.0,primary
16,2,felt,64,68,1242,1246,7,61.0,63.0,1239.0,1241.0,,,,,verb.cognition,22,subject,Per Gynt,41.0,119.0,160.0,male,1.0,primary
20,3,let,60,63,1445,1448,7,43.0,46.0,1428.0,1431.0,,,,,verb.social,24,subject,Per Gynt,41.0,119.0,160.0,male,1.0,primary
20,4,pass,67,71,1452,1456,7,64.0,66.0,1449.0,1451.0,,,,,verb.motion,25,subject,Per Gynt,41.0,119.0,160.0,male,1.0,primary
20,5,said,74,78,1459,1463,7,1.0,71.0,1386.0,1456.0,,,,,verb.communication,28,subject,Per Gynt,41.0,119.0,160.0,male,1.0,primary
21,0,noticed,3,10,1477,1484,7,0.0,2.0,1474.0,1476.0,,,,,verb.perception,27,subject,Per Gynt,41.0,119.0,160.0,male,1.0,primary
21,4,coiled,78,84,1552,1558,98,58.0,73.0,1532.0,1547.0,,,,,verb.motion,26,subject,the crooked one,5.0,1.0,6.0,unknown,0.0,tertiary
22,0,moved,31,36,1628,1633,98,15.0,30.0,1612.0,1627.0,59.0,102.0,1656.0,1699.0,verb.motion,29,subject,the crooked one,5.0,1.0,6.0,unknown,0.0,tertiary
23,0,entered,8,15,1709,1716,7,5.0,7.0,1706.0,1708.0,,,,,verb.motion,30,subject,Per Gynt,41.0,119.0,160.0,male,1.0,primary
23,1,found,19,24,1720,1725,7,16.0,18.0,1717.0,1719.0,28.0,30.0,1729.0,1731.0,verb.perception,31,subject,Per Gynt,41.0,119.0,160.0,male,1.0,primary
24,0,stumbled,3,11,1762,1770,7,0.0,2.0,1759.0,1761.0,,,,,verb.motion,32,subject,Per Gynt,41.0,119.0,160.0,male,1.0,primary
24,1,felt,16,20,1775,1779,7,0.0,2.0,1759.0,1761.0,29.0,44.0,1788.0,1803.0,verb.perception,33,subject,Per Gynt,41.0,119.0,160.0,male,1.0,primary
25,0,wanted,3,9,1808,1814,7,0.0,2.0,1805.0,1807.0,,,,,verb.emotion,34,subject,Per Gynt,41.0,119.0,160.0,male,1.0,primary
26,1,feeling,17,24,1879,1886,7,10.0,12.0,1872.0,1874.0,,,,,verb.perception,35,subject,Per Gynt,41.0,119.0,160.0,male,1.0,primary
26,2,noticed,53,60,1915,1922,7,40.0,42.0,1902.0,1904.0,,,,,verb.perception,36,subject,Per Gynt,41.0,119.0,160.0,male,1.0,primary
30,1,set,45,48,2098,2101,7,42.0,44.0,2095.0,2097.0,,,,,verb.contact,38,subject,Per Gynt,41.0,119.0,160.0,male,1.0,primary
30,3,feel,68,72,2121,2125,7,59.0,61.0,2112.0,2114.0,,,,,verb.perception,39,subject,Per Gynt,41.0,119.0,160.0,male,1.0,primary
32,1,put,12,15,2280,2283,7,0.0,1.0,2268.0,2269.0,,,,,verb.contact,42,subject,Per Gynt,41.0,119.0,160.0,male,1.0,primary
33,0,took,3,7,2313,2317,7,0.0,2.0,2310.0,2312.0,,,,,verb.contact,41,subject,Per Gynt,41.0,119.0,160.0,male,1.0,primary
33,2,felt,42,46,2352,2356,7,0.0,2.0,2310.0,2312.0,77.0,102.0,2387.0,2412.0,verb.perception,43,subject,Per Gynt,41.0,119.0,160.0,male,1.0,primary
33,3,came,86,90,2396,2400,7,83.0,85.0,2393.0,2395.0,,,,,verb.motion,44,subject,Per Gynt,41.0,119.0,160.0,male,1.0,primary
35,0,asked,3,8,2453,2458,7,0.0,2.0,2450.0,2452.0,,,,,verb.communication,45,subject,Per Gynt,41.0,119.0,160.0,male,1.0,primary
36,1,said,42,46,2502,2506,102,1.0,39.0,2461.0,2499.0,,,,,verb.communication,46,subject,the big crooked one of Etnedal,1.0,0.0,1.0,unknown,0.0,tertiary
36,1,said,42,46,2502,2506,33,1.0,39.0,2461.0,2499.0,,,,,verb.communication,46,subject,the monster troll,1.0,2.0,3.0,unknown,0.0,tertiary
37,1,waste,22,27,2548,2553,7,5.0,13.0,2531.0,2539.0,,,,,verb.consumption,47,subject,Per Gynt,41.0,119.0,160.0,male,1.0,primary
37,2,shot,42,46,2568,2572,7,5.0,13.0,2531.0,2539.0,61.0,97.0,2587.0,2623.0,verb.competition,48,subject,Per Gynt,41.0,119.0,160.0,male,1.0,primary
40,0,knew,13,17,2676,2680,7,4.0,12.0,2667.0,2675.0,,,,,verb.cognition,51,subject,Per Gynt,41.0,119.0,160.0,male,1.0,primary
40,2,shot,37,41,2700,2704,7,34.0,36.0,2697.0,2699.0,,,,,verb.competition,50,subject,Per Gynt,41.0,119.0,160.0,male,1.0,primary
41,4,dragged,81,88,2845,2852,35,25.0,46.0,2789.0,2810.0,109.0,161.0,2873.0,2925.0,verb.contact,53,subject,Per Gynt's dogs,1.0,2.0,3.0,group/nonbinary,1.0,tertiary
41,4,dragged,81,88,2845,2852,7,25.0,46.0,2789.0,2810.0,109.0,161.0,2873.0,2925.0,verb.contact,53,subject,Per Gynt,41.0,119.0,160.0,male,1.0,primary
