sentence_id,event_id,event,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,coref_id,arg_start_byte_sentence,arg_end_byte_sentence,arg_start_byte_text,arg_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,major_event,temporal_rank,argument,name,name_mentions,pronoun_mentions,total_mentions,gender,gender_certainty,importance
1,1,shot,46,50,118,122,18,43.0,45.0,115.0,117.0,,,,,verb.competition,True,0,subject,a marksman,1.0,2.0,3.0,male,1.0,tertiary
3,3,decided,109,116,336,343,7,100.0,108.0,327.0,335.0,,,,,verb.cognition,True,2,subject,Per Gynt,41.0,119.0,160.0,male,1.0,primary
4,1,left,71,75,444,448,23,41.0,58.0,414.0,431.0,,,,,verb.motion,True,1,subject,all the herd - folk,1.0,0.0,1.0,unknown,0.0,tertiary
5,0,reached,18,25,482,489,7,9.0,17.0,473.0,481.0,,,,,verb.motion,True,3,subject,Per Gynt,41.0,119.0,160.0,male,1.0,primary
6,2,felt,49,53,680,684,7,46.0,48.0,677.0,679.0,,,,,verb.emotion,True,4,subject,Per Gynt,41.0,119.0,160.0,male,1.0,primary
7,0,struck,22,28,721,727,7,13.0,21.0,712.0,720.0,,,,,verb.contact,True,6,subject,Per Gynt,41.0,119.0,160.0,male,1.0,primary
9,0,felt,9,13,810,814,7,6.0,8.0,807.0,809.0,,,,,verb.cognition,True,5,subject,Per Gynt,41.0,119.0,160.0,male,1.0,primary
10,0,sensed,8,14,895,901,7,5.0,7.0,892.0,894.0,,,,,verb.cognition,True,8,subject,Per Gynt,41.0,119.0,160.0,male,1.0,primary
12,1,noticed,23,30,971,978,7,20.0,22.0,968.0,970.0,,,,,verb.perception,True,7,subject,Per Gynt,41.0,119.0,160.0,male,1.0,primary
14,0,knew,17,21,1054,1058,7,8.0,16.0,1045.0,1053.0,,,,,verb.cognition,True,9,subject,Per Gynt,41.0,119.0,160.0,male,1.0,primary
15,0,went,6,10,1091,1095,7,3.0,5.0,1088.0,1090.0,,,,,verb.motion,True,10,subject,Per Gynt,41.0,119.0,160.0,male,1.0,primary
16,2,felt,64,68,1242,1246,7,61.0,63.0,1239.0,1241.0,,,,,verb.cognition,True,11,subject,Per Gynt,41.0,119.0,160.0,male,1.0,primary
20,5,said,74,78,1459,1463,7,1.0,71.0,1386.0,1456.0,,,,,verb.communication,True,14,subject,Per Gynt,41.0,119.0,160.0,male,1.0,primary
21,4,coiled,78,84,1552,1558,98,58.0,73.0,1532.0,1547.0,,,,,verb.motion,True,13,subject,the crooked one,5.0,1.0,6.0,unknown,0.0,tertiary
22,0,moved,31,36,1628,1633,98,15.0,30.0,1612.0,1627.0,59.0,102.0,1656.0,1699.0,verb.motion,True,15,subject,the crooked one,5.0,1.0,6.0,unknown,0.0,tertiary
23,0,entered,8,15,1709,1716,7,5.0,7.0,1706.0,1708.0,,,,,verb.motion,True,16,subject,Per Gynt,41.0,119.0,160.0,male,1.0,primary
24,1,felt,16,20,1775,1779,7,0.0,2.0,1759.0,1761.0,29.0,44.0,1788.0,1803.0,verb.perception,True,17,subject,Per Gynt,41.0,119.0,160.0,male,1.0,primary
