sentence_id,event_id,temporal_rank
1,1,0
4,1,1
3,3,2
5,0,3
6,2,4
9,0,5
7,0,6
12,1,7
10,0,8
14,0,9
15,0,10
16,2,11
18,0,12
21,4,13
20,5,14
22,0,15
23,0,16
24,1,17
25,0,18
26,2,19
28,0,20
30,3,21
31,2,22
33,0,23
32,1,24
35,0,25
36,1,26
37,2,27
40,2,28
39,0,29
43,0,30
41,6,31
46,2,32
47,0,33
48,3,34
49,0,35
52,1,36
50,1,37
53,1,38
54,0,39
56,0,40
55,3,41
57,0,42
61,1,43
58,0,44
62,2,45
63,0,46
64,0,47
65,1,48
66,4,49
67,1,50
71,1,51
70,0,52
72,1,53
73,1,54
74,0,55
78,1,56
77,1,57
79,3,58
80,1,59
81,0,60
83,2,61
84,1,62
85,0,63
88,1,64
89,0,65
90,6,66
91,1,67
92,1,68
93,0,69
95,1,70
94,1,71
97,1,72
96,0,73
98,4,74
101,2,75
102,0,76
103,0,77
104,2,78
105,1,79
106,1,80
107,0,81
108,1,82
109,0,83
110,1,84
111,3,85
112,2,86
113,2,87
114,0,88
115,2,89
116,2,90
117,0,91
118,2,92
119,0,93
120,0,94
122,1,95
123,0,96
124,1,97
