coref_id,character_name,character_token,sentence_id,start_byte_in_sentence,end_byte_in_sentence,overlap
3,a king who was deeply in love with a princess,a king who was deeply in love with a princess,0,29,74,0
4,a princess,a princess,83,20,30,0
4,a princess,a princess,0,64,74,1
4,a princess,she,0,116,119,0
4,a princess,she,0,80,83,0
6,the king,he,6,45,47,0
6,the king,the King,12,7,15,0
6,the king,he,4,68,70,0
6,the king,my,13,4,6,1
6,the king,him,2,18,21,0
6,the king,he,13,42,44,0
6,the king,himself,13,53,60,0
6,the king,his,5,124,127,0
6,the king,You,2,24,27,0
6,the king,he,15,36,38,0
6,the king,him,5,111,114,0
6,the king,him,15,144,147,0
6,the king,the King,16,56,64,0
6,the king,The King,38,0,8,0
6,the king,his,38,27,30,0
6,the king,The King,4,0,8,0
6,the king,The King,6,0,8,0
6,the king,himself,4,17,24,0
6,the king,you,11,224,227,0
6,the king,you,11,209,212,0
6,the king,he,12,54,56,0
6,the king,you,11,145,148,0
6,the king,his,6,67,70,0
6,the king,he,6,118,120,0
6,the king,the King,7,39,47,0
6,the king,he,8,18,20,0
6,the king,his,8,77,80,0
6,the king,you,11,150,153,0
6,the king,his,9,42,45,0
6,the king,the King,10,112,120,0
6,the king,You,10,129,132,0
6,the king,the King,9,3,11,0
6,the king,you,10,166,169,0
6,the king,he,1,52,54,0
6,the king,you,11,99,102,0
6,the king,the King,1,3,11,0
6,the king,he,5,44,46,0
6,the king,You,11,0,3,0
7,a fairy,a fairy,1,28,35,0
8,the princess,she,2,73,76,0
8,the princess,she,3,64,67,1
8,the princess,the Princess,39,49,61,0
8,the princess,her,39,94,97,0
8,the princess,the Princess,2,38,50,0
8,the princess,her,39,287,290,0
8,the princess,her,40,129,132,0
8,the princess,The Princess,33,0,12,0
8,the princess,the Princess,119,18,30,0
8,the princess,her,119,104,107,0
8,the princess,the Princess,1,71,83,0
8,the princess,her,33,91,94,0
8,the princess,hers,33,302,306,0
8,the princess,her,39,125,128,0
8,the princess,the Princess,15,97,109,0
8,the princess,the Princess,10,145,157,0
8,the princess,the Princess,5,59,71,0
9,the fairy,the Fairy,44,15,24,0
9,the fairy,the Fairy,95,79,88,0
9,the fairy,the Fairy,63,30,39,0
9,the fairy,My,95,96,98,1
9,the fairy,my,67,29,31,1
9,the fairy,I,60,0,1,0
9,the fairy,I,95,118,119,0
9,the fairy,I,60,65,66,0
9,the fairy,I,66,86,87,0
9,the fairy,I,66,69,70,0
9,the fairy,I,95,199,200,0
9,the fairy,I,95,224,225,0
9,the fairy,my,95,234,236,0
9,the fairy,I,66,53,54,0
9,the fairy,myself,65,148,154,0
9,the fairy,I,65,121,122,0
9,the fairy,my,65,88,90,0
9,the fairy,the Fairy,94,70,79,0
9,the fairy,the Fairy,93,123,132,1
9,the fairy,I,58,66,67,0
9,the fairy,me,58,22,24,0
9,the fairy,I,65,73,74,0
9,the fairy,the Fairy,45,52,61,0
9,the fairy,The Fairy,76,0,9,0
9,the fairy,her,76,75,78,1
9,the fairy,you,46,20,23,0
9,the fairy,my,47,10,12,0
9,the fairy,the Fairy,47,26,35,0
9,the fairy,my,48,69,71,1
9,the fairy,your,45,17,21,0
9,the fairy,I,49,0,1,0
9,the fairy,I,73,0,1,0
9,the fairy,the Fairy,54,35,44,0
9,the fairy,the Fairy,72,21,30,0
9,the fairy,I,57,0,1,0
9,the fairy,I,57,23,24,0
9,the fairy,My,69,0,2,1
9,the fairy,I,68,34,35,0
9,the fairy,I,68,24,25,0
9,the fairy,my,49,38,40,1
9,the fairy,the Fairy,74,70,79,0
9,the fairy,I,99,84,85,0
9,the fairy,I,64,2,3,0
9,the fairy,The Fairy,2,0,9,0
9,the fairy,the Fairy,4,76,85,0
9,the fairy,I,99,5,6,0
9,the fairy,the Fairy,115,59,68,0
9,the fairy,I,113,0,1,0
9,the fairy,I,112,68,69,0
9,the fairy,me,112,64,66,0
9,the fairy,I,112,16,17,0
9,the fairy,I,111,18,19,0
9,the fairy,I,110,86,87,0
9,the fairy,I,110,68,69,0
9,the fairy,the Fairy,110,52,61,0
9,the fairy,I,65,19,20,0
9,the fairy,me,110,24,26,0
9,the fairy,my,110,28,30,1
9,the fairy,me,103,5,7,0
9,the fairy,I,105,0,1,0
9,the fairy,my,102,3,5,0
9,the fairy,me,100,5,7,0
131,Whoever is clever enough to tread on that cat,Whoever is clever enough to tread on that cat,3,0,45,0
132,the man she is destined to marry,the man she is destined to marry,3,56,88,0
17,a tall man,his,10,92,95,0
17,a tall man,I,10,215,216,0
17,a tall man,my,10,227,229,0
17,a tall man,I,11,125,126,0
17,a tall man,a tall man,10,68,78,0
134,a son,a son,11,15,20,0
134,a son,he,11,52,54,0
134,a son,his,11,70,73,0
20,the enchanter,the enchanter,12,39,52,0
20,the enchanter,the enchanter,15,8,21,0
137,my son,my son,13,4,10,0
137,my son,he,13,63,65,0
137,my son,he,14,14,16,0
25,the queen,her,21,151,154,0
25,the queen,her,21,72,75,0
25,the queen,her,21,30,33,1
25,the queen,The Queen,21,0,9,0
25,the queen,The Queen,19,0,9,0
25,the queen,her,19,61,64,1
25,the queen,she,19,32,35,0
25,the queen,her,16,118,121,1
25,the queen,the Queen,67,18,27,0
25,the queen,her,19,80,83,0
25,the queen,the Queen,16,75,84,0
25,the queen,she,21,86,89,0
25,the queen,the Queen,24,128,137,0
25,the queen,she,30,99,102,0
25,the queen,the Queen,30,39,48,0
26,her little son,her little son,16,118,132,0
0,Hyacinth/Prince Hyacinth/Poor Prince Hyacinth/Prince,Prince Hyacinth,32,5,20,0
0,Hyacinth/Prince Hyacinth/Poor Prince Hyacinth/Prince,Hyacinth,16,149,157,0
0,Hyacinth/Prince Hyacinth/Poor Prince Hyacinth/Prince,Prince Hyacinth,45,33,48,0
0,Hyacinth/Prince Hyacinth/Poor Prince Hyacinth/Prince,Hyacinth,21,100,108,0
0,Hyacinth/Prince Hyacinth/Poor Prince Hyacinth/Prince,his,21,116,119,0
0,Hyacinth/Prince Hyacinth/Poor Prince Hyacinth/Prince,Prince Hyacinth,43,37,52,0
0,Hyacinth/Prince Hyacinth/Poor Prince Hyacinth/Prince,his,39,30,33,0
0,Hyacinth/Prince Hyacinth/Poor Prince Hyacinth/Prince,Prince Hyacinth,130,0,15,0
0,Hyacinth/Prince Hyacinth/Poor Prince Hyacinth/Prince,he,130,98,100,0
0,Hyacinth/Prince Hyacinth/Poor Prince Hyacinth/Prince,Prince Hyacinth,39,5,20,0
0,Hyacinth/Prince Hyacinth/Poor Prince Hyacinth/Prince,he,32,75,77,0
0,Hyacinth/Prince Hyacinth/Poor Prince Hyacinth/Prince,him,37,16,19,0
0,Hyacinth/Prince Hyacinth/Poor Prince Hyacinth/Prince,he,36,5,7,0
0,Hyacinth/Prince Hyacinth/Poor Prince Hyacinth/Prince,Prince,95,104,110,1
0,Hyacinth/Prince Hyacinth/Poor Prince Hyacinth/Prince,you,95,124,127,0
0,Hyacinth/Prince Hyacinth/Poor Prince Hyacinth/Prince,your,95,164,168,0
0,Hyacinth/Prince Hyacinth/Poor Prince Hyacinth/Prince,you,104,17,20,0
0,Hyacinth/Prince Hyacinth/Poor Prince Hyacinth/Prince,he,33,19,21,0
0,Hyacinth/Prince Hyacinth/Poor Prince Hyacinth/Prince,your,98,20,24,1
0,Hyacinth/Prince Hyacinth/Poor Prince Hyacinth/Prince,Poor Prince Hyacinth,92,0,20,0
0,Hyacinth/Prince Hyacinth/Poor Prince Hyacinth/Prince,He,131,0,2,0
27,The little Prince,The little Prince,17,0,17,0
27,The little Prince,his,18,46,49,0
27,The little Prince,his,18,0,3,0
30,her ladies,her ladies,19,61,71,0
30,her ladies,they,23,33,37,0
30,her ladies,they,21,62,66,0
32,every hero,every hero,20,76,86,0
34,her baby,her baby,21,30,38,0
35,the prince,Your,69,14,18,1
35,the prince,I,69,27,28,0
35,the prince,you,113,30,33,0
35,the prince,my,106,73,75,0
35,the prince,you,72,37,40,0
35,the prince,I,91,23,24,0
35,the prince,I,73,39,40,0
35,the prince,I,73,80,81,0
35,the prince,my,91,7,9,0
35,the prince,the Prince,70,12,22,0
35,the prince,you,110,107,110,0
35,the prince,you,68,11,14,0
35,the prince,the Prince,73,116,126,0
35,the prince,his,95,46,49,0
35,the prince,you,65,58,61,0
35,the prince,he,95,9,11,0
35,the prince,you,65,84,87,0
35,the prince,you,110,5,8,0
35,the prince,the Prince,94,5,15,0
35,the prince,you,110,77,80,0
35,the prince,him,93,110,113,0
35,the prince,You,127,0,3,0
35,the prince,you,126,98,101,0
35,the prince,you,126,78,81,0
35,the prince,I,108,0,1,0
