sentence_id,event_id,event,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,coref_id,arg_start_byte_sentence,arg_end_byte_sentence,arg_start_byte_text,arg_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,major_event,temporal_rank,argument,name,name_mentions,pronoun_mentions,total_mentions,gender,gender_certainty,importance
0,2,knew,76,80,76,80,3,73.0,75.0,73.0,75.0,,,,,verb.cognition,True,0,subject,a king who took such a joy in the chase,1.0,8.0,9.0,male,1.0,tertiary
2,4,tried,68,73,301,306,3,61.0,63.0,294.0,296.0,,,,,verb.social,True,2,subject,a king who took such a joy in the chase,1.0,8.0,9.0,male,1.0,tertiary
3,4,saw,72,75,413,416,3,69.0,71.0,410.0,412.0,,,,,verb.perception,True,3,subject,a king who took such a joy in the chase,1.0,8.0,9.0,male,1.0,tertiary
4,2,seized,61,67,537,543,9,0.0,8.0,476.0,484.0,,,,,verb.contact,True,4,subject,the king,34.0,53.0,87.0,male,1.0,primary
6,2,return,50,56,728,734,9,41.0,43.0,719.0,721.0,,,,,verb.possession,True,5,subject,the king,34.0,53.0,87.0,male,1.0,primary
7,4,guard,144,149,932,937,9,107.0,117.0,895.0,905.0,154.0,178.0,942.0,966.0,verb.social,True,6,subject,the king,34.0,53.0,87.0,male,1.0,primary
7,4,guard,144,149,932,937,14,107.0,117.0,895.0,905.0,154.0,178.0,942.0,966.0,verb.social,True,6,subject,the king's people,2.0,1.0,3.0,group/nonbinary,1.0,tertiary
9,0,said,15,19,1008,1012,9,4.0,14.0,997.0,1007.0,,,,,verb.communication,True,8,subject,the king,34.0,53.0,87.0,male,1.0,primary
9,0,said,15,19,1008,1012,14,4.0,14.0,997.0,1007.0,,,,,verb.communication,True,8,subject,the king's people,2.0,1.0,3.0,group/nonbinary,1.0,tertiary
10,1,guard,16,21,1173,1178,9,0.0,8.0,1157.0,1165.0,26.0,52.0,1183.0,1209.0,verb.competition,True,7,subject,the king,34.0,53.0,87.0,male,1.0,primary
12,2,said,38,42,1302,1306,9,35.0,37.0,1299.0,1301.0,51.0,66.0,1315.0,1330.0,verb.communication,True,9,subject,the king,34.0,53.0,87.0,male,1.0,primary
13,4,escape,60,66,1392,1398,15,47.0,59.0,1379.0,1391.0,,,,,verb.motion,True,10,subject,the wild man,27.0,51.0,78.0,male,1.0,primary
14,0,vow,6,9,1436,1439,9,4.0,5.0,1434.0,1435.0,,,,,verb.communication,True,11,subject,the king,34.0,53.0,87.0,male,1.0,primary
15,0,awoke,43,48,1565,1570,9,34.0,42.0,1556.0,1564.0,,,,,verb.body,True,12,subject,the king,34.0,53.0,87.0,male,1.0,primary
16,0,sent,11,15,1606,1610,9,0.0,2.0,1595.0,1597.0,,,,,verb.motion,True,13,subject,the king,34.0,53.0,87.0,male,1.0,primary
19,3,led,56,59,1950,1953,15,43.0,55.0,1937.0,1949.0,,,,,verb.motion,True,14,subject,the wild man,27.0,51.0,78.0,male,1.0,primary
20,2,came,69,73,2092,2096,29,58.0,68.0,2081.0,2091.0,,,,,verb.motion,True,15,subject,the people,10.0,2.0,12.0,group/nonbinary,1.0,tertiary
23,2,take,54,58,2293,2297,9,38.0,46.0,2277.0,2285.0,,,,,verb.possession,True,17,subject,the king,34.0,53.0,87.0,male,1.0,primary
24,4,leave,83,88,2392,2397,9,81.0,82.0,2390.0,2391.0,,,,,verb.possession,True,18,subject,the king,34.0,53.0,87.0,male,1.0,primary
25,6,guard,70,75,2498,2503,34,61.0,64.0,2489.0,2492.0,89.0,140.0,2517.0,2568.0,verb.competition,True,19,subject,the queen,7.0,10.0,17.0,female,1.0,tertiary
26,0,promised,10,18,2581,2589,34,0.0,9.0,2571.0,2580.0,,,,,verb.communication,True,20,subject,the queen,7.0,10.0,17.0,female,1.0,tertiary
28,0,had,19,22,2832,2835,9,0.0,18.0,2813.0,2831.0,,,,,verb.possession,True,21,subject,the king,34.0,53.0,87.0,male,1.0,primary
28,0,had,19,22,2832,2835,42,0.0,18.0,2813.0,2831.0,,,,,verb.possession,True,21,subject,queen,1.0,0.0,1.0,female,1.0,tertiary
30,4,wandering,74,83,2978,2987,45,52.0,69.0,2956.0,2973.0,,,,,verb.motion,True,23,subject,the little fellow,4.0,14.0,18.0,male,1.0,tertiary
31,1,play,16,20,3064,3068,45,4.0,6.0,3052.0,3054.0,,,,,verb.competition,True,24,subject,the little fellow,4.0,14.0,18.0,male,1.0,tertiary
32,1,playing,17,24,3116,3123,45,10.0,12.0,3109.0,3111.0,,,,,verb.creation,True,25,subject,the little fellow,4.0,14.0,18.0,male,1.0,tertiary
33,0,appeared,21,29,3239,3247,15,0.0,12.0,3218.0,3230.0,,,,,verb.change,True,26,subject,the wild man,27.0,51.0,78.0,male,1.0,primary
34,1,threw,50,55,3324,3329,45,47.0,49.0,3321.0,3323.0,69.0,74.0,3343.0,3348.0,verb.contact,True,27,subject,the little fellow,4.0,14.0,18.0,male,1.0,tertiary
35,3,kept,92,96,3517,3521,15,79.0,91.0,3504.0,3516.0,,,,,verb.possession,True,28,subject,the wild man,27.0,51.0,78.0,male,1.0,primary
36,2,weep,94,98,3669,3673,45,59.0,76.0,3634.0,3651.0,,,,,verb.body,True,29,subject,the little fellow,4.0,14.0,18.0,male,1.0,tertiary
37,5,let,120,123,3795,3798,45,116.0,119.0,3791.0,3794.0,,,,,verb.social,True,30,subject,the little fellow,4.0,14.0,18.0,male,1.0,tertiary
38,2,let,43,46,3851,3854,45,41.0,42.0,3849.0,3850.0,51.0,54.0,3859.0,3862.0,verb.social,True,31,subject,the little fellow,4.0,14.0,18.0,male,1.0,tertiary
39,0,give,9,13,3873,3877,15,5.0,8.0,3869.0,3872.0,31.0,54.0,3895.0,3918.0,verb.possession,True,32,subject,the wild man,27.0,51.0,78.0,male,1.0,primary
40,3,tell,48,52,3969,3973,15,37.0,41.0,3958.0,3962.0,,,,,verb.communication,True,33,subject,the wild man,27.0,51.0,78.0,male,1.0,primary
41,2,comb,48,52,4027,4031,34,41.0,44.0,4020.0,4023.0,,,,,verb.contact,True,34,subject,the queen,7.0,10.0,17.0,female,1.0,tertiary
42,3,unlock,72,78,4115,4121,60,20.0,23.0,4063.0,4066.0,,,,,verb.contact,True,35,subject,the boy,3.0,11.0,14.0,male,1.0,tertiary
43,1,return,19,25,4151,4157,60,11.0,14.0,4143.0,4146.0,34.0,92.0,4166.0,4224.0,verb.possession,True,37,subject,the boy,3.0,11.0,14.0,male,1.0,tertiary
44,7,took,137,141,4364,4368,15,54.0,56.0,4281.0,4283.0,,,,,verb.possession,True,36,subject,the wild man,27.0,51.0,78.0,male,1.0,primary
45,1,opened,33,39,4427,4433,15,5.0,7.0,4399.0,4401.0,,,,,verb.contact,True,39,subject,the wild man,27.0,51.0,78.0,male,1.0,primary
46,3,promised,74,82,4518,4526,10,72.0,73.0,4516.0,4517.0,,,,,verb.communication,True,38,subject,the dwarf,3.0,12.0,15.0,male,1.0,tertiary
47,2,help,50,54,4635,4639,10,43.0,44.0,4628.0,4629.0,,,,,verb.social,True,40,subject,the dwarf,3.0,12.0,15.0,male,1.0,tertiary
49,1,returned,44,52,4739,4747,65,4.0,14.0,4699.0,4709.0,61.0,92.0,4756.0,4787.0,verb.possession,True,41,subject,The prince,18.0,86.0,104.0,male,1.0,primary
50,4,sent,113,117,4902,4906,34,103.0,112.0,4892.0,4901.0,144.0,159.0,4933.0,4948.0,verb.motion,True,42,subject,the queen,7.0,10.0,17.0,female,1.0,tertiary
51,2,stayed,23,29,4973,4979,15,20.0,22.0,4970.0,4972.0,,,,,verb.change,True,43,subject,the wild man,27.0,51.0,78.0,male,1.0,primary
52,1,grew,44,48,5030,5034,34,34.0,43.0,5020.0,5029.0,,,,,verb.change,True,44,subject,the queen,7.0,10.0,17.0,female,1.0,tertiary
53,1,return,33,39,5090,5096,74,18.0,29.0,5075.0,5086.0,,,,,verb.motion,True,46,subject,the queen's husband,1.0,3.0,4.0,male,1.0,tertiary
53,1,return,33,39,5090,5096,34,18.0,29.0,5075.0,5086.0,,,,,verb.motion,True,46,subject,the queen,7.0,10.0,17.0,female,1.0,tertiary
54,6,guarded,86,93,5194,5201,15,59.0,71.0,5167.0,5179.0,,,,,verb.social,True,45,subject,the wild man,27.0,51.0,78.0,male,1.0,primary
55,3,told,53,57,5256,5260,34,5.0,14.0,5208.0,5217.0,,,,,verb.communication,True,47,subject,the queen,7.0,10.0,17.0,female,1.0,tertiary
56,4,punish,59,65,5353,5359,9,50.0,52.0,5344.0,5346.0,82.0,107.0,5376.0,5401.0,verb.social,True,50,subject,the king,34.0,53.0,87.0,male,1.0,primary
57,0,ordered,7,14,5410,5417,9,4.0,6.0,5407.0,5409.0,37.0,49.0,5440.0,5452.0,verb.communication,True,49,subject,the king,34.0,53.0,87.0,male,1.0,primary
60,4,deserved,61,69,5637,5645,82,54.0,55.0,5630.0,5631.0,,,,,verb.emotion,True,48,subject,the little prince,2.0,7.0,9.0,male,1.0,tertiary
61,1,hide,14,18,5678,5682,82,5.0,6.0,5669.0,5670.0,,,,,verb.perception,True,51,subject,the little prince,2.0,7.0,9.0,male,1.0,tertiary
63,0,turned,15,21,5738,5744,34,5.0,14.0,5728.0,5737.0,,,,,verb.change,True,52,subject,the queen,7.0,10.0,17.0,female,1.0,tertiary
65,1,die,13,16,5970,5973,60,4.0,7.0,5961.0,5964.0,,,,,verb.change,True,54,subject,the boy,3.0,11.0,14.0,male,1.0,tertiary
66,0,gave,17,21,6021,6025,9,14.0,16.0,6018.0,6020.0,,,,,verb.possession,True,56,subject,the king,34.0,53.0,87.0,male,1.0,primary
