sentence_id,event_id,temporal_rank
0,2,0
1,1,1
2,4,2
3,4,3
4,2,4
6,2,5
7,4,6
10,1,7
9,0,8
12,2,9
13,4,10
14,0,11
15,0,12
16,0,13
19,3,14
20,2,15
21,0,16
23,2,17
24,4,18
25,6,19
26,0,20
28,0,21
27,2,22
30,4,23
31,1,24
32,1,25
33,0,26
34,1,27
35,3,28
36,2,29
37,5,30
38,2,31
39,0,32
40,3,33
41,2,34
42,3,35
44,7,36
43,1,37
46,3,38
45,1,39
47,2,40
49,1,41
50,4,42
51,2,43
52,1,44
54,6,45
53,1,46
55,3,47
60,4,48
57,0,49
56,4,50
61,1,51
63,0,52
64,3,53
65,1,54
67,4,55
66,0,56
68,1,57
69,2,58
71,3,59
70,4,60
72,0,61
73,0,62
74,4,63
75,0,64
76,2,65
77,0,66
78,1,67
79,1,68
80,2,69
81,2,70
82,2,71
83,0,72
84,3,73
85,6,74
88,2,75
86,3,76
90,1,77
89,5,78
91,1,79
92,2,80
94,7,81
93,0,82
95,2,83
96,5,84
97,3,85
98,3,86
100,0,87
101,0,88
102,3,89
104,1,90
103,0,91
105,0,92
107,0,93
109,2,94
108,0,95
111,0,96
110,4,97
112,1,98
113,4,99
114,3,100
116,3,101
115,1,102
117,2,103
119,3,104
118,0,105
120,0,106
121,3,107
123,1,108
122,1,109
124,3,110
125,1,111
126,2,112
127,0,113
129,2,114
128,1,115
131,1,116
130,2,117
132,0,118
133,3,119
138,3,120
137,2,121
139,0,122
140,5,123
141,0,124
143,0,125
144,0,126
147,0,127
145,2,128
148,1,129
149,0,130
153,2,131
155,3,132
154,0,133
156,0,134
157,3,135
158,2,136
159,1,137
160,4,138
161,1,139
162,4,140
163,0,141
164,5,142
165,4,143
166,1,144
167,1,145
168,0,146
169,1,147
171,0,148
173,3,149
172,2,150
174,0,151
176,1,152
175,4,153
177,0,154
178,2,155
179,2,156
180,4,157
182,1,158
187,2,159
188,0,160
191,7,161
193,3,162
195,1,163
194,0,164
196,1,165
197,1,166
198,0,167
202,0,168
200,11,169
203,0,170
204,1,171
205,1,172
206,2,173
209,4,174
208,1,175
210,1,176
212,2,177
211,0,178
213,0,179
214,4,180
215,0,181
217,0,182
218,0,183
219,2,184
223,0,185
221,0,186
224,1,187
225,4,188
