clustered_names,coref_idx,name_mentions,pronoun_mentions,total,easy_name,gender,gender_certainty,importance
the lecturer,28,4,14,18,the lecturer,male,1.0,primary
an elderly man,5,1,15,16,an elderly man,male,1.0,primary
the Polytechnic lecturer,42,3,6,9,the Polytechnic lecturer,male,1.0,secondary
The dancing lady,78,1,6,7,The dancing lady,female,1.0,secondary
the Polytechnic professor/The Polytechnic professor,96,3,2,5,the Polytechnic professor,male,1.0,secondary
The man whose duty it was to deliver a letter,84,1,3,4,The man whose duty it was to deliver a letter,male,1.0,tertiary
The puppets,74,1,3,4,The puppets,group/nonbinary,1.0,tertiary
The puppets--their director,127,4,0,4,The puppets's director,unknown,0.0,tertiary
people,48,1,3,4,people,group/nonbinary,1.0,tertiary
"a person in black , of student - like appearance",18,1,3,4,"a person in black , of student - like appearance",male,1.0,tertiary
the public,27,2,1,3,the public,group/nonbinary,1.0,tertiary
"an actor , who , when he had to act the part of a lover--an actor , who , when he had to act the part of a lover",38,1,2,3,"an actor , who , when he had to act the part of a lover's actor , who , when he had to act the part of a lover",male,1.0,tertiary
the youngsters,115,1,2,3,the youngsters,group/nonbinary,1.0,tertiary
a member of the Polytechnic Institution,11,2,0,2,a member of the Polytechnic Institution,unknown,0.0,tertiary
my she,43,1,1,2,my she,female,1.0,tertiary
the whole company,73,2,0,2,the whole company,unknown,0.0,tertiary
men,31,2,0,2,men,male,1.0,tertiary
the gods,65,1,1,2,the gods,group/nonbinary,1.0,tertiary
such a man,34,1,1,2,such a man,male,1.0,tertiary
the sages of the land,35,1,1,2,the sages of the land,group/nonbinary,1.0,tertiary
one particular lady in the audience,40,1,1,2,one particular lady in the audience,female,1.0,tertiary
The ' prima donna,128,1,0,1,The ' prima donna,unknown,0.0,tertiary
The hero of the piece,86,1,0,1,The hero of the piece,unknown,0.0,tertiary
first lover in the piece,85,1,0,1,first lover in the piece,unknown,0.0,tertiary
the owner of a travelling theatre,8,1,0,1,the owner of a travelling theatre,unknown,0.0,tertiary
the queen,82,1,0,1,the queen,female,1.0,tertiary
a queen off the stage,83,1,0,1,a queen off the stage,female,1.0,tertiary
a man,91,1,0,1,a man,male,1.0,tertiary
The lady who acted the part of the queen,81,1,0,1,The lady who acted the part of the queen,female,1.0,tertiary
a great genius,80,1,0,1,a great genius,unknown,0.0,tertiary
the proprietor of a puppet - show,10,1,0,1,the proprietor of a puppet - show,unknown,0.0,tertiary
distinguished actors,75,1,0,1,distinguished actors,unknown,0.0,tertiary
a company of flies in a bottle,88,1,0,1,a company of flies in a bottle,unknown,0.0,tertiary
a manager,26,1,0,1,a manager,unknown,0.0,tertiary
puppets,93,1,0,1,puppets,unknown,0.0,tertiary
a Dane,7,1,0,1,a Dane,unknown,0.0,tertiary
the happiest of mortals,98,1,0,1,the happiest of mortals,unknown,0.0,tertiary
a king,101,1,0,1,a king,male,1.0,tertiary
the Greek and Roman gods,103,1,0,1,the Greek and Roman gods,unknown,0.0,tertiary
the happiest man in the world,104,1,0,1,the happiest man in the world,male,1.0,tertiary
a happy director,106,1,0,1,a happy director,unknown,0.0,tertiary
none of my company,107,1,0,1,none of my company,unknown,0.0,tertiary
the great public,110,1,0,1,the great public,unknown,0.0,tertiary
the audience,111,1,0,1,the audience,unknown,0.0,tertiary
the little ones,112,1,0,1,the little ones,unknown,0.0,tertiary
papa,113,1,0,1,papa,unknown,0.0,tertiary
mamma,114,1,0,1,mamma,unknown,0.0,tertiary
mortals,99,1,0,1,mortals,unknown,0.0,tertiary
these ancient deities in disguise,68,1,0,1,these ancient deities in disguise,unknown,0.0,tertiary
the manager of a real company,70,1,0,1,the manager of a real company,unknown,0.0,tertiary
the race of the gods,69,1,0,1,the race of the gods,unknown,0.0,tertiary
the people in the provinces,23,1,0,1,the people in the provinces,unknown,0.0,tertiary
the lecturer--his audience,29,1,0,1,the lecturer's audience,unknown,0.0,tertiary
Moses,3,1,0,1,Moses,unknown,0.0,tertiary
the prophets,33,1,0,1,the prophets,unknown,0.0,tertiary
"a member of the Polytechnic Institution in Copenhagen , who had been sent out to lecture to the people in the provinces",21,1,0,1,"a member of the Polytechnic Institution in Copenhagen , who had been sent out to lecture to the people in the provinces",unknown,0.0,tertiary
a lover,39,1,0,1,a lover,unknown,0.0,tertiary
student - like appearance,19,1,0,1,student - like appearance,unknown,0.0,tertiary
my only auditor,44,1,0,1,my only auditor,unknown,0.0,tertiary
two respectable matrons,17,1,0,1,two respectable matrons,unknown,0.0,tertiary
people in the world,49,1,0,1,people in the world,unknown,0.0,tertiary
a Napoleon,52,1,0,1,a Napoleon,unknown,0.0,tertiary
a Luther,53,1,0,1,a Luther,unknown,0.0,tertiary
