sentence1,event1,te_rel,sentence2,event2,s_id,s_id2,e_id,e_id2
"But in summer time she was obliged to go barefooted because she was poor, and in winter she had to wear large wooden shoes, so that her little instep grew quite red. ",obliged,BEFORE," she sat down and made, as well as she could, a pair of little shoes out of some old pieces of red cloth. ",made,1,3,1,1
" she sat down and made, as well as she could, a pair of little shoes out of some old pieces of red cloth. ",made,BEFORE,"They were clumsy, but she meant well, for they were intended for the little girl, whose name was Karen. ",intended,3,4,1,3
"They were clumsy, but she meant well, for they were intended for the little girl, whose name was Karen. ",intended,BEFORE,Karen received the shoes and wore them for the first time on the day of her mother's funeral. ,wore,4,5,3,1
Karen received the shoes and wore them for the first time on the day of her mother's funeral. ,wore,BEFORE," but she had no others, and so she put her bare feet into them and walked behind the humble coffin. ",walked,5,7,1,2
" but she had no others, and so she put her bare feet into them and walked behind the humble coffin. ",walked,BEFORE,"Just then a large old carriage came by, and in it sat an old lady; ",sat,7,8,2,1
"Just then a large old carriage came by, and in it sat an old lady; ",sat,BEFORE," she looked at the little girl, and taking pity on her, said to the clergyman, ""Look here, if you will give me the little girl, I will take care of her."" ",said,8,9,1,2
" she looked at the little girl, and taking pity on her, said to the clergyman, ""Look here, if you will give me the little girl, I will take care of her."" ",said,BEFORE,"Karen believed that this was all on account of the red shoes, but the old lady thought them hideous, and so they were burnt. ",believed,9,10,2,0
"Karen believed that this was all on account of the red shoes, but the old lady thought them hideous, and so they were burnt. ",believed,AFTER,Karen herself was dressed very neatly and cleanly; ,dressed,10,11,0,1
Karen herself was dressed very neatly and cleanly; ,dressed,BEFORE," she was taught to read and to sew, and people said that she was pretty. ",said,11,12,1,4
" she was taught to read and to sew, and people said that she was pretty. ",said,BEFORE,"But the mirror told her, ""You are more than pretty--you are beautiful."" ",told,12,13,4,0
"But the mirror told her, ""You are more than pretty--you are beautiful."" ",told,AFTER,"One day the Queen was travelling through that part of the country, and had her little daughter, who was a princess, with her. ",travelling,13,14,0,1
"One day the Queen was travelling through that part of the country, and had her little daughter, who was a princess, with her. ",travelling,BEFORE,"All the people, amongst them Karen too, streamed towards the castle, where the little princess, in fine white clothes, stood before the window and allowed herself to be stared at. ",stood,14,15,1,1
"All the people, amongst them Karen too, streamed towards the castle, where the little princess, in fine white clothes, stood before the window and allowed herself to be stared at. ",stood,BEFORE,"She wore neither a train nor a golden crown, but beautiful red morocco shoes; ",wore,15,16,1,0
"She wore neither a train nor a golden crown, but beautiful red morocco shoes; ",wore,AFTER, they were indeed much finer than those which the shoemaker's wife had sewn for little Karen. ,sewn,16,17,0,2
 they were indeed much finer than those which the shoemaker's wife had sewn for little Karen. ,sewn,BEFORE," she received some new clothes, and she was also to have some new shoes. ",received,17,20,2,0
" she received some new clothes, and she was also to have some new shoes. ",received,BEFORE,"The rich shoemaker in the town took the measure of her little foot in his own room, in which there stood great glass cases full of pretty shoes and white slippers. ",took,20,21,0,0
"The rich shoemaker in the town took the measure of her little foot in his own room, in which there stood great glass cases full of pretty shoes and white slippers. ",took,BEFORE,"It all looked very lovely, but the old lady could not see very well, and therefore did not get much pleasure out of it. ",see,21,22,0,2
"It all looked very lovely, but the old lady could not see very well, and therefore did not get much pleasure out of it. ",see,AFTER,"Amongst the shoes stood a pair of red ones, like those which the princess had worn. ",worn,22,23,2,2
"Amongst the shoes stood a pair of red ones, like those which the princess had worn. ",worn,BEFORE,"and the shoemaker said that they had been made for a count's daughter, but that they had not fitted her. ",fitted,23,25,2,5
"and the shoemaker said that they had been made for a count's daughter, but that they had not fitted her. ",fitted,BEFORE,"""I suppose they are of shiny leather?"" ",suppose,25,26,5,0
"""I suppose they are of shiny leather?"" ",suppose,BEFORE,asked the old lady. ,asked,26,27,0,0
asked the old lady. ,asked,BEFORE,"""Yes, they do shine,"" said Karen. ",said,27,29,0,2
"""Yes, they do shine,"" said Karen. ",said,AFTER,"They fitted her, and were bought. ",fitted,29,30,2,0
"They fitted her, and were bought. ",fitted,BEFORE,"But the old lady knew nothing of their being red, for she would never have allowed Karen to be confirmed in red shoes, as she was now to be. ",confirmed,30,31,0,6
"But the old lady knew nothing of their being red, for she would never have allowed Karen to be confirmed in red shoes, as she was now to be. ",confirmed,BEFORE,"Everybody looked at her feet, and the whole of the way from the church door to the choir it seemed to her as if even the ancient figures on the monuments, in their stiff collars and long black robes, had their eyes fixed on her red shoes. ",looked,31,32,6,0
"Everybody looked at her feet, and the whole of the way from the church door to the choir it seemed to her as if even the ancient figures on the monuments, in their stiff collars and long black robes, had their eyes fixed on her red shoes. ",looked,BEFORE,"It was only of these that she thought when the clergyman laid his hand upon her head and spoke of the holy baptism, of the covenant with God, and told her that she was now to be a grown-up Christian. ",thought,32,33,0,1
"It was only of these that she thought when the clergyman laid his hand upon her head and spoke of the holy baptism, of the covenant with God, and told her that she was now to be a grown-up Christian. ",thought,BEFORE,"The organ pealed forth solemnly, and the sweet children's voices mingled with that of their old leader; ",mingled,33,34,1,1
"The organ pealed forth solemnly, and the sweet children's voices mingled with that of their old leader; ",mingled,BEFORE, but Karen thought only of her red shoes. ,thought,34,35,1,0
 but Karen thought only of her red shoes. ,thought,AFTER,In the afternoon the old lady heard from everybody that Karen had worn red shoes. ,worn,35,36,0,2
In the afternoon the old lady heard from everybody that Karen had worn red shoes. ,worn,BEFORE,"She said that it was a shocking thing to do, that it was very improper, and that Karen was always to go to church in future in black shoes, even if they were old. ",said,36,37,2,0
"She said that it was a shocking thing to do, that it was very improper, and that Karen was always to go to church in future in black shoes, even if they were old. ",said,BEFORE,"Karen looked first at the black shoes, then at the red ones--looked at the red ones again, and put them on. ",looked,37,39,0,0
"Karen looked first at the black shoes, then at the red ones--looked at the red ones again, and put them on. ",looked,BEFORE,"The sun was shining gloriously, so Karen and the old lady went along the footpath through the corn, where it was rather dusty. ",went,39,40,0,2
"The sun was shining gloriously, so Karen and the old lady went along the footpath through the corn, where it was rather dusty. ",went,BEFORE," he had a wonderfully long beard, more red than white, and he bowed down to the ground and asked the old lady whether he might wipe her shoes. ",asked,40,42,2,2
" he had a wonderfully long beard, more red than white, and he bowed down to the ground and asked the old lady whether he might wipe her shoes. ",asked,BEFORE,said the soldier. ,said,42,45,2,0
said the soldier. ,said,AFTER,"""Sit fast, when you dance,"" said he, addressing the shoes, and slapping the soles with his hand. ",dance,45,46,0,1
"""Sit fast, when you dance,"" said he, addressing the shoes, and slapping the soles with his hand. ",dance,BEFORE,The old lady gave the soldier some money and then went with Karen into the church. ,went,46,47,1,1
The old lady gave the soldier some money and then went with Karen into the church. ,went,BEFORE,"And all the people inside looked at Karen's red shoes, and all the figures gazed at them; ",looked,47,48,1,0
"And all the people inside looked at Karen's red shoes, and all the figures gazed at them; ",looked,BEFORE," when Karen knelt before the altar and put the golden goblet to her mouth, she thought only of the red shoes. ",knelt,48,49,0,0
" when Karen knelt before the altar and put the golden goblet to her mouth, she thought only of the red shoes. ",knelt,BEFORE,"It seemed to her as though they were swimming about in the goblet, and she forgot to sing the psalm, forgot to say the ""Lord's Prayer."" ",sing,49,50,0,4
"It seemed to her as though they were swimming about in the goblet, and she forgot to sing the psalm, forgot to say the ""Lord's Prayer."" ",sing,BEFORE,"Now every one came out of church, and the old lady stepped into her carriage. ",stepped,50,51,4,1
"Now every one came out of church, and the old lady stepped into her carriage. ",stepped,BEFORE,"But just as Karen was lifting up her foot to get in too, the old soldier said: ""Dear me, what pretty dancing shoes!"" ",said,51,52,1,3
"But just as Karen was lifting up her foot to get in too, the old soldier said: ""Dear me, what pretty dancing shoes!"" ",said,AFTER,"and Karen could not help it, she was obliged to dance a few steps; ",dance,52,53,3,4
"and Karen could not help it, she was obliged to dance a few steps; ",dance,BEFORE," and when she had once begun, her legs continued to dance. ",dance,53,54,4,3
" and when she had once begun, her legs continued to dance. ",dance,BEFORE,"She danced round the church corner, for she could not stop; ",danced,54,56,3,0
"She danced round the church corner, for she could not stop; ",danced,BEFORE, the coachman had to run after her and seize her. ,seize,56,57,0,2
 the coachman had to run after her and seize her. ,seize,AFTER,"He lifted her into the carriage, but her feet continued to dance, so that she kicked the good old lady violently. ",dance,57,58,2,2
"He lifted her into the carriage, but her feet continued to dance, so that she kicked the good old lady violently. ",dance,BEFORE,"Now the old lady fell ill, and it was said that she would not rise from her bed again. ",rise,58,61,2,4
"Now the old lady fell ill, and it was said that she would not rise from her bed again. ",rise,BEFORE,"She had to be nursed and waited upon, and this was no one's duty more than Karen's. ",nursed,61,62,4,2
"She had to be nursed and waited upon, and this was no one's duty more than Karen's. ",nursed,BEFORE,"But there was a grand ball in the town, and Karen was invited. ",invited,62,63,2,2
"But there was a grand ball in the town, and Karen was invited. ",invited,BEFORE,"She looked at the red shoes, saying to herself that there was no sin in doing that; ",looked,63,64,2,0
"She looked at the red shoes, saying to herself that there was no sin in doing that; ",looked,BEFORE," she put the red shoes on, thinking there was no harm in that either; ",thinking,64,65,0,1
" she put the red shoes on, thinking there was no harm in that either; ",thinking,BEFORE,"But when she wanted to go to the right, the shoes danced to the left, and when she wanted to dance up the room, the shoes danced down the room, down the stairs through the street, and out through the gates of the town. ",dance,65,68,1,4
