sentence_id,verb_id,verb,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,subj_coref_ids,subj_start_byte,subj_end_byte,subj_start_byte_text,subj_end_byte_text,dobj_coref_ids,dobj_start_byte,dobj_end_byte,dobj_start_byte_text,dobj_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,event_label,major_event
1,1,obliged,27,34,86,93,2,19.0,22.0,78.0,81.0,,35.0,51.0,94.0,110.0,52.0,72.0,111.0,131.0,verb.communication,1,True
3,1,made,18,22,302,306,6,1.0,4.0,285.0,288.0,,46.0,104.0,330.0,388.0,,,,,verb.creation,1,True
4,3,intended,52,60,442,450,,42.0,46.0,432.0,436.0,"0,7",61.0,102.0,451.0,492.0,,,,,verb.cognition,1,True
5,1,wore,29,33,523,527,0,0.0,5.0,494.0,499.0,,34.0,38.0,528.0,532.0,39.0,92.0,533.0,586.0,verb.body,1,True
7,2,walked,67,73,701,707,0,31.0,34.0,665.0,668.0,,,,,,,,,,verb.motion,1,True
8,1,sat,50,53,784,787,,47.0,49.0,781.0,783.0,11,54.0,65.0,788.0,799.0,,,,,verb.contact,1,True
9,2,said,56,60,856,860,11,1.0,4.0,801.0,804.0,"13,11,7",61.0,77.0,861.0,877.0,,,,,verb.communication,1,True
10,0,believed,6,14,960,968,0,0.0,5.0,954.0,959.0,,15.0,60.0,969.0,1014.0,,,,,verb.cognition,1,True
11,1,dressed,18,25,1097,1104,0,0.0,13.0,1079.0,1092.0,,,,,,,,,,verb.body,1,True
12,4,said,47,51,1176,1180,15,40.0,46.0,1169.0,1175.0,0,52.0,71.0,1181.0,1200.0,,,,,verb.communication,1,True
13,0,told,15,19,1217,1221,,4.0,14.0,1206.0,1216.0,0,20.0,23.0,1222.0,1225.0,,,,,verb.communication,1,True
14,1,travelling,22,32,1296,1306,16,8.0,17.0,1282.0,1291.0,,33.0,65.0,1307.0,1339.0,,,,,verb.motion,1,True
15,1,stood,119,124,1519,1524,23,75.0,94.0,1475.0,1494.0,,125.0,142.0,1525.0,1542.0,,,,,verb.contact,1,True
16,0,wore,4,8,1584,1588,23,0.0,3.0,1580.0,1583.0,,9.0,76.0,1589.0,1656.0,,,,,verb.body,1,True
17,2,sewn,71,75,1728,1732,"24,25",40.0,45.0,1697.0,1702.0,,,,,,,,,,verb.creation,1,True
20,0,received,5,13,1869,1877,0,1.0,4.0,1865.0,1868.0,,14.0,30.0,1878.0,1894.0,,,,,verb.possession,1,True
21,0,took,31,35,1968,1972,27,0.0,30.0,1937.0,1967.0,"0,27",36.0,162.0,1973.0,2099.0,,,,,verb.cognition,1,True
22,2,see,54,57,2155,2158,14,31.0,43.0,2132.0,2144.0,,58.0,67.0,2159.0,2168.0,,,,,verb.perception,1,True
23,2,worn,78,82,2299,2303,31,49.0,54.0,2270.0,2275.0,,,,,,,,,,verb.body,1,True
25,5,fitted,93,99,2423,2429,,80.0,84.0,2410.0,2414.0,34,100.0,103.0,2430.0,2433.0,,,,,verb.consumption,1,True
26,0,suppose,3,10,2438,2445,14,1.0,2.0,2436.0,2437.0,,11.0,36.0,2446.0,2471.0,,,,,verb.cognition,1,True
27,0,asked,0,5,2474,2479,,,,,,14,6.0,18.0,2480.0,2492.0,,,,,verb.communication,1,True
29,2,said,22,26,2533,2537,,1.0,19.0,2512.0,2530.0,0,27.0,32.0,2538.0,2543.0,,,,,verb.communication,1,True
30,0,fitted,5,11,2550,2556,,0.0,4.0,2545.0,2549.0,0,12.0,15.0,2557.0,2560.0,,,,,verb.change,1,True
31,6,confirmed,95,104,2674,2683,0,83.0,88.0,2662.0,2667.0,,,,,,,,,,verb.change,1,True
32,0,looked,10,16,2730,2736,38,0.0,9.0,2720.0,2729.0,0,17.0,28.0,2737.0,2748.0,,,,,verb.perception,1,True
33,1,thought,30,37,2989,2996,0,15.0,20.0,2974.0,2979.0,,,,,,,,,,verb.cognition,1,True
34,1,mingled,65,72,3224,3231,44,37.0,64.0,3196.0,3223.0,"44,45",73.0,102.0,3232.0,3261.0,,,,,verb.change,1,True
35,0,thought,11,18,3273,3280,0,5.0,10.0,3267.0,3272.0,0,19.0,40.0,3281.0,3302.0,,,,,verb.cognition,1,True
36,2,worn,66,70,3370,3374,0,56.0,61.0,3360.0,3365.0,,71.0,80.0,3375.0,3384.0,,,,,verb.body,1,True
37,0,said,4,8,3390,3394,14,0.0,3.0,3386.0,3389.0,0,9.0,161.0,3395.0,3547.0,,,,,verb.communication,1,True
39,0,looked,6,12,3600,3606,0,0.0,5.0,3594.0,3599.0,,,,,,,,,,verb.perception,1,True
40,2,went,58,62,3760,3764,"0,14",35.0,57.0,3737.0,3759.0,,,,,,,,,,verb.motion,1,True
42,2,asked,91,96,3989,3994,52,59.0,61.0,3957.0,3959.0,"52,0,14",97.0,109.0,3995.0,4007.0,,,,,verb.communication,1,True
