sentence_id,event_id,event,supersense_category,coref_id_subj,coref_id_dobj
7,0,had,verb.possession,0,9
7,1,put,verb.contact,0,0
9,0,looked,verb.perception,11,7
9,1,taking,verb.cognition,11,7
9,2,said,verb.communication,11,13
9,2,said,verb.communication,11,11
9,2,said,verb.communication,11,7
9,5,give,verb.possession,13,11
9,5,give,verb.possession,13,7
12,4,said,verb.communication,15,0
14,2,had,verb.possession,16,16
14,2,had,verb.possession,16,19
14,2,had,verb.possession,16,20
15,2,allowed,verb.social,23,23
21,0,took,verb.cognition,27,0
21,0,took,verb.cognition,27,27
25,0,said,verb.communication,24,34
25,0,said,verb.communication,24,33
31,4,allowed,verb.communication,14,0
32,0,looked,verb.perception,38,0
33,2,laid,verb.contact,13,13
33,2,laid,verb.contact,13,0
33,3,spoke,verb.communication,13,1
33,4,told,verb.communication,13,43
33,4,told,verb.communication,13,0
34,1,mingled,verb.change,44,44
34,1,mingled,verb.change,44,45
35,0,thought,verb.cognition,0,0
36,0,heard,verb.perception,14,38
36,0,heard,verb.perception,14,0
37,0,said,verb.communication,14,0
42,2,asked,verb.communication,52,52
42,2,asked,verb.communication,52,0
42,2,asked,verb.communication,52,14
42,4,wipe,verb.contact,52,0
46,2,said,verb.communication,0,52
47,0,gave,verb.possession,14,54
48,0,looked,verb.perception,58,0
49,1,put,verb.contact,0,0
50,5,forgot,verb.cognition,0,138
50,6,say,verb.communication,0,138
51,1,stepped,verb.motion,14,14
52,3,said,verb.communication,65,65
57,2,seize,verb.contact,67,0
58,0,lifted,verb.contact,67,0
58,3,kicked,verb.contact,0,69
61,4,rise,verb.motion,14,14
64,1,saying,verb.communication,0,0
72,1,nodding,verb.motion,80,80
72,2,said,verb.communication,80,80
80,0,wanted,verb.emotion,0,85
82,1,saw,verb.perception,0,88
84,1,said,verb.communication,0,88
85,5,hear,verb.perception,140,0
85,6,fear,verb.emotion,140,0
89,1,hear,verb.perception,0,89
89,1,hear,verb.perception,0,0
92,0,knew,verb.cognition,0,61
92,0,knew,verb.cognition,0,0
92,0,knew,verb.cognition,0,95
92,2,forsaken,verb.communication,0,61
92,2,forsaken,verb.communication,0,95
92,3,damned,verb.social,0,95
97,0,tapped,verb.perception,0,0
99,0,said,verb.communication,99,99
99,0,said,verb.communication,99,0
99,2,suppose,verb.cognition,99,99
99,2,suppose,verb.cognition,99,0
99,3,know,verb.cognition,0,99
100,1,notice,verb.perception,99,99
102,2,repent,verb.emotion,0,0
104,0,confessed,verb.communication,0,0
106,1,taught,verb.communication,99,104
106,1,taught,verb.communication,99,0
109,3,see,verb.social,15,0
112,3,said,verb.communication,0,0
113,0,believe,verb.cognition,0,0
115,2,saw,verb.perception,0,0
117,1,begged,verb.communication,0,0
118,3,do,verb.social,0,0
119,2,had,verb.possession,0,0
120,1,took,verb.possession,112,0
120,1,took,verb.possession,113,0
123,0,liked,verb.emotion,115,0
123,3,shake,verb.body,0,0
124,2,asked,verb.communication,0,0
125,0,looked,verb.perception,0,0
126,1,hear,verb.perception,117,1
126,2,went,verb.motion,0,0
128,4,lifted,verb.motion,0,0
128,5,said,verb.communication,0,1
130,1,stood,verb.contact,0,120
133,0,touched,verb.contact,121,121
135,0,saw,verb.perception,0,124
135,0,saw,verb.perception,0,123
135,0,saw,verb.perception,0,125
135,2,singing,verb.communication,125,125
137,0,sat,verb.contact,0,131
137,0,sat,verb.contact,0,112
137,5,said,verb.communication,131,0
