sentence_id,verb_id,verb,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,subj_coref_ids,subj_start_byte,subj_end_byte,subj_start_byte_text,subj_end_byte_text,dobj_coref_ids,dobj_start_byte,dobj_end_byte,dobj_start_byte_text,dobj_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,event_label,major_event
0,3,married,31,38,31,38,"20,21",0.0,14.0,0.0,14.0,,,,,,,,,,verb.social,1,True
1,3,arrived,62,69,136,143,22,54.0,57.0,128.0,131.0,,,,,,,,,,verb.motion,1,True
2,2,driven,36,42,181,187,22,0.0,3.0,145.0,148.0,,43.0,67.0,188.0,212.0,68.0,101.0,213.0,246.0,verb.motion,1,True
5,2,wondered,69,77,596,604,28,54.0,68.0,581.0,595.0,,,,,,,,,,verb.cognition,1,True
7,0,cried,5,10,639,644,28,0.0,4.0,634.0,638.0,,,,,,,,,,verb.communication,1,True
8,2,receive,52,59,753,760,31,26.0,36.0,727.0,737.0,25,60.0,63.0,761.0,764.0,,,,,verb.contact,1,True
10,1,sank,19,23,845,849,31,16.0,18.0,842.0,844.0,,,,,,,,,,verb.motion,1,True
11,1,murmured,33,41,919,927,31,30.0,32.0,916.0,918.0,,,,,,,,,,verb.communication,1,True
12,0,blushed,25,32,1001,1008,25,5.0,24.0,981.0,1000.0,,,,,,,,,,verb.body,1,True
13,2,said,36,40,1046,1050,25,1.0,33.0,1011.0,1043.0,"34,33",41.0,53.0,1051.0,1063.0,,,,,verb.communication,1,True
15,1,saying,45,51,1196,1202,36,24.0,33.0,1175.0,1184.0,,54.0,97.0,1205.0,1248.0,,,,,verb.communication,1,True
16,3,doubled,59,66,1308,1315,38,31.0,48.0,1280.0,1297.0,,,,,,,,,,verb.change,1,True
17,0,received,6,14,1323,1331,20,3.0,5.0,1320.0,1322.0,,15.0,36.0,1332.0,1353.0,,,,,verb.possession,1,True
19,1,walked,60,66,1584,1590,"39,40",35.0,59.0,1559.0,1583.0,,,,,,,,,,verb.motion,1,True
21,1,drank,61,66,1790,1795,"42,31",0.0,23.0,1729.0,1752.0,,71.0,96.0,1800.0,1825.0,,,,,verb.consumption,1,True
22,1,drink,23,28,1850,1855,44,0.0,16.0,1827.0,1843.0,,33.0,44.0,1860.0,1871.0,46.0,83.0,1873.0,1910.0,verb.consumption,1,True
23,2,said,46,50,1983,1987,"44,164",1.0,43.0,1938.0,1980.0,45,51.0,66.0,1988.0,2003.0,69.0,88.0,2006.0,2025.0,verb.communication,1,True
24,0,doubled,13,20,2041,2048,20,4.0,12.0,2032.0,2040.0,20,21.0,31.0,2049.0,2059.0,32.0,45.0,2060.0,2073.0,verb.possession,1,True
26,0,cried,0,5,2093,2098,,,,,,47,6.0,23.0,2099.0,2116.0,,,,,verb.communication,1,True
28,1,dance,33,38,2193,2198,"39,40",0.0,24.0,2160.0,2184.0,,39.0,53.0,2199.0,2213.0,54.0,62.0,2214.0,2222.0,verb.motion,1,True
29,0,played,3,9,2272,2278,20,0.0,2.0,2269.0,2271.0,,,,,,,,,,verb.competition,1,True
30,0,knew,11,15,2369,2373,20,8.0,10.0,2366.0,2368.0,,16.0,29.0,2374.0,2387.0,,,,,verb.cognition,1,True
34,3,given,75,80,2706,2711,20,62.0,70.0,2693.0,2701.0,"25,56",81.0,166.0,2712.0,2797.0,,,,,verb.communication,1,True
36,3,walking,50,57,2875,2882,25,42.0,45.0,2867.0,2870.0,,,,,,,,,,verb.motion,1,True
