sentence_id,event_id,temporal_rank
2,2,0
1,3,1
0,3,2
5,2,3
7,0,4
8,2,5
10,1,6
11,1,7
12,0,8
13,2,9
15,1,10
17,0,11
16,3,12
19,1,13
21,1,14
22,1,15
24,0,16
23,2,17
29,0,18
28,1,19
26,0,20
30,0,21
36,3,22
34,3,23
37,2,24
40,6,25
41,1,26
47,1,27
51,0,28
50,2,29
49,2,30
58,0,31
56,0,32
60,0,33
61,3,34
68,4,35
73,2,36
74,1,37
75,5,38
76,0,39
77,1,40
86,1,41
84,1,42
81,0,43
89,0,44
90,2,45
92,0,46
94,0,47
93,1,48
96,6,49
95,1,50
99,0,51
97,2,52
100,0,53
103,0,54
104,2,55
105,0,56
106,2,57
107,0,58
108,1,59
109,1,60
116,1,61
114,2,62
110,1,63
117,0,64
120,0,65
119,0,66
121,2,67
122,0,68
127,1,69
126,0,70
125,0,71
128,0,72
132,4,73
131,1,74
134,5,75
133,0,76
135,0,77
136,1,78
137,3,79
141,1,80
140,0,81
144,1,82
145,2,83
146,2,84
147,3,85
149,0,86
153,1,87
152,2,88
156,1,89
155,0,90
154,2,91
157,0,92
158,0,93
161,1,94
160,0,95
163,1,96
162,4,97
165,2,98
164,2,99
166,1,100
167,2,101
169,1,102
170,1,103
171,3,104
179,1,105
172,0,106
182,2,107
184,0,108
183,1,109
193,0,110
196,0,111
200,2,112
203,0,113
204,0,114
206,2,115
205,3,116
207,0,117
208,1,118
209,4,119
210,0,120
213,0,121
214,0,122
217,1,123
219,1,124
221,0,125
222,1,126
224,1,127
228,0,128
226,0,129
229,1,130
230,1,131
235,0,132
234,0,133
236,0,134
240,3,135
238,1,136
246,2,137
241,2,138
247,0,139
248,0,140
250,3,141
252,1,142
251,3,143
255,1,144
254,0,145
257,2,146
259,1,147
263,0,148
260,1,149
265,0,150
264,2,151
268,1,152
267,1,153
271,1,154
269,2,155
272,0,156
273,2,157
275,1,158
280,2,159
281,1,160
288,0,161
290,0,162
293,3,163
295,2,164
297,2,165
304,3,166
299,0,167
313,2,168
307,0,169
321,1,170
318,2,171
324,0,172
328,0,173
329,0,174
331,3,175
332,4,176
334,0,177
336,0,178
338,0,179
341,0,180
339,1,181
343,0,182
345,1,183
348,1,184
349,0,185
360,0,186
370,0,187
363,2,188
373,0,189
375,0,190
376,3,191
