sentence_id,event_id,temporal_rank
0,1,0
0,4,1
1,0,2
1,1,3
1,2,4
2,3,5
1,4,6
2,4,7
3,4,8
3,2,9
3,1,10
5,0,11
4,0,12
5,2,13
6,5,14
6,0,15
7,2,16
7,0,17
8,0,18
9,1,19
9,0,20
9,4,21
9,2,22
10,0,23
10,2,24
11,1,25
10,3,26
11,3,27
12,2,28
11,6,29
12,3,30
13,0,31
14,2,32
15,3,33
15,1,34
16,0,35
17,0,36
17,5,37
18,0,38
18,1,39
19,4,40
21,1,41
21,0,42
21,2,43
22,1,44
22,2,45
25,0,46
23,4,47
23,2,48
23,0,49
26,1,50
26,3,51
26,5,52
26,6,53
27,0,54
26,7,55
28,0,56
27,1,57
29,1,58
32,2,59
31,2,60
33,2,61
34,1,62
34,0,63
35,1,64
35,0,65
34,4,66
35,2,67
36,4,68
36,2,69
37,0,70
37,2,71
37,3,72
37,4,73
38,3,74
39,2,75
39,0,76
40,0,77
42,0,78
42,5,79
42,6,80
42,7,81
42,9,82
43,0,83
43,1,84
43,3,85
43,5,86
43,7,87
44,1,88
44,2,89
46,1,90
47,2,91
47,0,92
48,3,93
48,1,94
48,4,95
49,3,96
50,0,97
50,1,98
50,4,99
50,2,100
51,0,101
52,0,102
53,2,103
52,2,104
57,1,105
53,10,106
57,2,107
58,0,108
58,4,109
58,2,110
59,3,111
59,4,112
59,5,113
61,0,114
59,6,115
61,4,116
61,5,117
61,6,118
63,0,119
63,1,120
65,0,121
65,3,122
65,4,123
65,6,124
68,6,125
67,1,126
68,7,127
69,1,128
69,2,129
