sentence_id,verb_id,verb,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,subj_coref_ids,subj_start_byte,subj_end_byte,subj_start_byte_text,subj_end_byte_text,dobj_coref_ids,dobj_start_byte,dobj_end_byte,dobj_start_byte_text,dobj_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,event_label,major_event
0,2,loved,59,64,59,64,4,43.0,50.0,43.0,50.0,,,,,,,,,,verb.emotion,1,True
1,0,died,27,31,111,115,6,17.0,26.0,101.0,110.0,,,,,,,,,,verb.change,1,True
3,0,cherished,3,12,248,257,8,0.0,2.0,245.0,247.0,"8,10",13.0,16.0,258.0,261.0,,,,,verb.emotion,1,True
5,1,seen,22,26,387,391,14,5.0,17.0,370.0,382.0,,27.0,55.0,392.0,420.0,,,,,verb.perception,1,True
6,1,march,18,23,480,485,"15,14",0.0,10.0,462.0,472.0,,,,,,,,,,verb.motion,1,True
7,2,entrust,44,51,547,554,8,21.0,28.0,524.0,531.0,"8,19",52.0,64.0,555.0,567.0,65.0,89.0,568.0,592.0,verb.cognition,1,True
8,2,provided,49,57,643,651,8,3.0,5.0,597.0,599.0,,58.0,60.0,652.0,654.0,,,,,verb.possession,1,True
10,5,forbidden,72,81,805,814,,,,,,"24,19,27",82.0,173.0,815.0,906.0,,,,,verb.communication,1,True
11,0,thought,13,20,921,928,8,4.0,12.0,912.0,920.0,"8,19",21.0,95.0,929.0,1003.0,,,,,verb.cognition,1,True
12,0,sat,42,45,1047,1050,"31,14",16.0,41.0,1021.0,1046.0,,46.0,58.0,1051.0,1063.0,,,,,verb.contact,1,True
13,5,talked,123,129,1188,1194,,94.0,97.0,1159.0,1162.0,38,130.0,153.0,1195.0,1218.0,,,,,verb.communication,1,True
14,3,conceived,55,64,1275,1284,,50.0,54.0,1270.0,1274.0,8,65.0,92.0,1285.0,1312.0,,,,,verb.creation,1,True
16,3,come,90,94,1480,1484,"44,8,31,14",51.0,83.0,1441.0,1473.0,,95.0,109.0,1485.0,1499.0,111.0,154.0,1501.0,1544.0,verb.change,1,True
17,0,promised,12,20,1558,1566,46,0.0,11.0,1546.0,1557.0,,21.0,33.0,1567.0,1579.0,,,,,verb.communication,1,True
18,0,saw,38,41,1722,1725,"44,8,31,14",5.0,37.0,1689.0,1721.0,52,42.0,91.0,1726.0,1775.0,,,,,verb.perception,1,True
19,1,asked,23,28,1855,1860,,3.0,7.0,1835.0,1839.0,52,29.0,72.0,1861.0,1904.0,,,,,verb.communication,1,True
20,0,said,14,18,1920,1924,52,0.0,13.0,1906.0,1919.0,,19.0,41.0,1925.0,1947.0,,,,,verb.communication,1,True
21,4,make,73,77,2022,2026,52,63.0,66.0,2012.0,2015.0,,78.0,112.0,2027.0,2061.0,,,,,verb.creation,1,True
23,1,told,68,72,2187,2191,59,52.0,67.0,2171.0,2186.0,,73.0,77.0,2192.0,2196.0,,,,,verb.communication,1,True
24,1,sent,79,83,2305,2309,,72.0,78.0,2298.0,2304.0,61,84.0,88.0,2310.0,2314.0,,,,,verb.motion,1,True
25,1,received,72,80,2401,2409,"44,65,31",52.0,71.0,2381.0,2400.0,1,81.0,103.0,2410.0,2432.0,,,,,verb.possession,1,True
27,0,looked,5,11,2533,2539,67,0.0,4.0,2528.0,2532.0,,12.0,59.0,2540.0,2587.0,,,,,verb.perception,1,True
28,1,see,17,20,2606,2609,69,0.0,3.0,2589.0,2592.0,67,21.0,43.0,2610.0,2632.0,,,,,verb.cognition,1,True
30,2,took,41,45,2744,2748,67,36.0,40.0,2739.0,2743.0,,46.0,53.0,2749.0,2756.0,63.0,103.0,2766.0,2806.0,verb.cognition,1,True
31,2,bade,89,93,2897,2901,67,67.0,88.0,2875.0,2896.0,"73,67",94.0,117.0,2902.0,2925.0,,,,,verb.communication,1,True
32,1,seek,47,51,2974,2978,73,9.0,13.0,2936.0,2940.0,73,52.0,65.0,2979.0,2992.0,66.0,89.0,2993.0,3016.0,verb.possession,1,True
33,1,gave,31,35,3049,3053,"44,8",11.0,30.0,3029.0,3048.0,0,36.0,47.0,3054.0,3065.0,,,,,verb.possession,1,True
34,0,had,9,12,3091,3094,27,0.0,8.0,3082.0,3090.0,"64,27",13.0,36.0,3095.0,3118.0,,,,,verb.possession,1,True
36,2,came,34,38,3211,3215,81,29.0,33.0,3206.0,3210.0,,39.0,55.0,3216.0,3232.0,,,,,verb.motion,1,True
37,0,met,24,27,3258,3261,81,19.0,23.0,3253.0,3257.0,85,28.0,64.0,3262.0,3298.0,,,,,verb.motion,1,True
38,0,wore,3,7,3303,3307,85,0.0,2.0,3300.0,3302.0,,8.0,18.0,3308.0,3318.0,19.0,30.0,3319.0,3330.0,verb.body,1,True
39,2,come,79,83,3450,3454,81,66.0,71.0,3437.0,3442.0,,,,,,,,,,verb.motion,1,True
40,0,told,9,13,3489,3493,86,0.0,8.0,3480.0,3488.0,"86,85",14.0,17.0,3494.0,3497.0,,,,,verb.communication,1,True
41,2,know,41,45,3625,3629,89,39.0,40.0,3623.0,3624.0,81,46.0,86.0,3630.0,3670.0,,,,,verb.cognition,1,True
42,2,remember,44,52,3716,3724,,,,,,"364,81",53.0,64.0,3725.0,3736.0,,,,,verb.cognition,1,True
43,1,promise,13,20,3799,3806,81,4.0,7.0,3790.0,3793.0,"89,81",21.0,23.0,3807.0,3809.0,,,,,verb.communication,1,True
44,0,take,5,9,3866,3870,,,,,,81,10.0,14.0,3871.0,3875.0,24.0,39.0,,,verb.contact,1,True
45,1,promised,49,57,3952,3960,86,0.0,8.0,3903.0,3911.0,"89,86",58.0,83.0,3961.0,3986.0,,,,,verb.communication,1,True
