sentence1,event1,te_rel,sentence2,event2,s_id,s_id2,e_id,e_id2
"In the Skalunda mountain, near the church, there once lived a giant in the early days, who no longer felt comfortable after the church had been built there. ",felt,BEFORE,He decided that he could no longer stand the ringing of the church bells; ,decided,0,1,1,0
He decided that he could no longer stand the ringing of the church bells; ,decided,BEFORE, so he emigrated and settled down on an island far out in the North Sea. ,emigrated,1,2,0,0
 so he emigrated and settled down on an island far out in the North Sea. ,emigrated,BEFORE, so he emigrated and settled down on an island far out in the North Sea. ,settled,2,2,0,1
 so he emigrated and settled down on an island far out in the North Sea. ,settled,BEFORE,"""From where do you hail?"" ",hail,2,4,1,1
"""From where do you hail?"" ",hail,BEFORE,"asked the giant, who by now had grown old and blind, and sat warming himself before a log fire. ",asked,4,5,1,0
"asked the giant, who by now had grown old and blind, and sat warming himself before a log fire. ",asked,BEFORE,"asked the giant, who by now had grown old and blind, and sat warming himself before a log fire. ",warming,5,5,0,4
"asked the giant, who by now had grown old and blind, and sat warming himself before a log fire. ",warming,BEFORE,"""We are from Skalunda,"" said one of the men saved. ",said,5,6,4,1
"""We are from Skalunda,"" said one of the men saved. ",said,BEFORE,"""Give me your hand, so that I may feel whether there is still warm blood to be found in the Swedish land,"" said the giant. ",Give,6,7,1,0
"""Give me your hand, so that I may feel whether there is still warm blood to be found in the Swedish land,"" said the giant. ",Give,BEFORE,"""Give me your hand, so that I may feel whether there is still warm blood to be found in the Swedish land,"" said the giant. ",feel,7,7,0,2
"""Give me your hand, so that I may feel whether there is still warm blood to be found in the Swedish land,"" said the giant. ",feel,BEFORE,"""Give me your hand, so that I may feel whether there is still warm blood to be found in the Swedish land,"" said the giant. ",said,7,7,2,6
"""Give me your hand, so that I may feel whether there is still warm blood to be found in the Swedish land,"" said the giant. ",said,AFTER,"The man, who feared to shake hands with the giant, drew a red-hot bar of iron from the fire and handed it to him. ",feared,7,8,6,0
"The man, who feared to shake hands with the giant, drew a red-hot bar of iron from the fire and handed it to him. ",feared,BEFORE,"The man, who feared to shake hands with the giant, drew a red-hot bar of iron from the fire and handed it to him. ",drew,8,8,0,2
"The man, who feared to shake hands with the giant, drew a red-hot bar of iron from the fire and handed it to him. ",drew,BEFORE,"The man, who feared to shake hands with the giant, drew a red-hot bar of iron from the fire and handed it to him. ",handed,8,8,2,3
"The man, who feared to shake hands with the giant, drew a red-hot bar of iron from the fire and handed it to him. ",handed,BEFORE,"He seized it firmly, and pressed it so hard that the molten iron ran down between his fingers. ",seized,8,9,3,0
"He seized it firmly, and pressed it so hard that the molten iron ran down between his fingers. ",seized,BEFORE,"He seized it firmly, and pressed it so hard that the molten iron ran down between his fingers. ",pressed,9,9,0,1
"He seized it firmly, and pressed it so hard that the molten iron ran down between his fingers. ",pressed,BEFORE,"""Yes, there is still warm blood to be found in Sweden,"" said he. ",said,9,10,1,3
"""Yes, there is still warm blood to be found in Sweden,"" said he. ",said,BEFORE,"""And tell me,"" he continued, ""is Skalunda mountain still standing?"" ",tell,10,11,3,0
"""And tell me,"" he continued, ""is Skalunda mountain still standing?"" ",tell,BEFORE,"""And tell me,"" he continued, ""is Skalunda mountain still standing?"" ",continued,11,11,0,1
"""And tell me,"" he continued, ""is Skalunda mountain still standing?"" ",continued,AFTER,"""No, the hens have scratched it away,"" the man answered. ",scratched,11,12,1,1
"""No, the hens have scratched it away,"" the man answered. ",scratched,BEFORE,"""No, the hens have scratched it away,"" the man answered. ",answered,12,12,1,2
"""No, the hens have scratched it away,"" the man answered. ",answered,AFTER,"""My wife and daughter piled it up in the course of a single Sunday morning. ",piled,12,15,2,0
"""My wife and daughter piled it up in the course of a single Sunday morning. ",piled,AFTER,"But surely the Hallenberg and the Hunneberg are still standing, for those I built myself."" ",built,15,16,0,2
"But surely the Hallenberg and the Hunneberg are still standing, for those I built myself."" ",built,BEFORE,"When the man had confirmed this, the giant wanted to know whether Karin was still living in Stommen. ",confirmed,16,17,2,1
"When the man had confirmed this, the giant wanted to know whether Karin was still living in Stommen. ",confirmed,BEFORE,"When the man had confirmed this, the giant wanted to know whether Karin was still living in Stommen. ",wanted,17,17,1,2
"When the man had confirmed this, the giant wanted to know whether Karin was still living in Stommen. ",wanted,BEFORE,"When the man had confirmed this, the giant wanted to know whether Karin was still living in Stommen. ",know,17,17,2,3
"When the man had confirmed this, the giant wanted to know whether Karin was still living in Stommen. ",know,BEFORE,"And when they told him that she was, he gave them a girdle, and with it the message that Karin was to wear it in remembrance of him. ",told,17,18,3,0
"And when they told him that she was, he gave them a girdle, and with it the message that Karin was to wear it in remembrance of him. ",told,BEFORE,"And when they told him that she was, he gave them a girdle, and with it the message that Karin was to wear it in remembrance of him. ",gave,18,18,0,2
"And when they told him that she was, he gave them a girdle, and with it the message that Karin was to wear it in remembrance of him. ",gave,BEFORE,The men took the girdle and gave it to Karin upon their return home. ,took,18,19,2,0
The men took the girdle and gave it to Karin upon their return home. ,took,BEFORE,The men took the girdle and gave it to Karin upon their return home. ,gave,19,19,0,1
The men took the girdle and gave it to Karin upon their return home. ,gave,BEFORE,"But before Karin put it on, she clasped it around the oak-tree that grew in the court. ",put,19,20,1,0
"But before Karin put it on, she clasped it around the oak-tree that grew in the court. ",put,AFTER,"But before Karin put it on, she clasped it around the oak-tree that grew in the court. ",clasped,20,20,0,1
