sentence1,event1,te_rel,sentence2,event2,s_id,s_id2,e_id,e_id2
"In the Skalunda mountain, near the church, there once lived a giant in the early days, who no longer felt comfortable after the church had been built there. ",felt,BEFORE,He decided that he could no longer stand the ringing of the church bells; ,decided,0,1,1,0
He decided that he could no longer stand the ringing of the church bells; ,decided,BEFORE, so he emigrated and settled down on an island far out in the North Sea. ,emigrated,1,2,0,0
 so he emigrated and settled down on an island far out in the North Sea. ,emigrated,BEFORE,"""From where do you hail?"" ",hail,2,4,0,1
"""From where do you hail?"" ",hail,BEFORE,"asked the giant, who by now had grown old and blind, and sat warming himself before a log fire. ",warming,4,5,1,4
"asked the giant, who by now had grown old and blind, and sat warming himself before a log fire. ",warming,BEFORE,"""We are from Skalunda,"" said one of the men saved. ",said,5,6,4,1
"""We are from Skalunda,"" said one of the men saved. ",said,BEFORE,"""Give me your hand, so that I may feel whether there is still warm blood to be found in the Swedish land,"" said the giant. ",said,6,7,1,6
"""Give me your hand, so that I may feel whether there is still warm blood to be found in the Swedish land,"" said the giant. ",said,BEFORE,"The man, who feared to shake hands with the giant, drew a red-hot bar of iron from the fire and handed it to him. ",handed,7,8,6,3
"The man, who feared to shake hands with the giant, drew a red-hot bar of iron from the fire and handed it to him. ",handed,BEFORE,"He seized it firmly, and pressed it so hard that the molten iron ran down between his fingers. ",pressed,8,9,3,1
"He seized it firmly, and pressed it so hard that the molten iron ran down between his fingers. ",pressed,BEFORE,"""Yes, there is still warm blood to be found in Sweden,"" said he. ",said,9,10,1,3
"""Yes, there is still warm blood to be found in Sweden,"" said he. ",said,BEFORE,"""And tell me,"" he continued, ""is Skalunda mountain still standing?"" ",continued,10,11,3,1
"""And tell me,"" he continued, ""is Skalunda mountain still standing?"" ",continued,AFTER,"""No, the hens have scratched it away,"" the man answered. ",scratched,11,12,1,1
"""No, the hens have scratched it away,"" the man answered. ",scratched,AFTER,"""My wife and daughter piled it up in the course of a single Sunday morning. ",piled,12,15,1,0
"""My wife and daughter piled it up in the course of a single Sunday morning. ",piled,AFTER,"But surely the Hallenberg and the Hunneberg are still standing, for those I built myself."" ",built,15,16,0,2
"But surely the Hallenberg and the Hunneberg are still standing, for those I built myself."" ",built,BEFORE,"When the man had confirmed this, the giant wanted to know whether Karin was still living in Stommen. ",confirmed,16,17,2,1
"When the man had confirmed this, the giant wanted to know whether Karin was still living in Stommen. ",confirmed,BEFORE,"And when they told him that she was, he gave them a girdle, and with it the message that Karin was to wear it in remembrance of him. ",gave,17,18,1,2
"And when they told him that she was, he gave them a girdle, and with it the message that Karin was to wear it in remembrance of him. ",gave,BEFORE,The men took the girdle and gave it to Karin upon their return home. ,gave,18,19,2,1
The men took the girdle and gave it to Karin upon their return home. ,gave,AFTER,"But before Karin put it on, she clasped it around the oak-tree that grew in the court. ",clasped,19,20,1,1
