sentence_id,event_id,event,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,coref_id,arg_start_byte_sentence,arg_end_byte_sentence,arg_start_byte_text,arg_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,temporal_rank,argument,name,name_mentions,pronoun_mentions,total_mentions,gender,gender_certainty,importance
0,1,felt,101,105,101,105,10,60.0,67.0,60.0,67.0,118.0,155.0,,,verb.emotion,0,subject,a giant,1,3,4,male,1.0,secondary
1,0,decided,3,10,160,167,10,0.0,2.0,157.0,159.0,,,,,verb.cognition,1,subject,a giant,1,3,4,male,1.0,secondary
2,0,emigrated,7,16,237,246,10,4.0,6.0,234.0,236.0,,,,,verb.motion,2,subject,a giant,1,3,4,male,1.0,secondary
2,1,settled,21,28,251,258,10,4.0,6.0,234.0,236.0,,,,,verb.motion,3,subject,a giant,1,3,4,male,1.0,secondary
4,1,hail,19,23,431,435,20,6.0,11.0,418.0,423.0,,,,,verb.motion,4,subject,one of the men saved,1,3,4,male,1.0,secondary
6,1,said,24,28,558,562,20,0.0,21.0,534.0,555.0,,,,,verb.communication,7,subject,one of the men saved,1,3,4,male,1.0,secondary
7,2,feel,34,38,619,623,22,28.0,29.0,613.0,614.0,,,,,verb.emotion,9,subject,the giant,4,9,13,male,1.0,primary
7,6,said,107,111,692,696,22,1.0,104.0,586.0,689.0,,,,,verb.communication,11,subject,the giant,4,9,13,male,1.0,primary
7,6,said,107,111,692,696,20,1.0,104.0,586.0,689.0,,,,,verb.communication,11,subject,one of the men saved,1,3,4,male,1.0,secondary
8,0,feared,13,19,721,727,23,0.0,7.0,708.0,715.0,,,,,verb.emotion,10,subject,The man,3,5,8,male,1.0,primary
8,2,drew,51,55,759,763,23,0.0,49.0,708.0,757.0,,,,,verb.contact,12,subject,The man,3,5,8,male,1.0,primary
8,2,drew,51,55,759,763,22,0.0,49.0,708.0,757.0,,,,,verb.contact,12,subject,the giant,4,9,13,male,1.0,primary
8,3,handed,96,102,804,810,23,0.0,49.0,708.0,757.0,,,,,verb.possession,13,subject,The man,3,5,8,male,1.0,primary
8,3,handed,96,102,804,810,22,0.0,49.0,708.0,757.0,,,,,verb.possession,13,subject,the giant,4,9,13,male,1.0,primary
9,0,seized,3,9,825,831,23,0.0,2.0,822.0,824.0,13.0,19.0,835.0,841.0,verb.contact,14,subject,The man,3,5,8,male,1.0,primary
9,1,pressed,25,32,847,854,23,0.0,2.0,822.0,824.0,36.0,93.0,858.0,915.0,verb.contact,15,subject,The man,3,5,8,male,1.0,primary
11,1,continued,18,27,1000,1009,23,15.0,17.0,997.0,999.0,,,,,verb.communication,19,subject,The man,3,5,8,male,1.0,primary
12,1,scratched,19,28,1069,1078,37,5.0,13.0,1055.0,1063.0,,,,,verb.contact,18,subject,the hens,1,0,1,unknown,0.0,tertiary
12,2,answered,47,55,1097,1105,37,1.0,36.0,1051.0,1086.0,,,,,verb.communication,22,subject,the hens,1,0,1,unknown,0.0,tertiary
12,2,answered,47,55,1097,1105,23,1.0,36.0,1051.0,1086.0,,,,,verb.communication,22,subject,The man,3,5,8,male,1.0,primary
15,0,piled,22,27,1166,1171,38,1.0,21.0,1145.0,1165.0,34.0,74.0,1178.0,1218.0,verb.contact,21,subject,the giant's wife,1,0,1,female,1.0,tertiary
15,0,piled,22,27,1166,1171,39,1.0,21.0,1145.0,1165.0,34.0,74.0,1178.0,1218.0,verb.contact,21,subject,daughter,1,0,1,unknown,0.0,tertiary
15,0,piled,22,27,1166,1171,22,1.0,21.0,1145.0,1165.0,34.0,74.0,1178.0,1218.0,verb.contact,21,subject,the giant,4,9,13,male,1.0,primary
16,2,built,76,81,1296,1301,22,68.0,73.0,1288.0,1293.0,,,,,verb.creation,20,subject,the giant,4,9,13,male,1.0,primary
17,1,confirmed,17,26,1328,1337,23,5.0,12.0,1316.0,1323.0,,,,,verb.cognition,23,subject,The man,3,5,8,male,1.0,primary
17,2,wanted,43,49,1354,1360,22,33.0,42.0,1344.0,1353.0,,,,,verb.emotion,24,subject,the giant,4,9,13,male,1.0,primary
17,3,know,53,57,1364,1368,22,33.0,42.0,1344.0,1353.0,,,,,verb.cognition,25,subject,the giant,4,9,13,male,1.0,primary
18,2,gave,40,44,1452,1456,22,37.0,39.0,1449.0,1451.0,,,,,verb.possession,27,subject,the giant,4,9,13,male,1.0,primary
19,0,took,8,12,1553,1557,30,0.0,7.0,1545.0,1552.0,,,,,verb.contact,28,subject,The men,1,1,2,male,1.0,tertiary
19,1,gave,28,32,1573,1577,30,0.0,7.0,1545.0,1552.0,,,,,verb.possession,29,subject,The men,1,1,2,male,1.0,tertiary
