sentence1,event1,te_rel,sentence2,event2,s_id,s_id2,e_id,e_id2
Once upon a time there was a couple who had an only son named Halvor. ,had,BEFORE,"While he was still but a little lad, he would do nothing at all; ",do,0,1,1,2
"While he was still but a little lad, he would do nothing at all; ",do,AFTER,"His parents apprenticed him here and apprenticed him there, to be taught something, but Halvor never stayed. ",apprenticed,1,3,2,0
"His parents apprenticed him here and apprenticed him there, to be taught something, but Halvor never stayed. ",apprenticed,BEFORE,"When he had been anywhere for a few days, he ran away again, went back home, sat down at the hearth, and dug in the ashes. ",sat,3,4,0,4
"When he had been anywhere for a few days, he ran away again, went back home, sat down at the hearth, and dug in the ashes. ",sat,BEFORE,"But once a master mariner came along and asked whether Halvor would not like to go with him, and sail the seas, and see foreign lands. ",asked,4,5,4,1
"But once a master mariner came along and asked whether Halvor would not like to go with him, and sail the seas, and see foreign lands. ",asked,BEFORE,"Indeed, Halvor would like to do so very much, and it did not take him long to make up his mind. ",like,5,6,1,1
"Indeed, Halvor would like to do so very much, and it did not take him long to make up his mind. ",like,AFTER,"They had been driven off their course to a foreign shore, which none among them recognized. ",recognized,6,8,1,3
"They had been driven off their course to a foreign shore, which none among them recognized. ",recognized,BEFORE,"And then, since not a breeze was stirring, they lay there, and Halvor begged the master mariner for permission to go ashore, and look around, for he would rather do that than lie down and sleep. ",begged,8,9,3,3
"And then, since not a breeze was stirring, they lay there, and Halvor begged the master mariner for permission to go ashore, and look around, for he would rather do that than lie down and sleep. ",begged,BEFORE,"""Do you think you are fit to appear before people?"" ",think,9,10,3,1
"""Do you think you are fit to appear before people?"" ",think,BEFORE,asked the master mariner. ,asked,10,11,1,0
asked the master mariner. ,asked,AFTER,"""The only clothes you have are the rags in which you stand and walk!"" ",walk,11,12,0,3
"""The only clothes you have are the rags in which you stand and walk!"" ",walk,BEFORE,"Yet Halvor insisted, and finally he was given permission. ",insisted,12,13,3,0
"Yet Halvor insisted, and finally he was given permission. ",insisted,BEFORE,"Halvor went, and it was a fair land. ",went,13,15,0,0
