clustered_names,coref_idx,name_mentions,pronoun_mentions,total,easy_name,gender,gender_certainty,importance
Halvor/this Halvor,6,68,240,308,Halvor,male,1.0,primary
The princess/the princess,40,15,18,33,The princess,female,1.0,tertiary
the troll,164,10,18,28,the troll,male,1.0,tertiary
the princesses,78,5,16,21,the princesses,female,1.0,tertiary
the woman/The woman,96,7,9,16,the woman,female,1.0,tertiary
the old woman,134,4,11,15,the old woman,female,1.0,tertiary
the old folk/The old folk,89,2,12,14,the old folk,group/nonbinary,1.0,tertiary
the youngest princess,192,3,11,14,the youngest princess,female,1.0,tertiary
the West Wind,5,4,8,12,the West Wind,male,1.0,tertiary
the two old folk,98,1,6,7,the two old folk,group/nonbinary,1.0,tertiary
the man,121,3,4,7,the man,male,1.0,tertiary
Halvor/this Halvor--His parents/his parents,11,4,3,7,Halvor's parents,group/nonbinary,1.0,tertiary
the girls,104,2,4,6,the girls,female,1.0,tertiary
Halvor/this Halvor--his mother,99,1,5,6,Halvor's mother,female,1.0,tertiary
the youth,39,1,5,6,the youth,unknown,0.0,tertiary
The princess/the princess--her sisters,45,2,3,5,The princess's sisters,female,1.0,tertiary
the moon,137,1,3,4,the moon,unknown,0.0,tertiary
the bride,150,2,1,3,the bride,female,1.0,tertiary
a Christian,168,3,0,3,a Christian,unknown,0.0,tertiary
all the folk,149,1,2,3,all the folk,group/nonbinary,1.0,tertiary
the girls who were washing,146,1,2,3,the girls who were washing,female,1.0,tertiary
a fellow here who wants to know,202,1,2,3,a fellow here who wants to know,male,1.0,tertiary
a son,95,1,2,3,a son,male,1.0,tertiary
No Christian soul/no Christian soul,71,2,0,2,No Christian soul,unknown,0.0,tertiary
the gentleman,181,1,1,2,the gentleman,male,1.0,tertiary
"the girls who had always been so proud , and had turned up their noses at her son--the girls who had always been so proud , and had turned up their noses at her son",101,1,1,2,"the girls who had always been so proud , and had turned up their noses at her son's girls who had always been so proud , and had turned up their noses at her son",female,1.0,tertiary
the oldest princess,189,1,1,2,the oldest princess,female,1.0,tertiary
the cupbearer,152,2,0,2,the cupbearer,unknown,0.0,tertiary
a master mariner,14,1,1,2,a master mariner,male,1.0,tertiary
a princess sitting and spinning,38,1,1,2,a princess sitting and spinning,female,1.0,tertiary
the master mariner,21,2,0,2,the master mariner,unknown,0.0,tertiary
some girls standing there and washing,207,1,0,1,some girls standing there and washing,female,1.0,tertiary
the one who now sits here in the bridegroom 's place,213,1,0,1,the one who now sits here in the bridegroom 's place,unknown,0.0,tertiary
the right one,216,1,0,1,the right one,unknown,0.0,tertiary
Halvor/this Halvor--my sweetheart,193,1,0,1,Halvor's sweetheart,unknown,0.0,tertiary
God,7,1,0,1,God,unknown,0.0,tertiary
Halvor/this Halvor--your parents,195,1,0,1,Halvor's parents,unknown,0.0,tertiary
a bridegroom,159,1,0,1,a bridegroom,unknown,0.0,tertiary
the bridegroom,214,1,0,1,the bridegroom,unknown,0.0,tertiary
Halvor/this Halvor--his princesses,119,1,0,1,Halvor's princesses,female,1.0,tertiary
the man who delivered us,212,1,0,1,the man who delivered us,male,1.0,tertiary
the middle princess,191,1,0,1,the middle princess,female,1.0,tertiary
a man with a nice - looking horse,120,1,0,1,a man with a nice - looking horse,male,1.0,tertiary
one of us,210,1,0,1,one of us,unknown,0.0,tertiary
the people there,197,1,0,1,the people there,unknown,0.0,tertiary
serving - men,154,1,0,1,serving - men,male,1.0,tertiary
an old couple,132,1,0,1,an old couple,unknown,0.0,tertiary
knights,153,1,0,1,knights,unknown,0.0,tertiary
groom,151,1,0,1,groom,unknown,0.0,tertiary
men,148,1,0,1,men,male,1.0,tertiary
a couple,8,1,0,1,a couple,unknown,0.0,tertiary
Halvor/this Halvor--so fine a looking gentleman as yourself,186,1,0,1,Halvor's fine a looking gentleman as yourself,male,1.0,tertiary
dairy - maids,190,1,0,1,dairy - maids,unknown,0.0,tertiary
no one on earth,188,1,0,1,no one on earth,unknown,0.0,tertiary
a little lad,10,1,0,1,a little lad,unknown,0.0,tertiary
none among them,20,1,0,1,none among them,unknown,0.0,tertiary
people,162,1,0,1,people,unknown,0.0,tertiary
no people at all,28,1,0,1,no people at all,unknown,0.0,tertiary
no people to be found at all,29,1,0,1,no people to be found at all,unknown,0.0,tertiary
even one,31,1,0,1,even one,unknown,0.0,tertiary
no human beings to be seen,36,1,0,1,no human beings to be seen,unknown,0.0,tertiary
a Christian soul,163,1,0,1,a Christian soul,unknown,0.0,tertiary
a troll with three heads,165,1,0,1,a troll with three heads,unknown,0.0,tertiary
The princess/the princess--my sisters,167,1,0,1,The princess's sisters,female,1.0,tertiary
a troll,46,1,0,1,a troll,unknown,0.0,tertiary
not a human being to be seen,52,1,0,1,not a human being to be seen,unknown,0.0,tertiary
a single Christian soul,171,1,0,1,a single Christian soul,unknown,0.0,tertiary
the dead troll,65,1,0,1,the dead troll,unknown,0.0,tertiary
all the princesses met at the castle,77,1,0,1,all the princesses met at the castle,female,1.0,tertiary
Halvor/this Halvor--the one whom he loved best,80,1,0,1,Halvor's one whom he loved best,unknown,0.0,tertiary
a king,84,1,0,1,a king,male,1.0,tertiary
a king 's son,85,1,0,1,a king 's son,male,1.0,tertiary
"a handsome , well - dressed stranger",90,1,0,1,"a handsome , well - dressed stranger",unknown,0.0,tertiary
such a distinguished gentleman,180,1,0,1,such a distinguished gentleman,male,1.0,tertiary
the folk,183,1,0,1,the folk,unknown,0.0,tertiary
the lazybones,92,1,0,1,the lazybones,unknown,0.0,tertiary
no children,94,1,0,1,no children,unknown,0.0,tertiary
an only son,9,1,0,1,an only son,unknown,0.0,tertiary
Halvor's mother--her son,102,1,0,1,Halvor's mother's son,unknown,0.0,tertiary
a prince,103,1,0,1,a prince,male,1.0,tertiary
Halvor/this Halvor--the same ragged fellow that he used to be,187,1,0,1,Halvor's same ragged fellow that he used to be,unknown,0.0,tertiary
the other one,161,1,0,1,the other one,unknown,0.0,tertiary
