sentence_id,text,start,end
0,"During the first half of the eighteenth century, several large estates in Schonen were the property of the family of Barnekow. ",0,127
1,"Or rather, they were property of its most distinguished representative at that time, Margaret Barnekow. ",127,231
2,"She was the daughter of the famous captain and governor-general Count Rutger of Aschenberg, and the wife of Colonel Kjell Kristofer Barnekow. ",231,373
3,"A widow at twenty-nine, she herself took over the management of her large properties. ",373,459
4,"She showed evidence of invincible courage, an endless capacity for work, and a tireless concern for all her many dependents and servitors. ",459,598
5,"While traveling about her estates, Madame Margaret one evening came to the tavern in Fjelkinge. ",598,694
6,She was quartered for the night in a room that had the name of being haunted. ,694,772
7,Some years before a traveler had lain in the same room and presumably had been murdered. ,772,861
8,"At any rate, the man himself and all his belongings had disappeared without leaving a trace. ",861,954
9,The mystery had never been explained. ,954,992
10,Since that time the room had been haunted. ,992,1035
11,"Those who knew about it preferred to travel a post-station further in the dark, rather than pass the night in the room in question. ",1035,1167
12,But Margaret Barnekow did not do so. ,1167,1204
13,"She had already shown greater courage in greater contingencies, and chose this particular room to sleep in without any fear. ",1204,1329
14,"She let the lamp burn and fell asleep, after she had said her evening prayer. ",1329,1407
15,"On the stroke of twelve she awoke, just as some planks were raised in the floor. ",1407,1488
16,"Up rose a bleeding phantom whose head, split wide open, hung down on his shoulder. ",1488,1571
17,"""Noble lady,"" whispered the specter, ""prepare a grave in consecrated earth for a murdered man. ",1571,1666
18,"Deliver his murderer to the judgment which is his due!"" ",1666,1722
19,"God-fearing and unafraid, Madame Margaret beckoned the phantom nearer. ",1722,1793
20,He told her he had already addressed the same prayer to various other people. ,1793,1871
21,But none had had the courage to grant it. ,1871,1913
22,"Then Madame Margaret drew a gold ring from her finger, laid it on the gaping wound, and tied up the head of the murdered man with her kerchief. ",1913,2057
23,"With a glance of unspeakable gratitude he told her the murderer's name, and disappeared beneath the floor without a sound. ",2057,2180
24,The following morning Madame Margaret sent for the sheriff of the district to come to the tavern with some of his people. ,2180,2302
25,"She informed him of what had happened to her during the night, and ordered those present to tear up the floor. ",2302,2413
26,"And there they found, buried in the earth, the remains of a body and, in a wound in its head, the Countess's ring. ",2413,2528
27,Tied about its head was her kerchief. ,2528,2566
28,"One of the bystanders grew pale at the sight, and fell senseless to the ground. ",2566,2646
29,"When he came to his senses, he confessed that he had murdered the traveler and robbed him of his belongings. ",2646,2755
30,"He was condemned to death for his crime, and the body of the murdered man was buried in the village church-yard. ",2755,2868
31,"The ring, of peculiar shape, and its setting bearing a large gray stone, is still preserved in the Barnekow family. ",2868,2984
32,"Magic virtues in cases of sickness, fire and other misfortunes are ascribed to it. ",2984,3067
33,"And when one of the Barnekows dies, it is said that a red spot, like a drop of blood, appears on the stone.",3067,3175
