sentence1,event1,te_rel,sentence2,event2,s_id,s_id2,e_id,e_id2
"The mother stork sat in it with her four little ones, who were stretching out their heads with their pointed black bills that had not yet turned red. ",sat,BEFORE,"The mother stork sat in it with her four little ones, who were stretching out their heads with their pointed black bills that had not yet turned red. ",stretching,1,1,0,2
"The mother stork sat in it with her four little ones, who were stretching out their heads with their pointed black bills that had not yet turned red. ",stretching,BEFORE,"That he might not appear quite idle while standing sentry, he had drawn one leg up under him, as is the manner of storks. ",drawn,1,3,2,4
"That he might not appear quite idle while standing sentry, he had drawn one leg up under him, as is the manner of storks. ",drawn,BEFORE,"One might have taken him to be carved in marble, so still did he stand. ",carved,3,4,4,4
"One might have taken him to be carved in marble, so still did he stand. ",carved,BEFORE,"""It must look very grand for my wife to have a sentinel to guard her nest,"" he thought. ",look,4,5,4,1
"""It must look very grand for my wife to have a sentinel to guard her nest,"" he thought. ",look,AFTER,"""It must look very grand for my wife to have a sentinel to guard her nest,"" he thought. ",have,5,5,1,2
"""It must look very grand for my wife to have a sentinel to guard her nest,"" he thought. ",have,BEFORE,"""It must look very grand for my wife to have a sentinel to guard her nest,"" he thought. ",guard,5,5,2,3
"""It must look very grand for my wife to have a sentinel to guard her nest,"" he thought. ",guard,BEFORE,"""It must look very grand for my wife to have a sentinel to guard her nest,"" he thought. ",thought,5,5,3,4
"""It must look very grand for my wife to have a sentinel to guard her nest,"" he thought. ",thought,BEFORE,"""They can't know that I am her husband and will, of course, conclude that I am commanded to stand here by her nest. ",know,5,6,4,1
"""They can't know that I am her husband and will, of course, conclude that I am commanded to stand here by her nest. ",know,BEFORE,"""They can't know that I am her husband and will, of course, conclude that I am commanded to stand here by her nest. ",conclude,6,6,1,4
"""They can't know that I am her husband and will, of course, conclude that I am commanded to stand here by her nest. ",conclude,AFTER,"""They can't know that I am her husband and will, of course, conclude that I am commanded to stand here by her nest. ",commanded,6,6,4,6
"""They can't know that I am her husband and will, of course, conclude that I am commanded to stand here by her nest. ",commanded,BEFORE,"""They can't know that I am her husband and will, of course, conclude that I am commanded to stand here by her nest. ",stand,6,6,6,7
"""They can't know that I am her husband and will, of course, conclude that I am commanded to stand here by her nest. ",stand,AFTER,"Below, in the street, a crowd of children were playing. ",playing,6,8,7,1
"Below, in the street, a crowd of children were playing. ",playing,BEFORE,"When they chanced to catch sight of the storks, one of the boldest of the boys began to sing the old song about the stork. ",began,8,9,1,2
"When they chanced to catch sight of the storks, one of the boldest of the boys began to sing the old song about the stork. ",began,BEFORE,"When they chanced to catch sight of the storks, one of the boldest of the boys began to sing the old song about the stork. ",sing,9,9,2,3
"When they chanced to catch sight of the storks, one of the boldest of the boys began to sing the old song about the stork. ",sing,BEFORE,"The others soon joined him, but each sang the words that he happened to have heard. ",joined,9,10,3,0
"The others soon joined him, but each sang the words that he happened to have heard. ",joined,BEFORE,"The others soon joined him, but each sang the words that he happened to have heard. ",sang,10,10,0,1
"The others soon joined him, but each sang the words that he happened to have heard. ",sang,AFTER,"The others soon joined him, but each sang the words that he happened to have heard. ",heard,10,10,1,4
"The others soon joined him, but each sang the words that he happened to have heard. ",heard,BEFORE,"This is one of the ways: ""Stork, stork, fly away; ",fly,10,11,4,1
"This is one of the ways: ""Stork, stork, fly away; ",fly,AFTER,"Thy dear wife sits in the nest, To lull the little ones to rest. ",sits,11,13,1,1
"Thy dear wife sits in the nest, To lull the little ones to rest. ",sits,BEFORE,"Thy dear wife sits in the nest, To lull the little ones to rest. ",lull,13,13,1,2
"Thy dear wife sits in the nest, To lull the little ones to rest. ",lull,BEFORE,"Thy dear wife sits in the nest, To lull the little ones to rest. ",rest,13,13,2,3
"Thy dear wife sits in the nest, To lull the little ones to rest. ",rest,BEFORE,"""Only listen,"" said the young storks, ""to what the boys are singing. ",said,13,15,3,0
"""Only listen,"" said the young storks, ""to what the boys are singing. ",said,AFTER,"""Only listen,"" said the young storks, ""to what the boys are singing. ",singing,15,15,0,2
"""Only listen,"" said the young storks, ""to what the boys are singing. ",singing,BEFORE,"Do you hear them say we're to be hanged and shot?"" ",hear,15,16,2,1
"Do you hear them say we're to be hanged and shot?"" ",hear,BEFORE,"Do you hear them say we're to be hanged and shot?"" ",say,16,16,1,2
