clustered_names,coref_idx,name_mentions,pronoun_mentions,total,easy_name,gender,gender_certainty,importance
the boys,18,7,23,30,the boys,male,1.0,primary
The young storks/the young storks,94,9,14,23,The young storks,group/nonbinary,1.0,primary
the young ones,116,2,11,13,the young ones,group/nonbinary,1.0,secondary
children,15,3,9,12,children,male,1.0,secondary
"the father stork , bolt upright and as stiff as could be",11,1,9,10,"the father stork , bolt upright and as stiff as could be",male,1.0,secondary
the naughty boys,46,2,6,8,the naughty boys,male,1.0,tertiary
the very naughty boy who was the first to begin the song,82,1,7,8,the very naughty boy who was the first to begin the song,male,1.0,tertiary
the father stork,110,1,7,8,the father stork,male,1.0,tertiary
our young storks,143,1,6,7,our young storks,group/nonbinary,1.0,tertiary
The mother stork/the mother stork,9,4,3,7,The mother stork,female,1.0,tertiary
The children/the children,102,3,3,6,The children,group/nonbinary,1.0,tertiary
all the young storks,138,1,4,5,all the young storks,group/nonbinary,1.0,tertiary
the mother,95,4,1,5,the mother,female,1.0,tertiary
all the four young storks,114,1,4,5,all the four young storks,group/nonbinary,1.0,tertiary
Peter,3,4,0,4,Peter,unknown,0.0,tertiary
the boy who had begun it,129,1,3,4,the boy who had begun it,male,1.0,tertiary
"the father stork , bolt upright and as stiff as could be--my wife",87,1,3,4,"the father stork , bolt upright and as stiff as could be's wife",female,0.6363636363636364,tertiary
the storks,16,4,0,4,the storks,unknown,0.0,tertiary
Young fledglings,140,1,2,3,Young fledglings,group/nonbinary,1.0,tertiary
the little ones,93,2,1,3,the little ones,group/nonbinary,1.0,tertiary
all the little human children,69,1,2,3,all the little human children,group/nonbinary,1.0,tertiary
one of the boldest of the boys,17,1,2,3,one of the boldest of the boys,male,1.0,tertiary
a crowd of children,14,1,2,3,a crowd of children,group/nonbinary,1.0,tertiary
the general,34,2,1,3,the general,male,1.0,tertiary
The young storks/the young storks--their mother,137,2,0,2,The young storks's mother,female,1.0,tertiary
this one boy,135,1,1,2,this one boy,male,1.0,tertiary
The young storks/the young storks--their parents,132,2,0,2,The young storks's parents,unknown,0.0,tertiary
the pretty little babies,72,1,1,2,the pretty little babies,group/nonbinary,1.0,tertiary
Several of the nicest stork families,58,1,1,2,Several of the nicest stork families,group/nonbinary,1.0,tertiary
a sister,76,2,0,2,a sister,female,1.0,tertiary
a brother,77,2,0,2,a brother,male,1.0,tertiary
a stork,7,2,0,2,a stork,unknown,0.0,tertiary
the stork,19,2,0,2,the stork,unknown,0.0,tertiary
Only one boy,98,1,1,2,Only one boy,male,1.0,tertiary
all the youngsters,108,1,0,1,all the youngsters,unknown,0.0,tertiary
Thy dear wife,92,1,0,1,Thy dear wife,female,1.0,tertiary
a little dead brother,85,1,0,1,a little dead brother,male,1.0,tertiary
a little dead child in the pond,83,1,0,1,a little dead child in the pond,unknown,0.0,tertiary
storks,12,1,0,1,storks,unknown,0.0,tertiary
every child who did not sing the naughty song that made game of the storks,80,1,0,1,every child who did not sing the naughty song that made game of the storks,unknown,0.0,tertiary
a baby,79,1,0,1,a baby,unknown,0.0,tertiary
"the father stork , bolt upright and as stiff as could be's wife--a sentinel to guard her nest",88,1,0,1,"the father stork , bolt upright and as stiff as could be's wife's sentinel to guard her nest",male,1.0,tertiary
"the father stork , bolt upright and as stiff as could be's wife--her husband",89,1,0,1,"the father stork , bolt upright and as stiff as could be's wife's husband",male,1.0,tertiary
these little ones,74,1,0,1,these little ones,unknown,0.0,tertiary
the parents,73,1,0,1,the parents,unknown,0.0,tertiary
each,21,1,0,1,each,unknown,0.0,tertiary
Stork,2,1,0,1,Stork,unknown,0.0,tertiary
stork,91,1,0,1,stork,unknown,0.0,tertiary
his brother,23,1,0,1,his brother,male,1.0,tertiary
all the storks in the land,30,1,0,1,all the storks in the land,unknown,0.0,tertiary
the sentinel stork,97,1,0,1,the sentinel stork,unknown,0.0,tertiary
grown men,134,1,0,1,grown men,male,1.0,tertiary
a little fellow hardly more than six years old,130,1,0,1,a little fellow hardly more than six years old,unknown,0.0,tertiary
The mother stork/the mother stork--her young ones,100,1,0,1,The mother stork's young ones,female,1.0,tertiary
the one that seemed most bent upon singing the song that made game of the storks,127,1,0,1,the one that seemed most bent upon singing the song that made game of the storks,unknown,0.0,tertiary
all the children down in the street,124,1,0,1,all the children down in the street,unknown,0.0,tertiary
Several of the nicest stork families--their children,61,1,0,1,Several of the nicest stork families's children,unknown,0.0,tertiary
the nicest stork families,59,1,0,1,the nicest stork families,unknown,0.0,tertiary
your father,26,1,0,1,your father,male,1.0,tertiary
Storks,4,1,0,1,Storks,unknown,0.0,tertiary
the timid stork,119,1,0,1,the timid stork,unknown,0.0,tertiary
The first,27,1,0,1,The first,unknown,0.0,tertiary
The second,28,1,0,1,The second,unknown,0.0,tertiary
"that good boy,--you",146,1,0,1,"that good boy,--you",unknown,0.0,tertiary
