sentence_id,event_id,event,supersense_category,coref_id_subj,coref_id_dobj
8,1,returned,verb.motion,11,11
9,3,take,verb.motion,11,11
12,1,gave,verb.possession,15,0
12,1,gave,verb.possession,0,0
14,0,hated,verb.emotion,18,18
14,0,hated,verb.emotion,18,0
14,0,hated,verb.emotion,18,21
15,1,look,verb.perception,0,18
15,2,kicked,verb.contact,18,0
15,3,threw,verb.contact,18,0
18,0,saw,verb.perception,0,15
18,0,saw,verb.perception,0,0
18,2,meet,verb.motion,0,15
18,3,wagging,verb.contact,0,0
19,1,dragged,verb.contact,0,0
20,0,began,verb.change,0,0
24,1,fetched,verb.contact,0,0
27,1,saw,verb.perception,0,31
27,1,saw,verb.perception,0,0
27,2,peering,verb.perception,31,0
27,2,peering,verb.perception,0,0
29,1,looking,verb.perception,0,15
29,1,looking,verb.perception,0,0
29,2,say,verb.communication,0,15
29,2,say,verb.communication,0,10
29,5,make,verb.social,10,15
29,5,make,verb.social,10,10
29,6,show,verb.perception,15,10
30,1,call,verb.communication,10,5
30,1,call,verb.communication,10,10
33,0,loved,verb.emotion,37,38
33,1,petted,verb.body,37,38
34,0,attracted,verb.emotion,39,0
35,0,began,verb.change,39,39
35,1,think,verb.cognition,39,39
36,0,called,verb.communication,39,10
37,1,knew,verb.cognition,43,43
37,1,knew,verb.cognition,43,31
37,3,love,verb.emotion,43,43
37,3,love,verb.emotion,31,43
38,0,lost,verb.possession,43,31
38,2,tormenting,verb.contact,43,31
39,1,refuse,verb.possession,45,31
39,1,refuse,verb.possession,45,45
39,2,consented,verb.communication,45,31
40,0,returned,verb.motion,47,47
41,0,told,verb.communication,47,5
41,0,told,verb.communication,47,47
41,2,succeeded,verb.social,47,47
42,0,took,verb.motion,47,47
42,1,hastened,verb.motion,47,47
42,2,forcing,verb.motion,47,47
42,2,forcing,verb.motion,47,0
43,1,said,verb.communication,47,47
43,1,said,verb.communication,47,0
43,1,said,verb.communication,47,163
48,2,began,verb.change,0,51
48,2,began,verb.change,0,0
50,0,supposed,verb.cognition,10,31
50,0,supposed,verb.cognition,10,10
51,1,began,verb.change,47,47
51,2,dig,verb.contact,47,47
55,1,seen,verb.perception,47,47
55,1,seen,verb.perception,47,31
55,2,hoping,verb.cognition,47,47
55,4,borrowed,verb.possession,47,0
56,1,finding,verb.possession,47,47
58,0,seized,verb.contact,47,47
58,1,struck,verb.contact,47,0
58,2,killed,verb.contact,47,0
59,0,threw,verb.contact,47,47
60,1,telling,verb.communication,47,5
60,1,telling,verb.communication,47,47
63,1,asked,verb.communication,47,47
63,1,asked,verb.communication,47,31
63,2,give,verb.possession,31,31
64,0,answered,verb.communication,64,0
64,0,answered,verb.communication,64,64
64,2,killed,verb.contact,64,0
67,3,asked,verb.communication,43,43
67,3,asked,verb.communication,43,0
67,3,asked,verb.communication,43,69
67,3,asked,verb.communication,43,10
67,4,give,verb.possession,10,43
68,2,consented,verb.communication,10,0
68,2,consented,verb.communication,10,10
68,3,give,verb.possession,10,0
68,3,give,verb.possession,10,10
71,1,began,verb.change,43,75
71,1,began,verb.change,43,0
71,1,began,verb.change,43,10
80,1,asked,verb.communication,80,0
80,1,asked,verb.communication,80,80
80,3,pretending,verb.communication,80,0
80,3,pretending,verb.communication,80,80
80,4,sorrowed,verb.emotion,80,0
81,1,lend,verb.possession,10,83
81,1,lend,verb.possession,10,10
84,0,asked,verb.communication,43,86
85,0,found,verb.perception,43,86
87,0,answered,verb.communication,64,43
87,0,answered,verb.communication,64,64
87,3,ask,verb.communication,43,43
87,3,ask,verb.communication,43,64
90,0,said,verb.communication,45,45
91,2,ask,verb.communication,43,45
92,2,given,verb.possession,45,43
93,1,wish,verb.emotion,45,45
93,1,wish,verb.emotion,45,164
93,2,keep,verb.possession,45,45
93,2,keep,verb.possession,45,164
95,0,scattered,verb.contact,10,10
101,0,heard,verb.perception,10,103
101,0,heard,verb.perception,10,10
101,1,knocking,verb.contact,103,10
102,4,see,verb.perception,10,105
103,0,told,verb.communication,106,107
103,0,told,verb.communication,106,106
103,0,told,verb.communication,106,108
103,0,told,verb.communication,106,10
106,1,saw,verb.perception,112,1
106,1,saw,verb.perception,112,112
106,3,caused,verb.creation,112,1
108,1,sent,verb.communication,115,10
108,1,sent,verb.communication,10,10
108,2,ask,verb.communication,10,10
108,3,come,verb.motion,10,10
110,2,followed,verb.motion,45,112
110,2,followed,verb.motion,45,120
111,2,awaiting,verb.cognition,122,10
111,4,saw,verb.perception,122,10
111,5,asked,verb.communication,10,10
112,1,replied,verb.communication,10,166
112,1,replied,verb.communication,10,10
113,0,said,verb.communication,1,1
113,0,said,verb.communication,1,10
113,2,make,verb.change,10,1
115,1,carried,verb.contact,122,1
115,1,carried,verb.contact,128,1
117,2,took,verb.contact,10,10
118,0,watched,verb.perception,131,10
123,2,looked,verb.perception,1,1
124,0,rose,verb.motion,1,1
124,2,calling,verb.communication,1,10
125,0,gave,verb.possession,1,10
125,2,rewarded,verb.possession,1,10
126,0,ordered,verb.communication,1,2
126,0,ordered,verb.communication,1,10
126,2,call,verb.communication,10,10
128,0,sent,verb.motion,1,10
130,1,suppress,verb.emotion,10,10
131,3,failed,verb.social,10,10
132,2,imitated,verb.creation,10,10
135,2,employ,verb.consumption,140,10
137,1,said,verb.communication,122,2
139,1,try,verb.social,144,144
143,0,looking,verb.perception,122,146
143,1,thought,verb.cognition,122,122
143,1,thought,verb.cognition,122,148
143,1,thought,verb.cognition,122,146
143,1,thought,verb.cognition,146,122
143,1,thought,verb.cognition,146,148
143,1,thought,verb.cognition,146,146
143,5,asked,verb.communication,122,2
143,5,asked,verb.communication,122,122
143,5,asked,verb.communication,122,170
143,5,asked,verb.communication,122,146
143,7,named,verb.communication,122,2
144,0,answered,verb.communication,149,171
144,0,answered,verb.communication,149,149
161,0,ordered,verb.communication,10,2
161,0,ordered,verb.communication,10,128
161,0,ordered,verb.communication,10,157
161,0,ordered,verb.communication,10,10
161,1,arrest,verb.contact,128,2
161,1,arrest,verb.contact,10,2
161,2,put,verb.contact,128,10
161,2,put,verb.contact,10,10
164,3,showered,verb.contact,122,45
