sentence_id,event_id,event,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,coref_id,arg_start_byte_sentence,arg_end_byte_sentence,arg_start_byte_text,arg_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,temporal_rank,argument,name,name_mentions,pronoun_mentions,total_mentions,gender,gender_certainty,importance
0,1,supported,55,64,55,64,5,27.0,50.0,27.0,50.0,76.0,111.0,,,verb.social,1,subject,an old man's wife,8.0,0.0,8.0,female,1.0,tertiary
0,1,supported,55,64,55,64,4,27.0,50.0,27.0,50.0,76.0,111.0,,,verb.social,1,subject,an old man,1.0,1.0,2.0,male,1.0,tertiary
6,0,means,10,15,442,447,0,4.0,9.0,436.0,441.0,,,,,verb.communication,7,subject,Shiro,32.0,38.0,70.0,male,1.0,primary
6,2,called,39,45,471,477,0,29.0,31.0,461.0,463.0,,,,,verb.communication,6,subject,Shiro,32.0,38.0,70.0,male,1.0,primary
8,1,returned,79,87,649,657,11,71.0,78.0,641.0,648.0,,,,,verb.motion,5,subject,the man,1.0,4.0,5.0,male,1.0,tertiary
9,3,take,67,71,753,757,11,58.0,60.0,744.0,746.0,,,,,verb.motion,10,subject,the man,1.0,4.0,5.0,male,1.0,tertiary
9,5,saved,84,89,770,775,11,72.0,76.0,758.0,762.0,,,,,verb.possession,9,subject,the man,1.0,4.0,5.0,male,1.0,tertiary
11,0,said,17,21,932,936,10,5.0,16.0,920.0,931.0,,,,,verb.communication,11,subject,The old man,33.0,64.0,97.0,male,1.0,primary
12,1,gave,44,48,995,999,15,33.0,43.0,984.0,994.0,,,,,verb.possession,13,subject,Shiro's master,6.0,3.0,9.0,male,1.0,tertiary
12,1,gave,44,48,995,999,0,33.0,43.0,984.0,994.0,,,,,verb.possession,13,subject,Shiro,32.0,38.0,70.0,male,1.0,primary
14,0,hated,5,10,1126,1131,18,0.0,4.0,1121.0,1125.0,,,,,verb.emotion,12,subject,this good old couple,1.0,5.0,6.0,group/nonbinary,1.0,tertiary
15,1,look,27,31,1220,1224,0,0.0,14.0,1193.0,1207.0,,,,,verb.perception,14,subject,Shiro,32.0,38.0,70.0,male,1.0,primary
15,2,kicked,64,70,1257,1263,18,51.0,55.0,1244.0,1248.0,,,,,verb.contact,15,subject,this good old couple,1.0,5.0,6.0,group/nonbinary,1.0,tertiary
15,3,threw,78,83,1271,1276,18,51.0,55.0,1244.0,1248.0,102.0,129.0,1295.0,1322.0,verb.contact,16,subject,this good old couple,1.0,5.0,6.0,group/nonbinary,1.0,tertiary
16,2,barking,24,31,1348,1355,0,8.0,13.0,1332.0,1337.0,,,,,verb.perception,18,subject,Shiro,32.0,38.0,70.0,male,1.0,primary
17,0,thinking,13,21,1433,1441,10,0.0,11.0,1420.0,1431.0,,,,,verb.cognition,19,subject,The old man,33.0,64.0,97.0,male,1.0,primary
18,0,saw,17,20,1548,1551,0,11.0,16.0,1542.0,1547.0,,,,,verb.perception,20,subject,Shiro,32.0,38.0,70.0,male,1.0,primary
18,1,ran,35,38,1566,1569,0,32.0,34.0,1563.0,1565.0,,,,,verb.motion,21,subject,Shiro,32.0,38.0,70.0,male,1.0,primary
18,2,meet,42,46,1573,1577,0,32.0,34.0,1563.0,1565.0,,,,,verb.motion,22,subject,Shiro,32.0,38.0,70.0,male,1.0,primary
18,3,wagging,52,59,1583,1590,0,32.0,34.0,1563.0,1565.0,,,,,verb.contact,23,subject,Shiro,32.0,38.0,70.0,male,1.0,primary
19,1,dragged,34,41,1635,1642,0,31.0,33.0,1632.0,1634.0,,,,,verb.contact,25,subject,Shiro,32.0,38.0,70.0,male,1.0,primary
20,0,began,8,13,1682,1687,0,5.0,7.0,1679.0,1681.0,,,,,verb.change,26,subject,Shiro,32.0,38.0,70.0,male,1.0,primary
20,1,dig,17,20,1691,1694,0,5.0,7.0,1679.0,1681.0,,,,,verb.contact,27,subject,Shiro,32.0,38.0,70.0,male,1.0,primary
21,0,understand,23,33,1783,1793,10,0.0,11.0,1760.0,1771.0,,,,,verb.cognition,28,subject,The old man,33.0,64.0,97.0,male,1.0,primary
21,2,stood,53,58,1813,1818,10,0.0,11.0,1760.0,1771.0,,,,,verb.contact,29,subject,The old man,33.0,64.0,97.0,male,1.0,primary
21,3,looking,59,66,1819,1826,10,0.0,11.0,1760.0,1771.0,70.0,85.0,1830.0,1845.0,verb.perception,30,subject,The old man,33.0,64.0,97.0,male,1.0,primary
22,1,barking,18,25,1865,1872,0,4.0,9.0,1851.0,1856.0,,,,,verb.communication,32,subject,Shiro,32.0,38.0,70.0,male,1.0,primary
22,2,digging,30,37,1877,1884,0,4.0,9.0,1851.0,1856.0,,,,,verb.contact,31,subject,Shiro,32.0,38.0,70.0,male,1.0,primary
24,1,fetched,26,33,2053,2060,0,0.0,2.0,2027.0,2029.0,,,,,verb.contact,34,subject,Shiro,32.0,38.0,70.0,male,1.0,primary
